epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,54,,,,,0.3098958432674408,1.380262017250061
0,54,,,0.24232955276966095,1.48435640335083,,
1,109,,,,,0.6015625,1.1362224817276
1,109,,,0.5704545378684998,1.1805529594421387,,
2,164,,,,,0.6302083134651184,0.895921528339386
2,164,,,0.7357954382896423,0.8659228086471558,,
3,219,,,,,0.6328125,0.7816892266273499
3,219,,,0.7571022510528564,0.6362116932868958,,
4,274,,,,,0.7265625,0.7091469764709473
4,274,,,0.7991477251052856,0.5293303728103638,,
5,329,,,,,0.7057291865348816,0.7070196270942688
5,329,,,0.8369318246841431,0.4781951904296875,,
6,384,,,,,0.7395833134651184,0.6790337562561035
6,384,,,0.8443182110786438,0.4400395154953003,,
7,439,,,,,0.7161458134651184,0.7535741329193115
7,439,,,0.8454545736312866,0.4162227213382721,,
8,494,,,,,0.71875,0.6462920308113098
8,494,,,0.8394886255264282,0.39672768115997314,,
9,549,,,,,0.7161458134651184,0.7496075630187988
9,549,,,0.8482954502105713,0.37493735551834106,,
10,604,,,,,0.7473958134651184,0.608943521976471
10,604,,,0.8639204502105713,0.3692096769809723,,
11,659,,,,,0.7239583134651184,0.7917212843894958
11,659,,,0.8508522510528564,0.3588746190071106,,
12,714,,,,,0.75,0.6327593922615051
12,714,,,0.8715909123420715,0.34552231431007385,,
13,769,,,,,0.7630208134651184,0.5912325382232666
13,769,,,0.8698863387107849,0.3316020965576172,,
14,824,,,,,0.7604166865348816,0.6154036521911621
14,824,,,0.871874988079071,0.3271827697753906,,
15,879,,,,,0.7630208134651184,0.6218787431716919
15,879,,,0.8752840757369995,0.3160512149333954,,
16,934,,,,,0.7291666865348816,0.7855580449104309
16,934,,,0.8775568008422852,0.3103431463241577,,
17,989,,,,,0.7083333134651184,0.9125428199768066
17,989,,,0.8758522868156433,0.3026772141456604,,
18,1044,,,,,0.7421875,0.6928837895393372
18,1044,,,0.8795454502105713,0.29782742261886597,,
19,1099,,,,,0.7708333134651184,0.640995979309082
19,1099,,,0.8775568008422852,0.29242008924484253,,
20,1154,,,,,0.7109375,0.9347370266914368
20,1154,,,0.8852272629737854,0.2896464467048645,,
21,1209,,,,,0.734375,0.7421481013298035
21,1209,,,0.8835227489471436,0.28069502115249634,,
22,1264,,,,,0.7786458134651184,0.6209841966629028
22,1264,,,0.8832386136054993,0.2778087556362152,,
23,1319,,,,,0.7682291865348816,0.614661693572998
23,1319,,,0.8798295259475708,0.27422380447387695,,
24,1374,,,,,0.7395833134651184,0.6755411624908447
24,1374,,,0.8894886374473572,0.266385018825531,,
25,1429,,,,,0.7734375,0.7645073533058167
25,1429,,,0.8866477012634277,0.2656092941761017,,
26,1484,,,,,0.7473958134651184,0.7601847052574158
26,1484,,,0.8917613625526428,0.25099506974220276,,
27,1539,,,,,0.734375,0.7822778820991516
27,1539,,,0.8914772868156433,0.2542254328727722,,
28,1594,,,,,0.7734375,0.6646337509155273
28,1594,,,0.8894886374473572,0.250693142414093,,
29,1649,,,,,0.7526041865348816,0.7439019680023193
29,1649,,,0.8934659361839294,0.24276311695575714,,
30,1704,,,,,0.7369791865348816,0.8945081830024719
30,1704,,,0.8951704502105713,0.2390318214893341,,
31,1759,,,,,0.7682291865348816,0.7316727042198181
31,1759,,,0.8894886374473572,0.23996177315711975,,
32,1814,,,,,0.78125,0.7157699465751648
