epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,135,,,,,0.6283482313156128,0.6919699907302856
0,135,,,0.5245863795280457,1.0756722688674927,,
1,271,,,,,0.7254464030265808,0.43961361050605774
1,271,,,0.7210478186607361,0.5345892906188965,,
2,407,,,,,0.7767857313156128,0.40788477659225464
2,407,,,0.7545955777168274,0.46052098274230957,,
3,543,,,,,0.7979910969734192,0.37926122546195984
3,543,,,0.755859375,0.44028210639953613,,
4,679,,,,,0.8348214030265808,0.36438342928886414
4,679,,,0.7564338445663452,0.4305247962474823,,
5,815,,,,,0.796875,0.3886904716491699
5,815,,,0.7649356722831726,0.42122647166252136,,
6,951,,,,,0.8125,0.35105013847351074
6,951,,,0.7691865563392639,0.4171539843082428,,
7,1087,,,,,0.8247767686843872,0.35379329323768616
7,1087,,,0.7805606722831726,0.41896212100982666,,
8,1223,,,,,0.8024553656578064,0.3501797616481781
8,1223,,,0.7836626768112183,0.4068487882614136,,
9,1359,,,,,0.8404017686843872,0.3477227985858917
9,1359,,,0.7760799527168274,0.40426450967788696,,
10,1495,,,,,0.8303571343421936,0.34594836831092834
10,1495,,,0.7823988795280457,0.39937639236450195,,
11,1631,,,,,0.8147321343421936,0.3432828485965729
11,1631,,,0.783318042755127,0.3927614688873291,,
12,1767,,,,,0.7946428656578064,0.36377638578414917
12,1767,,,0.7844669222831726,0.3886909782886505,,
13,1903,,,,,0.7935267686843872,0.3730195462703705
13,1903,,,0.7886029481887817,0.3863811790943146,,
14,2039,,,,,0.8236607313156128,0.3481869399547577
14,2039,,,0.7881433963775635,0.3842583894729614,,
15,2175,,,,,0.7957589030265808,0.38946518301963806
15,2175,,,0.7875689268112183,0.3856547474861145,,
16,2311,,,,,0.8125,0.33979707956314087
16,2311,,,0.791015625,0.37437084317207336,,
17,2447,,,,,0.7734375,0.4031841456890106
17,2447,,,0.7979090213775635,0.37374815344810486,,
18,2583,,,,,0.8125,0.33551254868507385
18,2583,,,0.7941176295280457,0.37187302112579346,,
19,2719,,,,,0.7845982313156128,0.38203027844429016
19,2719,,,0.7944623231887817,0.3778834939002991,,
20,2855,,,,,0.8158482313156128,0.3298404812812805
20,2855,,,0.7984834313392639,0.36977535486221313,,
21,2991,,,,,0.8270089030265808,0.3313981592655182
21,2991,,,0.7983685731887817,0.3610396385192871,,
22,3127,,,,,0.8214285969734192,0.32281187176704407
22,3127,,,0.800666332244873,0.3630192279815674,,
23,3263,,,,,0.8236607313156128,0.33175191283226013
23,3263,,,0.8034237027168274,0.35736873745918274,,
24,3399,,,,,0.8303571343421936,0.3157067596912384
24,3399,,,0.7996323704719543,0.3550046980381012,,
25,3535,,,,,0.8292410969734192,0.3134431540966034
25,3535,,,0.8037683963775635,0.355347603559494,,
26,3671,,,,,0.8348214030265808,0.3231932818889618
26,3671,,,0.8030790686607361,0.3505098223686218,,
27,3807,,,,,0.8270089030265808,0.3234224021434784
27,3807,,,0.8038832545280457,0.352300763130188,,
28,3943,,,,,0.8337053656578064,0.3133354187011719
28,3943,,,0.8052619695663452,0.34941962361335754,,
29,4079,,,,,0.7912946343421936,0.3795313537120819
29,4079,,,0.8076746463775635,0.3483569324016571,,
30,4215,,,,,0.7912946343421936,0.379729300737381
30,4215,,,0.8083639740943909,0.3444347679615021,,
31,4351,,,,,0.8459821343421936,0.3168734908103943
31,4351,,,0.8102021813392639,0.34907469153404236,,
32,4487,,,,,0.7991071343421936,0.34797197580337524
32,4487,,,0.808478832244873,0.34856563806533813,,
33,4623,,,,,0.8247767686843872,0.3281264305114746
33,4623,,,0.8119255304336548,0.3392312824726105,,
34,4759,,,,,0.8236607313156128,0.3273971676826477
34,4759,,,0.8120404481887817,0.338261216878891,,
35,4895,,,,,0.7723214030265808,0.46423816680908203
35,4895,,,0.8160615563392639,0.33954647183418274,,
36,5031,,,,,0.8314732313156128,0.3239663541316986
36,5031,,,0.8147978186607361,0.33720293641090393,,
37,5167,,,,,0.8459821343421936,0.3001520037651062
37,5167,,,0.8091682195663452,0.3398960530757904,,
38,5303,,,,,0.8381696343421936,0.3106098473072052
38,5303,,,0.8177849054336548,0.33558908104896545,,
39,5439,,,,,0.8270089030265808,0.3225755989551544
39,5439,,,0.8153722286224365,0.3321917653083801,,
40,5575,,,,,0.8504464030265808,0.3103776276111603
40,5575,,,0.8176700472831726,0.32873618602752686,,
41,5711,,,,,0.8392857313156128,0.30121102929115295
41,5711,,,0.8239889740943909,0.3313198983669281,,
42,5847,,,,,0.8448660969734192,0.2964215576648712
42,5847,,,0.8208869695663452,0.3285573422908783,,
43,5983,,,,,0.8482142686843872,0.30544161796569824
43,5983,,,0.8250229954719543,0.32309794425964355,,
44,6119,,,,,0.8180803656578064,0.35219550132751465
44,6119,,,0.8272058963775635,0.3211606442928314,,
45,6255,,,,,0.8504464030265808,0.29461032152175903
45,6255,,,0.8250229954719543,0.32148125767707825,,
46,6391,,,,,0.8526785969734192,0.28948426246643066
46,6391,,,0.8268612027168274,0.3214305639266968,,
47,6527,,,,,0.8504464030265808,0.2875272333621979
47,6527,,,0.8269761204719543,0.3199063241481781,,
48,6663,,,,,0.8448660969734192,0.296553373336792
48,6663,,,0.8289292454719543,0.31798428297042847,,
49,6799,,,,,0.8169642686843872,0.33377906680107117
49,6799,,,0.8323759436607361,0.31735971570014954,,
50,6935,,,,,0.8392857313156128,0.3059215545654297
50,6935,,,0.8329503536224365,0.3137513995170593,,
51,7071,,,,,0.8560267686843872,0.2879370152950287
51,7071,,,0.8335248231887817,0.3100722134113312,,
52,7207,,,,,0.8627232313156128,0.2907628118991852
52,7207,,,0.8346737027168274,0.31017133593559265,,
53,7343,,,,,0.8370535969734192,0.3107414245605469
53,7343,,,0.8349034786224365,0.30947181582450867,,
54,7479,,,,,0.8638392686843872,0.28005489706993103
54,7479,,,0.8405330777168274,0.3050681948661804,,
55,7615,,,,,0.859375,0.2872624695301056
55,7615,,,0.8353630304336548,0.30547651648521423,,
56,7751,,,,,0.828125,0.3552955687046051
56,7751,,,0.8460478186607361,0.3006826937198639,,
57,7887,,,,,0.8761160969734192,0.27074137330055237
57,7887,,,0.845818042755127,0.3019823431968689,,
58,8023,,,,,0.8359375,0.3201584219932556
58,8023,,,0.845588207244873,0.30098438262939453,,
59,8159,,,,,0.8470982313156128,0.3180862367153168
59,8159,,,0.8461626768112183,0.3009640872478485,,
60,8295,,,,,0.8426339030265808,0.31978532671928406
60,8295,,,0.8525965213775635,0.29527896642684937,,
61,8431,,,,,0.8515625,0.3062818944454193
61,8431,,,0.8473115563392639,0.296132355928421,,
62,8567,,,,,0.8649553656578064,0.2673484683036804
62,8567,,,0.8520220518112183,0.2920662760734558,,
63,8703,,,,,0.8783482313156128,0.26370829343795776
63,8703,,,0.8519071936607361,0.2921839654445648,,
64,8839,,,,,0.875,0.27152562141418457
64,8839,,,0.8524816036224365,0.28856024146080017,,
65,8975,,,,,0.890625,0.26463890075683594
65,8975,,,0.859375,0.28626301884651184,,
66,9111,,,,,0.8839285969734192,0.2643161118030548
66,9111,,,0.859489917755127,0.28372684121131897,,
67,9247,,,,,0.8649553656578064,0.26377421617507935
67,9247,,,0.8621323704719543,0.282690167427063,,
68,9383,,,,,0.8828125,0.25960761308670044
68,9383,,,0.8619025945663452,0.28321126103401184,,
69,9519,,,,,0.8738839030265808,0.24965879321098328
69,9519,,,0.8604090213775635,0.2799397110939026,,
70,9655,,,,,0.8861607313156128,0.24757476150989532
70,9655,,,0.865349292755127,0.27772271633148193,,
71,9791,,,,,0.875,0.28933531045913696
71,9791,,,0.8643152713775635,0.27720215916633606,,
72,9927,,,,,0.875,0.24808059632778168
72,9927,,,0.867072582244873,0.2748795747756958,,
73,10063,,,,,0.875,0.2725171446800232
73,10063,,,0.8683363795280457,0.2712242305278778,,
74,10199,,,,,0.8783482313156128,0.26608431339263916
74,10199,,,0.8687959313392639,0.2707274258136749,,
75,10335,,,,,0.8883928656578064,0.24393333494663239
