epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,54,,,,,0.65625,1.0976701974868774
0,54,,,0.5096591114997864,1.4018088579177856,,
1,109,,,,,0.7161458134651184,0.7540330290794373
1,109,,,0.6630681753158569,0.9162912964820862,,
2,164,,,,,0.7239583134651184,0.6036040186882019
2,164,,,0.7389204502105713,0.6358012557029724,,
3,219,,,,,0.640625,0.7473366856575012
3,219,,,0.7852272987365723,0.47005778551101685,,
4,274,,,,,0.6848958134651184,0.5735735297203064
4,274,,,0.8136363625526428,0.3850199282169342,,
5,329,,,,,0.7109375,0.7189595103263855
5,329,,,0.8352272510528564,0.34448865056037903,,
6,384,,,,,0.7265625,0.5773259997367859
6,384,,,0.8352272510528564,0.3306643068790436,,
7,439,,,,,0.7838541865348816,0.5257709622383118
7,439,,,0.8588067889213562,0.310764342546463,,
8,494,,,,,0.7760416865348816,0.5741072297096252
8,494,,,0.8721590638160706,0.28469106554985046,,
9,549,,,,,0.6536458134651184,0.8514054417610168
9,549,,,0.886931836605072,0.25668951869010925,,
10,604,,,,,0.6822916865348816,0.7993850708007812
10,604,,,0.9039772748947144,0.23512229323387146,,
11,659,,,,,0.6953125,0.8611156940460205
11,659,,,0.9176136255264282,0.20626375079154968,,
12,714,,,,,0.7994791865348816,0.529015302658081
12,714,,,0.925568163394928,0.18855445086956024,,
13,769,,,,,0.7421875,0.7221147418022156
13,769,,,0.9389204382896423,0.16711652278900146,,
14,824,,,,,0.6614583134651184,1.0310503244400024
14,824,,,0.9375,0.16308201849460602,,
15,879,,,,,0.7369791865348816,0.7571707367897034
15,879,,,0.9440340995788574,0.14691932499408722,,
16,934,,,,,0.7083333134651184,1.0910224914550781
16,934,,,0.9448863863945007,0.1505637913942337,,
17,989,,,,,0.7994791865348816,0.6631160974502563
17,989,,,0.9457386136054993,0.13757099211215973,,
18,1044,,,,,0.6822916865348816,1.106924295425415
18,1044,,,0.9505681991577148,0.1291825920343399,,
19,1099,,,,,0.7552083134651184,0.555936336517334
19,1099,,,0.9517045617103577,0.12925341725349426,,
20,1154,,,,,0.7630208134651184,0.6972293853759766
20,1154,,,0.9463068246841431,0.13383953273296356,,
21,1209,,,,,0.6979166865348816,1.2012301683425903
21,1209,,,0.9539772868156433,0.11985693126916885,,
22,1264,,,,,0.6875,0.9355783462524414
22,1264,,,0.9588068127632141,0.10513649135828018,,
23,1319,,,,,0.609375,1.7721418142318726
23,1319,,,0.9571022987365723,0.10848642140626907,,
24,1374,,,,,0.7109375,0.7641634941101074
24,1374,,,0.9590908885002136,0.10340457409620285,,
25,1429,,,,,0.7942708134651184,0.5333818793296814
25,1429,,,0.9514204263687134,0.11246263980865479,,
26,1484,,,,,0.6979166865348816,0.8347599506378174
26,1484,,,0.9593750238418579,0.10380984097719193,,
27,1539,,,,,0.7057291865348816,1.5086346864700317
27,1539,,,0.9659090638160706,0.09477398544549942,,
28,1594,,,,,0.7526041865348816,0.7696545720100403
28,1594,,,0.9616477489471436,0.09837754815816879,,
29,1649,,,,,0.7916666865348816,0.6346045136451721
29,1649,,,0.9681817889213562,0.08862876147031784,,
30,1704,,,,,0.7708333134651184,0.7169683575630188
30,1704,,,0.9653409123420715,0.09093142300844193,,
31,1759,,,,,0.796875,0.6013196110725403
31,1759,,,0.9676136374473572,0.08502145856618881,,
32,1814,,,,,0.7526041865348816,0.5596316456794739
32,1814,,,0.9684659242630005,0.08514291048049927,,
