epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,160,,,,,0.5959821343421936,0.8701756596565247
0,160,,,0.6028726696968079,1.0596833229064941,,
1,321,,,,,0.6015625,0.9936724305152893
1,321,,,0.7695069909095764,0.5307822227478027,,
2,482,,,,,0.5223214030265808,1.0638421773910522
2,482,,,0.8137616515159607,0.46905696392059326,,
3,643,,,,,0.6729910969734192,0.9276849627494812
3,643,,,0.8450116515159607,0.40991249680519104,,
4,804,,,,,0.5747767686843872,1.318394422531128
4,804,,,0.8740295171737671,0.36005935072898865,,
5,965,,,,,0.5647321343421936,1.202669382095337
5,965,,,0.885869562625885,0.3355107009410858,,
6,1126,,,,,0.5842633843421936,1.4223871231079102
6,1126,,,0.9059588313102722,0.2940898835659027,,
7,1287,,,,,0.5558035969734192,1.6736167669296265
7,1287,,,0.9150815010070801,0.26900768280029297,,
8,1448,,,,,0.5876116156578064,1.436809778213501
8,1448,,,0.9202251434326172,0.25440046191215515,,
9,1609,,,,,0.6065848469734192,1.7628761529922485
9,1609,,,0.9237189292907715,0.24627363681793213,,
10,1770,,,,,0.6556919813156128,1.2029650211334229
10,1770,,,0.929056704044342,0.23062747716903687,,
11,1931,,,,,0.5803571343421936,1.8285329341888428
11,1931,,,0.9291537404060364,0.22938300669193268,,
12,2092,,,,,0.6222098469734192,1.3660411834716797
12,2092,,,0.9297360181808472,0.2238243818283081,,
13,2253,,,,,0.6121651530265808,1.869319200515747
13,2253,,,0.932744562625885,0.21931304037570953,,
14,2414,,,,,0.6138392686843872,1.8159878253936768
14,2414,,,0.9345884919166565,0.20791713893413544,,
15,2575,,,,,0.6690848469734192,1.410961389541626
15,2575,,,0.936141312122345,0.20529310405254364,,
16,2736,,,,,0.60546875,1.6431242227554321
16,2736,,,0.9359471797943115,0.20483732223510742,,
17,2897,,,,,0.6802455186843872,1.458228349685669
17,2897,,,0.9312888383865356,0.2083914875984192,,
18,3058,,,,,0.6316964030265808,1.6596921682357788
18,3058,,,0.9384704828262329,0.19535332918167114,,
19,3219,,,,,0.6484375,1.4870233535766602
19,3219,,,0.9378882050514221,0.19813349843025208,,
20,3380,,,,,0.6216517686843872,1.7344247102737427
20,3380,,,0.9409937858581543,0.1897556334733963,,
21,3541,,,,,0.6272321343421936,1.9538803100585938
21,3541,,,0.9414790272712708,0.18467086553573608,,
22,3702,,,,,0.6540178656578064,1.7101061344146729
22,3702,,,0.9407997131347656,0.18700861930847168,,
23,3863,,,,,0.6573660969734192,1.87102210521698
23,3863,,,0.9442934989929199,0.1750703603029251,,
24,4024,,,,,0.7154017686843872,1.5641957521438599
24,4024,,,0.9441964030265808,0.17882971465587616,,
25,4185,,,,,0.6796875,1.2260973453521729
25,4185,,,0.9467197060585022,0.17062094807624817,,
26,4346,,,,,0.6489955186843872,1.7323486804962158
26,4346,,,0.9463315010070801,0.17313271760940552,,
27,4507,,,,,0.69140625,1.5415961742401123
27,4507,,,0.9473990797996521,0.16801533102989197,,
28,4668,,,,,0.7137276530265808,1.2171268463134766
28,4668,,,0.9458462595939636,0.16842781007289886,,
29,4829,,,,,0.6311383843421936,1.7900121212005615
29,4829,,,0.9439052939414978,0.17241613566875458,,
30,4990,,,,,0.7025669813156128,1.4359395503997803
30,4990,,,0.945943295955658,0.16677874326705933,,
31,5151,,,,,0.6774553656578064,1.63699471950531
31,5151,,,0.9505046606063843,0.15655921399593353,,
32,5312,,,,,0.6529017686843872,1.813398003578186
32,5312,,,0.9510869383811951,0.1478547751903534,,
33,5473,,,,,0.6969866156578064,1.7049514055252075
33,5473,,,0.9507958292961121,0.15018132328987122,,
34,5634,,,,,0.6724330186843872,1.8719556331634521
34,5634,,,0.9521545171737671,0.14608992636203766,,
35,5795,,,,,0.5608258843421936,1.9118061065673828
35,5795,,,0.9507958292961121,0.14871862530708313,,
36,5956,,,,,0.7159598469734192,1.5996330976486206
36,5956,,,0.9501164555549622,0.14754757285118103,,
37,6117,,,,,0.7008928656578064,1.4290863275527954
37,6117,,,0.9508928656578064,0.14953772723674774,,
38,6278,,,,,0.6618303656578064,1.7157491445541382
38,6278,,,0.9560365080833435,0.13491685688495636,,
39,6439,,,,,0.6662946343421936,1.7627503871917725
39,6439,,,0.9540954828262329,0.13450896739959717,,
40,6600,,,,,0.6713169813156128,1.3168259859085083
40,6600,,,0.954483687877655,0.13675883412361145,,
41,6761,,,,,0.6099330186843872,1.648267388343811
41,6761,,,0.9585598111152649,0.1260199397802353,,
42,6922,,,,,0.6049107313156128,1.5903280973434448
42,6922,,,0.9550659656524658,0.1349738985300064,,
43,7083,,,,,0.6908482313156128,1.7326494455337524
43,7083,,,0.953125,0.14228981733322144,,
44,7244,,,,,0.6450892686843872,1.6750658750534058
44,7244,,,0.9595302939414978,0.11969082057476044,,
45,7405,,,,,0.6506696343421936,1.842679738998413
45,7405,,,0.9627329111099243,0.11274564266204834,,
46,7566,,,,,0.7416294813156128,1.4365168809890747
46,7566,,,0.9611801505088806,0.11470986902713776,,
47,7727,,,,,0.5608258843421936,2.144167184829712
47,7727,,,0.9606948494911194,0.11935243755578995,,
48,7888,,,,,0.6696428656578064,1.8106034994125366
48,7888,,,0.9644798040390015,0.11184906959533691,,
49,8049,,,,,0.7126116156578064,1.779905080795288
49,8049,,,0.9638004899024963,0.1120222955942154,,
50,8210,,,,,0.53515625,2.260380983352661
50,8210,,,0.9606948494911194,0.11714503169059753,,
51,8211,0.7020833492279053,0.7161948084831238,,,,
