epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,36,,,,,0.659375011920929,1.1463959217071533
0,36,,,0.5325168967247009,1.4433385133743286,,
1,73,,,,,0.7875000238418579,0.6425607800483704
1,73,,,0.7381756901741028,0.9262810945510864,,
2,110,,,,,0.784375011920929,0.38489633798599243
2,110,,,0.7913851141929626,0.5726684927940369,,
3,147,,,,,0.7875000238418579,0.3220135271549225
3,147,,,0.7956081032752991,0.4074413478374481,,
4,184,,,,,0.7875000238418579,0.2884584069252014
4,184,,,0.8019425868988037,0.34747111797332764,,
5,221,,,,,0.800000011920929,0.27510008215904236
5,221,,,0.8057432174682617,0.31838974356651306,,
6,258,,,,,0.846875011920929,0.27002304792404175
6,258,,,0.8006756901741028,0.3086574077606201,,
7,295,,,,,0.7875000238418579,0.27022862434387207
7,295,,,0.8036317825317383,0.2985926866531372,,
8,332,,,,,0.840624988079071,0.26538580656051636
8,332,,,0.802787184715271,0.29574862122535706,,
9,369,,,,,0.846875011920929,0.2593044340610504
9,369,,,0.8167229890823364,0.2900085747241974,,
10,406,,,,,0.862500011920929,0.254816472530365
10,406,,,0.8154560923576355,0.28759220242500305,,
11,443,,,,,0.846875011920929,0.2527426779270172
11,443,,,0.8268581032752991,0.28276216983795166,,
12,480,,,,,0.831250011920929,0.29194456338882446
12,480,,,0.8382601141929626,0.2716445028781891,,
13,517,,,,,0.815625011920929,0.26676666736602783
13,517,,,0.8403716087341309,0.27075719833374023,,
14,554,,,,,0.871874988079071,0.23600535094738007
14,554,,,0.8576858043670654,0.25922054052352905,,
15,591,,,,,0.862500011920929,0.24467042088508606
15,591,,,0.8737331032752991,0.24230608344078064,,
16,628,,,,,0.800000011920929,0.39765962958335876
16,628,,,0.8796452879905701,0.23479773104190826,,
17,665,,,,,0.8968750238418579,0.20019829273223877
17,665,,,0.8902027010917664,0.21472294628620148,,
18,702,,,,,0.793749988079071,0.9854103326797485
18,702,,,0.9037162065505981,0.2041570097208023,,
19,739,,,,,0.8968750238418579,0.20017270743846893
19,739,,,0.9028716087341309,0.19427525997161865,,
20,776,,,,,0.8687499761581421,0.22770801186561584
20,776,,,0.9214527010917664,0.17074382305145264,,
21,813,,,,,0.809374988079071,0.7741547226905823
21,813,,,0.9244087934494019,0.16178689897060394,,
22,850,,,,,0.909375011920929,0.21963843703269958
22,850,,,0.9201858043670654,0.1667538285255432,,
23,887,,,,,0.8968750238418579,0.27404099702835083
23,887,,,0.9231418967247009,0.1673545241355896,,
24,924,,,,,0.887499988079071,0.3873061239719391
24,924,,,0.9417229890823364,0.14096799492835999,,
25,961,,,,,0.8687499761581421,0.255446195602417
25,961,,,0.9303209185600281,0.15929841995239258,,
26,998,,,,,0.9156249761581421,0.19315971434116364
26,998,,,0.9391891956329346,0.1377382129430771,,
27,1035,,,,,0.8812500238418579,0.5095192193984985
27,1035,,,0.9375,0.13879123330116272,,
28,1072,,,,,0.9156249761581421,0.19332413375377655
28,1072,,,0.9311655163764954,0.14923329651355743,,
29,1109,,,,,0.9156249761581421,0.23893949389457703
29,1109,,,0.9383445978164673,0.13542601466178894,,
30,1146,,,,,0.8968750238418579,0.38110241293907166
30,1146,,,0.9467905163764954,0.12840215861797333,,
31,1183,,,,,0.8031250238418579,0.9469287991523743
31,1183,,,0.9413006901741028,0.1275605857372284,,
32,1220,,,,,0.909375011920929,0.35340577363967896
32,1220,,,0.9467905163764954,0.11816731095314026,,
33,1257,,,,,0.8968750238418579,0.4706951677799225
33,1257,,,0.9522804021835327,0.10894589871168137,,
34,1294,,,,,0.800000011920929,1.2021338939666748
34,1294,,,0.9413006901741028,0.13174815475940704,,
35,1331,,,,,0.8187500238418579,0.7141609787940979
35,1331,,,0.9522804021835327,0.11419255286455154,,
36,1368,,,,,0.9312499761581421,0.12748844921588898
36,1368,,,0.9560810923576355,0.10250075161457062,,
37,1405,,,,,0.934374988079071,0.14603906869888306
37,1405,,,0.9518581032752991,0.10866761952638626,,
38,1442,,,,,0.8968750238418579,0.48629650473594666
38,1442,,,0.9527027010917664,0.1124950498342514,,
39,1479,,,,,0.9125000238418579,0.3031982481479645
39,1479,,,0.9556587934494019,0.10211136937141418,,
