epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,36,,,,,0.30937498807907104,1.7343603372573853
0,36,,,0.2605574429035187,1.7590419054031372,,
1,73,,,,,0.48750001192092896,1.6486613750457764
1,73,,,0.4197635054588318,1.6945085525512695,,
2,110,,,,,0.48124998807907104,1.5046112537384033
2,110,,,0.43581080436706543,1.5809553861618042,,
3,147,,,,,0.421875,1.3104658126831055
3,147,,,0.41342905163764954,1.4145398139953613,,
4,184,,,,,0.4312500059604645,1.135154366493225
4,184,,,0.4455236494541168,1.2288990020751953,,
5,221,,,,,0.5375000238418579,0.9812833666801453
5,221,,,0.46875,1.0880062580108643,,
6,258,,,,,0.671875,0.8686324954032898
6,258,,,0.5282939076423645,0.9710221290588379,,
7,295,,,,,0.6156250238418579,0.8037676811218262
7,295,,,0.5650337934494019,0.8926599621772766,,
8,332,,,,,0.690625011920929,0.7448290586471558
8,332,,,0.5646114945411682,0.8420069217681885,,
9,369,,,,,0.6812499761581421,0.705357551574707
9,369,,,0.5865709185600281,0.8025493621826172,,
10,406,,,,,0.6187499761581421,0.6855728030204773
10,406,,,0.5869932174682617,0.7639579176902771,,
11,443,,,,,0.721875011920929,0.63556969165802
11,443,,,0.6076858043670654,0.727178692817688,,
12,480,,,,,0.721875011920929,0.6094464063644409
12,480,,,0.6241554021835327,0.6978079080581665,,
13,517,,,,,0.7281249761581421,0.575713038444519
13,517,,,0.630912184715271,0.6664915084838867,,
14,554,,,,,0.746874988079071,0.5548352003097534
14,554,,,0.6456925868988037,0.6390336751937866,,
15,591,,,,,0.753125011920929,0.520581066608429
15,591,,,0.6668074131011963,0.6109307408332825,,
16,628,,,,,0.765625,0.482703298330307
16,628,,,0.6689189076423645,0.5854063034057617,,
17,665,,,,,0.796875,0.44675523042678833
17,665,,,0.6997466087341309,0.5560017824172974,,
18,702,,,,,0.753125011920929,0.4363296627998352
18,702,,,0.7166385054588318,0.5260503888130188,,
19,739,,,,,0.731249988079071,0.42475777864456177
19,739,,,0.7221283912658691,0.50189208984375,,
20,776,,,,,0.7562500238418579,0.4011459946632385
20,776,,,0.7373310923576355,0.47888439893722534,,
21,813,,,,,0.7718750238418579,0.3886137902736664
21,813,,,0.7576013803482056,0.45080211758613586,,
22,850,,,,,0.768750011920929,0.37323465943336487
22,850,,,0.7728040814399719,0.43073609471321106,,
23,887,,,,,0.800000011920929,0.34565797448158264
23,887,,,0.7664695978164673,0.41172218322753906,,
24,924,,,,,0.768750011920929,0.3422200083732605
24,924,,,0.7723817825317383,0.3911300003528595,,
25,961,,,,,0.78125,0.32109516859054565
25,961,,,0.7867398858070374,0.38005557656288147,,
26,998,,,,,0.778124988079071,0.31304413080215454
26,998,,,0.7787162065505981,0.3644973039627075,,
27,1035,,,,,0.840624988079071,0.3009943664073944
27,1035,,,0.7854729890823364,0.3561599850654602,,
28,1072,,,,,0.840624988079071,0.2915413975715637
28,1072,,,0.7888513803482056,0.34527528285980225,,
29,1109,,,,,0.784375011920929,0.2985145151615143
29,1109,,,0.7791385054588318,0.34054702520370483,,
30,1146,,,,,0.8343750238418579,0.28681477904319763
30,1146,,,0.7854729890823364,0.32920533418655396,,
31,1183,,,,,0.8374999761581421,0.2805696427822113
31,1183,,,0.7799831032752991,0.3257649838924408,,
32,1220,,,,,0.784375011920929,0.28775280714035034
32,1220,,,0.7875844836235046,0.31984764337539673,,
33,1257,,,,,0.78125,0.2838684320449829
33,1257,,,0.7960304021835327,0.313638299703598,,
34,1294,,,,,0.84375,0.27297043800354004
34,1294,,,0.7947635054588318,0.3126926124095917,,
35,1331,,,,,0.78125,0.28089985251426697
35,1331,,,0.7972972989082336,0.30842697620391846,,
36,1368,,,,,0.824999988079071,0.2721574902534485
36,1368,,,0.7829391956329346,0.3090066611766815,,
37,1405,,,,,0.784375011920929,0.27743035554885864
37,1405,,,0.7956081032752991,0.30372190475463867,,
38,1442,,,,,0.84375,0.26829981803894043
38,1442,,,0.7888513803482056,0.30306246876716614,,
39,1479,,,,,0.78125,0.27516838908195496
39,1479,,,0.7943412065505981,0.30105340480804443,,
40,1516,,,,,0.840624988079071,0.26910266280174255
40,1516,,,0.7888513803482056,0.2983033061027527,,
41,1553,,,,,0.8374999761581421,0.27018672227859497
41,1553,,,0.7918074131011963,0.2967430353164673,,
42,1590,,,,,0.784375011920929,0.268753319978714
42,1590,,,0.8032094836235046,0.29422885179519653,,
43,1627,,,,,0.84375,0.2573237419128418
43,1627,,,0.8006756901741028,0.29218149185180664,,
44,1664,,,,,0.784375011920929,0.27438539266586304
44,1664,,,0.8036317825317383,0.2936636209487915,,
45,1701,,,,,0.840624988079071,0.2668299376964569
45,1701,,,0.7918074131011963,0.29669973254203796,,
46,1738,,,,,0.784375011920929,0.2772515118122101
46,1738,,,0.7972972989082336,0.29361000657081604,,
47,1775,,,,,0.84375,0.26408934593200684
47,1775,,,0.7939189076423645,0.2919228672981262,,
48,1812,,,,,0.840624988079071,0.2574208378791809
48,1812,,,0.7998310923576355,0.2921731472015381,,
49,1849,,,,,0.828125,0.26455092430114746
49,1849,,,0.7960304021835327,0.28995752334594727,,
50,1886,,,,,0.840624988079071,0.26179414987564087
50,1886,,,0.796875,0.28775909543037415,,
51,1923,,,,,0.84375,0.25515633821487427
51,1923,,,0.8002533912658691,0.2886330187320709,,
52,1960,,,,,0.84375,0.25861769914627075
52,1960,,,0.8015202879905701,0.2872506380081177,,
53,1997,,,,,0.793749988079071,0.2637123167514801
53,1997,,,0.7922297120094299,0.29016730189323425,,
54,2034,,,,,0.8031250238418579,0.2646734416484833
54,2034,,,0.8015202879905701,0.2854101061820984,,
55,2071,,,,,0.84375,0.2587355077266693
55,2071,,,0.7972972989082336,0.28585928678512573,,
56,2108,,,,,0.8374999761581421,0.26068630814552307
56,2108,,,0.7985641956329346,0.28766730427742004,,
57,2145,,,,,0.784375011920929,0.275133341550827
57,2145,,,0.7981418967247009,0.28983888030052185,,
58,2182,,,,,0.793749988079071,0.26078593730926514
58,2182,,,0.7896959185600281,0.2900981903076172,,
59,2219,,,,,0.8374999761581421,0.2570766508579254
59,2219,,,0.7985641956329346,0.285363107919693,,
60,2256,,,,,0.784375011920929,0.2705511450767517
60,2256,,,0.8036317825317383,0.2852899730205536,,
61,2293,,,,,0.84375,0.2592717707157135
61,2293,,,0.7930743098258972,0.28607654571533203,,
62,2330,,,,,0.8187500238418579,0.2609262764453888
62,2330,,,0.8129222989082336,0.28233882784843445,,
63,2367,,,,,0.784375011920929,0.26912766695022583
63,2367,,,0.8044763803482056,0.2840772867202759,,
64,2404,,,,,0.84375,0.25501713156700134
64,2404,,,0.7956081032752991,0.2886815369129181,,
65,2441,,,,,0.784375011920929,0.270121693611145
65,2441,,,0.8108108043670654,0.2823313772678375,,
66,2478,,,,,0.840624988079071,0.2591301500797272
66,2478,,,0.796875,0.28634700179100037,,
67,2515,,,,,0.84375,0.2565610706806183
67,2515,,,0.7951858043670654,0.28270187973976135,,
68,2552,,,,,0.840624988079071,0.25887948274612427
68,2552,,,0.7913851141929626,0.2881191372871399,,
69,2589,,,,,0.846875011920929,0.25974240899086
69,2589,,,0.7947635054588318,0.2846100330352783,,
70,2626,,,,,0.840624988079071,0.26054301857948303
70,2626,,,0.7994087934494019,0.28805267810821533,,
71,2663,,,,,0.84375,0.26133885979652405
71,2663,,,0.7985641956329346,0.28331422805786133,,
72,2700,,,,,0.840624988079071,0.25803661346435547
72,2700,,,0.7985641956329346,0.2813107371330261,,
73,2737,,,,,0.84375,0.2573830187320709
73,2737,,,0.7972972989082336,0.2848700284957886,,
74,2774,,,,,0.840624988079071,0.2620229125022888
74,2774,,,0.8044763803482056,0.28246355056762695,,
75,2811,,,,,0.78125,0.2645164132118225
75,2811,,,0.7960304021835327,0.28192681074142456,,
76,2848,,,,,0.840624988079071,0.2583639323711395
76,2848,,,0.7989864945411682,0.28023937344551086,,
77,2885,,,,,0.784375011920929,0.26568880677223206
77,2885,,,0.7985641956329346,0.28167232871055603,,
78,2922,,,,,0.8374999761581421,0.26291781663894653
78,2922,,,0.7930743098258972,0.2836064398288727,,
79,2959,,,,,0.78125,0.26211830973625183
79,2959,,,0.8002533912658691,0.283376008272171,,
80,2996,,,,,0.84375,0.2559841275215149
80,2996,,,0.8108108043670654,0.28093090653419495,,
81,3033,,,,,0.8500000238418579,0.2594253718852997
