encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,KuHar,3,finetune,1,KuHar,0.4765625,0.3974730605492299
cnnpff,KuHar,3,finetune,1,MotionSense,0.3310546875,0.25086572683323644
cnnpff,KuHar,3,finetune,1,RealWorld_thigh,0.3701388888888889,0.29172440994549925
cnnpff,KuHar,3,finetune,1,RealWorld_waist,0.4375,0.38475685816083877
cnnpff,KuHar,3,finetune,1,UCI,0.4703125,0.3518577649037334
cnnpff,KuHar,3,finetune,1,WISDM,0.370703125,0.23492562310962603
cnnpff,KuHar,3,finetune,10,KuHar,0.6171875,0.5480335686857426
cnnpff,KuHar,3,finetune,10,MotionSense,0.2685546875,0.2582609513537064
cnnpff,KuHar,3,finetune,10,RealWorld_thigh,0.3315972222222222,0.3032754950767664
cnnpff,KuHar,3,finetune,10,RealWorld_waist,0.503515625,0.495778897968629
cnnpff,KuHar,3,finetune,10,UCI,0.3890625,0.3796890400740179
cnnpff,KuHar,3,finetune,10,WISDM,0.345703125,0.2558705341899714
cnnpff,KuHar,3,finetune,100,KuHar,0.765625,0.7153798858146684
cnnpff,KuHar,3,finetune,100,MotionSense,0.3134765625,0.2305023487445945
cnnpff,KuHar,3,finetune,100,RealWorld_thigh,0.3663194444444444,0.3022607128002019
cnnpff,KuHar,3,finetune,100,RealWorld_waist,0.60234375,0.550712811300851
cnnpff,KuHar,3,finetune,100,UCI,0.3515625,0.3157361495742376
cnnpff,KuHar,3,finetune,100,WISDM,0.378125,0.24040718992675733
cnnpff,KuHar,3,finetune,full,KuHar,0.7890625,0.7450654226126673
cnnpff,KuHar,3,finetune,full,MotionSense,0.4150390625,0.3754089598148929
cnnpff,KuHar,3,finetune,full,RealWorld_thigh,0.3888888888888889,0.3689815468447666
cnnpff,KuHar,3,finetune,full,RealWorld_waist,0.593359375,0.5912853513369459
cnnpff,KuHar,3,finetune,full,UCI,0.4390625,0.4341865392856832
cnnpff,KuHar,3,finetune,full,WISDM,0.461328125,0.35194069097004577
cnnpff,KuHar,3,linear,1,KuHar,0.4609375,0.38576332060374613
cnnpff,KuHar,3,linear,1,MotionSense,0.3134765625,0.20980718675617993
cnnpff,KuHar,3,linear,1,RealWorld_thigh,0.3260416666666667,0.22066799161757913
cnnpff,KuHar,3,linear,1,RealWorld_waist,0.395703125,0.34705920828680403
cnnpff,KuHar,3,linear,1,UCI,0.421875,0.3991474317450948
cnnpff,KuHar,3,linear,1,WISDM,0.23125,0.1368386659214123
cnnpff,KuHar,3,linear,10,KuHar,0.640625,0.5797748780586308
cnnpff,KuHar,3,linear,10,MotionSense,0.2890625,0.2518433349929239
cnnpff,KuHar,3,linear,10,RealWorld_thigh,0.340625,0.30443044110583606
cnnpff,KuHar,3,linear,10,RealWorld_waist,0.501171875,0.49756699872405363
cnnpff,KuHar,3,linear,10,UCI,0.3921875,0.39686198962940644
cnnpff,KuHar,3,linear,10,WISDM,0.299609375,0.23428559613044067
cnnpff,KuHar,3,linear,100,KuHar,0.71875,0.6665808351854863
cnnpff,KuHar,3,linear,100,MotionSense,0.318359375,0.23076179266910338
cnnpff,KuHar,3,linear,100,RealWorld_thigh,0.4027777777777778,0.3238330745254658
cnnpff,KuHar,3,linear,100,RealWorld_waist,0.615625,0.5619935880906596
cnnpff,KuHar,3,linear,100,UCI,0.3328125,0.28510469167110647
cnnpff,KuHar,3,linear,100,WISDM,0.39921875,0.24461863302588596
cnnpff,KuHar,3,linear,full,KuHar,0.765625,0.7202906009738493
cnnpff,KuHar,3,linear,full,MotionSense,0.4033203125,0.36346201243121823
cnnpff,KuHar,3,linear,full,RealWorld_thigh,0.459375,0.4469734702715546
cnnpff,KuHar,3,linear,full,RealWorld_waist,0.640234375,0.6421857667915959
cnnpff,KuHar,3,linear,full,UCI,0.353125,0.35255547185014807
cnnpff,KuHar,3,linear,full,WISDM,0.445703125,0.3407405844776019
