encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
cnnpff,combined,1,finetune,1,KuHar,0.1328125,0.10965214820654316
cnnpff,combined,1,finetune,1,MotionSense,0.2041015625,0.1514805369177516
cnnpff,combined,1,finetune,1,RealWorld_thigh,0.20555555555555555,0.14435792247500753
cnnpff,combined,1,finetune,1,RealWorld_waist,0.19609375,0.13873790381753406
cnnpff,combined,1,finetune,1,UCI,0.2546875,0.1603748151243344
cnnpff,combined,1,finetune,1,WISDM,0.122265625,0.059997068877827325
cnnpff,combined,1,finetune,10,KuHar,0.203125,0.1726405060554387
cnnpff,combined,1,finetune,10,MotionSense,0.208984375,0.1622427436186045
cnnpff,combined,1,finetune,10,RealWorld_thigh,0.234375,0.18148527730017616
cnnpff,combined,1,finetune,10,RealWorld_waist,0.21015625,0.17022836472177302
cnnpff,combined,1,finetune,10,UCI,0.284375,0.20469657755922302
cnnpff,combined,1,finetune,10,WISDM,0.165234375,0.09394073481938929
cnnpff,combined,1,finetune,100,KuHar,0.46875,0.3884146341463415
cnnpff,combined,1,finetune,100,MotionSense,0.5498046875,0.48614818056659503
cnnpff,combined,1,finetune,100,RealWorld_thigh,0.4930555555555556,0.45304081927393874
cnnpff,combined,1,finetune,100,RealWorld_waist,0.551171875,0.49842681040493075
cnnpff,combined,1,finetune,100,UCI,0.4984375,0.43114156385917424
cnnpff,combined,1,finetune,100,WISDM,0.49921875,0.3250449970183948
cnnpff,combined,1,finetune,full,KuHar,0.6328125,0.5689886605793169
cnnpff,combined,1,finetune,full,MotionSense,0.845703125,0.8467020766669608
cnnpff,combined,1,finetune,full,RealWorld_thigh,0.7440972222222222,0.7450808174804114
cnnpff,combined,1,finetune,full,RealWorld_waist,0.73046875,0.7348186705115144
cnnpff,combined,1,finetune,full,UCI,0.8703125,0.6923256549288025
cnnpff,combined,1,finetune,full,WISDM,0.7515625,0.520009954550215
cnnpff,combined,1,linear,1,KuHar,0.1953125,0.08489258489258489
cnnpff,combined,1,linear,1,MotionSense,0.154296875,0.06702907454946122
cnnpff,combined,1,linear,1,RealWorld_thigh,0.15694444444444444,0.07346192629181526
cnnpff,combined,1,linear,1,RealWorld_waist,0.215625,0.1276049777015074
cnnpff,combined,1,linear,1,UCI,0.215625,0.17729578683584074
cnnpff,combined,1,linear,1,WISDM,0.21484375,0.08363957416672978
cnnpff,combined,1,linear,10,KuHar,0.40625,0.32937269865251856
cnnpff,combined,1,linear,10,MotionSense,0.3681640625,0.32233445784335873
cnnpff,combined,1,linear,10,RealWorld_thigh,0.37118055555555557,0.33414007863507234
cnnpff,combined,1,linear,10,RealWorld_waist,0.462109375,0.42551181617996786
cnnpff,combined,1,linear,10,UCI,0.4671875,0.3489852891895877
cnnpff,combined,1,linear,10,WISDM,0.372265625,0.2581375055169386
cnnpff,combined,1,linear,100,KuHar,0.5234375,0.4685188005514684
cnnpff,combined,1,linear,100,MotionSense,0.5634765625,0.5341630455857739
cnnpff,combined,1,linear,100,RealWorld_thigh,0.4600694444444444,0.456968718835905
cnnpff,combined,1,linear,100,RealWorld_waist,0.53515625,0.5271445677304308
cnnpff,combined,1,linear,100,UCI,0.5796875,0.5602874039821311
cnnpff,combined,1,linear,100,WISDM,0.5125,0.36565924678079265
cnnpff,combined,1,linear,full,KuHar,0.5625,0.48509028635007806
cnnpff,combined,1,linear,full,MotionSense,0.7216796875,0.7106638623980337
cnnpff,combined,1,linear,full,RealWorld_thigh,0.6392361111111111,0.6407680986963382
cnnpff,combined,1,linear,full,RealWorld_waist,0.65703125,0.6616605160924037
cnnpff,combined,1,linear,full,UCI,0.6875,0.641821985779629
cnnpff,combined,1,linear,full,WISDM,0.734375,0.5074584054430527
