encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,KuHar,0,finetune,1,KuHar,0.5234375,0.43631257507316995
resnetse5,KuHar,0,finetune,1,MotionSense,0.37890625,0.289471418636568
resnetse5,KuHar,0,finetune,1,RealWorld_thigh,0.3704861111111111,0.2939714482780816
resnetse5,KuHar,0,finetune,1,RealWorld_waist,0.402734375,0.344406353472181
resnetse5,KuHar,0,finetune,1,UCI,0.3859375,0.26140773100681663
resnetse5,KuHar,0,finetune,1,WISDM,0.513671875,0.2818334492657649
resnetse5,KuHar,0,finetune,10,KuHar,0.6953125,0.6454328822749876
resnetse5,KuHar,0,finetune,10,MotionSense,0.5087890625,0.3772516340682994
resnetse5,KuHar,0,finetune,10,RealWorld_thigh,0.4045138888888889,0.29106201092985595
resnetse5,KuHar,0,finetune,10,RealWorld_waist,0.5484375,0.4997126972054251
resnetse5,KuHar,0,finetune,10,UCI,0.5234375,0.41308006789361346
resnetse5,KuHar,0,finetune,10,WISDM,0.430078125,0.2729586136837745
resnetse5,KuHar,0,finetune,100,KuHar,0.8125,0.8036547017707664
resnetse5,KuHar,0,finetune,100,MotionSense,0.599609375,0.5624979298417635
resnetse5,KuHar,0,finetune,100,RealWorld_thigh,0.5069444444444444,0.5079090397826017
resnetse5,KuHar,0,finetune,100,RealWorld_waist,0.69140625,0.6874668035090039
resnetse5,KuHar,0,finetune,100,UCI,0.378125,0.30366174194502865
resnetse5,KuHar,0,finetune,100,WISDM,0.542578125,0.4156491202517123
resnetse5,KuHar,0,finetune,full,KuHar,0.84375,0.8601398601398601
resnetse5,KuHar,0,finetune,full,MotionSense,0.4287109375,0.40129915014029544
resnetse5,KuHar,0,finetune,full,RealWorld_thigh,0.5076388888888889,0.5017257972166548
resnetse5,KuHar,0,finetune,full,RealWorld_waist,0.670703125,0.6535098452132674
resnetse5,KuHar,0,finetune,full,UCI,0.3640625,0.30164242049430784
resnetse5,KuHar,0,finetune,full,WISDM,0.50546875,0.37006120410204907
resnetse5,KuHar,0,linear,1,KuHar,0.34375,0.25945439767357026
resnetse5,KuHar,0,linear,1,MotionSense,0.3681640625,0.2582230544608943
resnetse5,KuHar,0,linear,1,RealWorld_thigh,0.3489583333333333,0.2852559752784301
resnetse5,KuHar,0,linear,1,RealWorld_waist,0.3375,0.2833368716908427
resnetse5,KuHar,0,linear,1,UCI,0.303125,0.1955445984198332
resnetse5,KuHar,0,linear,1,WISDM,0.428125,0.25024729299432424
resnetse5,KuHar,0,linear,10,KuHar,0.546875,0.4455719470787964
resnetse5,KuHar,0,linear,10,MotionSense,0.41015625,0.30510810052994136
resnetse5,KuHar,0,linear,10,RealWorld_thigh,0.35104166666666664,0.27573521153558234
resnetse5,KuHar,0,linear,10,RealWorld_waist,0.48671875,0.42494246325401114
resnetse5,KuHar,0,linear,10,UCI,0.44375,0.2872079150705105
resnetse5,KuHar,0,linear,10,WISDM,0.422265625,0.28047513009467123
resnetse5,KuHar,0,linear,100,KuHar,0.671875,0.6258020938872002
resnetse5,KuHar,0,linear,100,MotionSense,0.484375,0.3734482205797804
resnetse5,KuHar,0,linear,100,RealWorld_thigh,0.3638888888888889,0.2788071192186024
resnetse5,KuHar,0,linear,100,RealWorld_waist,0.585546875,0.5371185317290078
resnetse5,KuHar,0,linear,100,UCI,0.3796875,0.3380580195389328
resnetse5,KuHar,0,linear,100,WISDM,0.311328125,0.20503291091342135
resnetse5,KuHar,0,linear,full,KuHar,0.7109375,0.6810488332197379
resnetse5,KuHar,0,linear,full,MotionSense,0.5380859375,0.4754698407906561
resnetse5,KuHar,0,linear,full,RealWorld_thigh,0.41597222222222224,0.3760872297234968
resnetse5,KuHar,0,linear,full,RealWorld_waist,0.65859375,0.6615623010331894
resnetse5,KuHar,0,linear,full,UCI,0.4703125,0.4729660593419327
resnetse5,KuHar,0,linear,full,WISDM,0.34453125,0.2766427554109873
