encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,RealWorld_waist,1,finetune,1,KuHar,0.390625,0.2325789540979414
resnetse5,RealWorld_waist,1,finetune,1,MotionSense,0.3642578125,0.26998604191335807
resnetse5,RealWorld_waist,1,finetune,1,RealWorld_thigh,0.33784722222222224,0.2625413057284346
resnetse5,RealWorld_waist,1,finetune,1,RealWorld_waist,0.348046875,0.27266738562842435
resnetse5,RealWorld_waist,1,finetune,1,UCI,0.26875,0.21242683368821105
resnetse5,RealWorld_waist,1,finetune,1,WISDM,0.43828125,0.29975137457519707
resnetse5,RealWorld_waist,1,finetune,10,KuHar,0.390625,0.24305555555555558
resnetse5,RealWorld_waist,1,finetune,10,MotionSense,0.40625,0.30260440365047997
resnetse5,RealWorld_waist,1,finetune,10,RealWorld_thigh,0.36006944444444444,0.27638245687860263
resnetse5,RealWorld_waist,1,finetune,10,RealWorld_waist,0.38046875,0.3226390024102846
resnetse5,RealWorld_waist,1,finetune,10,UCI,0.321875,0.2516769959082867
resnetse5,RealWorld_waist,1,finetune,10,WISDM,0.461328125,0.2613097575860508
resnetse5,RealWorld_waist,1,finetune,100,KuHar,0.59375,0.4676767676767677
resnetse5,RealWorld_waist,1,finetune,100,MotionSense,0.4775390625,0.4212240760481912
resnetse5,RealWorld_waist,1,finetune,100,RealWorld_thigh,0.390625,0.31680202374717215
resnetse5,RealWorld_waist,1,finetune,100,RealWorld_waist,0.73515625,0.7304207968470089
resnetse5,RealWorld_waist,1,finetune,100,UCI,0.69375,0.5140764168591629
resnetse5,RealWorld_waist,1,finetune,100,WISDM,0.401953125,0.31129124573026107
resnetse5,RealWorld_waist,1,finetune,full,KuHar,0.5859375,0.5547916289851774
resnetse5,RealWorld_waist,1,finetune,full,MotionSense,0.51953125,0.505776297750646
resnetse5,RealWorld_waist,1,finetune,full,RealWorld_thigh,0.2298611111111111,0.21464452300499182
resnetse5,RealWorld_waist,1,finetune,full,RealWorld_waist,0.732421875,0.7280758009430053
resnetse5,RealWorld_waist,1,finetune,full,UCI,0.6921875,0.5223674131867094
resnetse5,RealWorld_waist,1,finetune,full,WISDM,0.401953125,0.31579958380923273
resnetse5,RealWorld_waist,1,linear,1,KuHar,0.40625,0.2880030538773462
resnetse5,RealWorld_waist,1,linear,1,MotionSense,0.3095703125,0.24531185359343868
resnetse5,RealWorld_waist,1,linear,1,RealWorld_thigh,0.31319444444444444,0.25564996451513755
resnetse5,RealWorld_waist,1,linear,1,RealWorld_waist,0.3453125,0.311003503613398
resnetse5,RealWorld_waist,1,linear,1,UCI,0.30625,0.2584178682472657
resnetse5,RealWorld_waist,1,linear,1,WISDM,0.362109375,0.23171546741668156
resnetse5,RealWorld_waist,1,linear,10,KuHar,0.4140625,0.30673274094326725
resnetse5,RealWorld_waist,1,linear,10,MotionSense,0.3662109375,0.31083734789124806
resnetse5,RealWorld_waist,1,linear,10,RealWorld_thigh,0.32743055555555556,0.27457366794774324
resnetse5,RealWorld_waist,1,linear,10,RealWorld_waist,0.39296875,0.362886021841402
resnetse5,RealWorld_waist,1,linear,10,UCI,0.3421875,0.2738047354559829
resnetse5,RealWorld_waist,1,linear,10,WISDM,0.341015625,0.21795557983365424
resnetse5,RealWorld_waist,1,linear,100,KuHar,0.5546875,0.4842744431886032
resnetse5,RealWorld_waist,1,linear,100,MotionSense,0.4267578125,0.3770743093905331
resnetse5,RealWorld_waist,1,linear,100,RealWorld_thigh,0.36770833333333336,0.29897950696393977
resnetse5,RealWorld_waist,1,linear,100,RealWorld_waist,0.566015625,0.5684218211008031
resnetse5,RealWorld_waist,1,linear,100,UCI,0.565625,0.4430302243433324
resnetse5,RealWorld_waist,1,linear,100,WISDM,0.319921875,0.24044241106558076
resnetse5,RealWorld_waist,1,linear,full,KuHar,0.546875,0.4393932488682284
resnetse5,RealWorld_waist,1,linear,full,MotionSense,0.4287109375,0.35612310301914
resnetse5,RealWorld_waist,1,linear,full,RealWorld_thigh,0.30486111111111114,0.24394763744176673
resnetse5,RealWorld_waist,1,linear,full,RealWorld_waist,0.60546875,0.6064420384346819
resnetse5,RealWorld_waist,1,linear,full,UCI,0.646875,0.5130198730538122
resnetse5,RealWorld_waist,1,linear,full,WISDM,0.32421875,0.24822472876526055
