encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,UCI,0,finetune,1,KuHar,0.2421875,0.15080154781647317
resnetse5,UCI,0,finetune,1,MotionSense,0.3564453125,0.2256338539321184
resnetse5,UCI,0,finetune,1,RealWorld_thigh,0.32569444444444445,0.22931683909466674
resnetse5,UCI,0,finetune,1,RealWorld_waist,0.344140625,0.24931230968199525
resnetse5,UCI,0,finetune,1,UCI,0.525,0.35671456556059716
resnetse5,UCI,0,finetune,1,WISDM,0.249609375,0.14290403154588335
resnetse5,UCI,0,finetune,10,KuHar,0.25,0.14248366013071895
resnetse5,UCI,0,finetune,10,MotionSense,0.35546875,0.2275299439181597
resnetse5,UCI,0,finetune,10,RealWorld_thigh,0.35555555555555557,0.2533655139012892
resnetse5,UCI,0,finetune,10,RealWorld_waist,0.370703125,0.2690729219150354
resnetse5,UCI,0,finetune,10,UCI,0.61875,0.4325389597737475
resnetse5,UCI,0,finetune,10,WISDM,0.251953125,0.1398992345701345
resnetse5,UCI,0,finetune,100,KuHar,0.40625,0.2755429755429755
resnetse5,UCI,0,finetune,100,MotionSense,0.1923828125,0.17960045796913746
resnetse5,UCI,0,finetune,100,RealWorld_thigh,0.33125,0.2324737500842824
resnetse5,UCI,0,finetune,100,RealWorld_waist,0.54375,0.49262394649985136
resnetse5,UCI,0,finetune,100,UCI,0.80625,0.7805729013354376
resnetse5,UCI,0,finetune,100,WISDM,0.40234375,0.27332751903572733
resnetse5,UCI,0,finetune,full,KuHar,0.5,0.40184349723665175
resnetse5,UCI,0,finetune,full,MotionSense,0.298828125,0.28090952806254743
resnetse5,UCI,0,finetune,full,RealWorld_thigh,0.32083333333333336,0.25851710771296693
resnetse5,UCI,0,finetune,full,RealWorld_waist,0.51484375,0.4674425908285422
resnetse5,UCI,0,finetune,full,UCI,0.9703125,0.9642546461051799
resnetse5,UCI,0,finetune,full,WISDM,0.4125,0.29272634786864304
resnetse5,UCI,0,linear,1,KuHar,0.2578125,0.17426479439735446
resnetse5,UCI,0,linear,1,MotionSense,0.3662109375,0.26008324842554237
resnetse5,UCI,0,linear,1,RealWorld_thigh,0.3385416666666667,0.25740506443510985
resnetse5,UCI,0,linear,1,RealWorld_waist,0.321484375,0.2512068577194659
resnetse5,UCI,0,linear,1,UCI,0.46875,0.4087918511784315
resnetse5,UCI,0,linear,1,WISDM,0.279296875,0.16344994920241443
resnetse5,UCI,0,linear,10,KuHar,0.25,0.1678485796275807
resnetse5,UCI,0,linear,10,MotionSense,0.3828125,0.285380947114761
resnetse5,UCI,0,linear,10,RealWorld_thigh,0.36909722222222224,0.2908014958769682
resnetse5,UCI,0,linear,10,RealWorld_waist,0.354296875,0.28150024241300253
resnetse5,UCI,0,linear,10,UCI,0.5203125,0.46230672158641317
resnetse5,UCI,0,linear,10,WISDM,0.287109375,0.17732623974599537
resnetse5,UCI,0,linear,100,KuHar,0.265625,0.22555677619095174
resnetse5,UCI,0,linear,100,MotionSense,0.302734375,0.2561326079273642
resnetse5,UCI,0,linear,100,RealWorld_thigh,0.36666666666666664,0.3257804799809809
resnetse5,UCI,0,linear,100,RealWorld_waist,0.483203125,0.44336727664715453
resnetse5,UCI,0,linear,100,UCI,0.74375,0.7194908253157403
resnetse5,UCI,0,linear,100,WISDM,0.279296875,0.21137941494596726
resnetse5,UCI,0,linear,full,KuHar,0.328125,0.24242707183883658
resnetse5,UCI,0,linear,full,MotionSense,0.3779296875,0.35990382166153734
resnetse5,UCI,0,linear,full,RealWorld_thigh,0.3524305555555556,0.312506684987676
resnetse5,UCI,0,linear,full,RealWorld_waist,0.484765625,0.43613473651857637
resnetse5,UCI,0,linear,full,UCI,0.8140625,0.7886263492344455
resnetse5,UCI,0,linear,full,WISDM,0.416796875,0.29185569353450797
