encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,WISDM,3,finetune,1,KuHar,0.25,0.13629114107583007
resnetse5,WISDM,3,finetune,1,MotionSense,0.25,0.13672501474079937
resnetse5,WISDM,3,finetune,1,RealWorld_thigh,0.2222222222222222,0.11540869054590319
resnetse5,WISDM,3,finetune,1,RealWorld_waist,0.194140625,0.11081231711123281
resnetse5,WISDM,3,finetune,1,UCI,0.2203125,0.08676626591230552
resnetse5,WISDM,3,finetune,1,WISDM,0.3734375,0.27125007840844995
resnetse5,WISDM,3,finetune,10,KuHar,0.375,0.25969320534537926
resnetse5,WISDM,3,finetune,10,MotionSense,0.353515625,0.23693929778961442
resnetse5,WISDM,3,finetune,10,RealWorld_thigh,0.31493055555555555,0.20034310825680093
resnetse5,WISDM,3,finetune,10,RealWorld_waist,0.2421875,0.1735629678224647
resnetse5,WISDM,3,finetune,10,UCI,0.240625,0.18995447661313047
resnetse5,WISDM,3,finetune,10,WISDM,0.484765625,0.4058003834452746
resnetse5,WISDM,3,finetune,100,KuHar,0.546875,0.3638888888888889
resnetse5,WISDM,3,finetune,100,MotionSense,0.5634765625,0.48301332619341303
resnetse5,WISDM,3,finetune,100,RealWorld_thigh,0.5461805555555556,0.4674205211646689
resnetse5,WISDM,3,finetune,100,RealWorld_waist,0.345703125,0.23984647375189708
resnetse5,WISDM,3,finetune,100,UCI,0.4046875,0.31222760673508376
resnetse5,WISDM,3,finetune,100,WISDM,0.80546875,0.8014100305153244
resnetse5,WISDM,3,finetune,full,KuHar,0.5703125,0.42540133594751267
resnetse5,WISDM,3,finetune,full,MotionSense,0.6181640625,0.5149015827720351
resnetse5,WISDM,3,finetune,full,RealWorld_thigh,0.4829861111111111,0.3735964187135256
resnetse5,WISDM,3,finetune,full,RealWorld_waist,0.442578125,0.32172540942776906
resnetse5,WISDM,3,finetune,full,UCI,0.378125,0.24214203124106973
resnetse5,WISDM,3,finetune,full,WISDM,0.875,0.8728846065849714
resnetse5,WISDM,3,linear,1,KuHar,0.203125,0.08550537634408602
resnetse5,WISDM,3,linear,1,MotionSense,0.2294921875,0.14373134800786172
resnetse5,WISDM,3,linear,1,RealWorld_thigh,0.19340277777777778,0.10055990983833292
resnetse5,WISDM,3,linear,1,RealWorld_waist,0.15234375,0.08591048862398763
resnetse5,WISDM,3,linear,1,UCI,0.2140625,0.09444993823645947
resnetse5,WISDM,3,linear,1,WISDM,0.306640625,0.22761130842715854
resnetse5,WISDM,3,linear,10,KuHar,0.2421875,0.16462454741040036
resnetse5,WISDM,3,linear,10,MotionSense,0.255859375,0.19455912076116058
resnetse5,WISDM,3,linear,10,RealWorld_thigh,0.23541666666666666,0.16801037495532425
resnetse5,WISDM,3,linear,10,RealWorld_waist,0.165234375,0.12315376610469547
resnetse5,WISDM,3,linear,10,UCI,0.2046875,0.13942064121093448
resnetse5,WISDM,3,linear,10,WISDM,0.35859375,0.3333830396041165
resnetse5,WISDM,3,linear,100,KuHar,0.5234375,0.33983983983983984
resnetse5,WISDM,3,linear,100,MotionSense,0.533203125,0.4425230621337326
resnetse5,WISDM,3,linear,100,RealWorld_thigh,0.46805555555555556,0.38844544159901595
resnetse5,WISDM,3,linear,100,RealWorld_waist,0.3671875,0.29183291910732295
resnetse5,WISDM,3,linear,100,UCI,0.3625,0.2508583391944022
resnetse5,WISDM,3,linear,100,WISDM,0.767578125,0.7629407947067748
resnetse5,WISDM,3,linear,full,KuHar,0.5390625,0.3527777777777777
resnetse5,WISDM,3,linear,full,MotionSense,0.5546875,0.4555422938253935
resnetse5,WISDM,3,linear,full,RealWorld_thigh,0.5357638888888889,0.4500070646687142
resnetse5,WISDM,3,linear,full,RealWorld_waist,0.41796875,0.31254564187384853
resnetse5,WISDM,3,linear,full,UCI,0.3828125,0.25153865667564296
resnetse5,WISDM,3,linear,full,WISDM,0.805859375,0.8010796494760907
