encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
resnetse5,combined,3,finetune,1,KuHar,0.21875,0.15575396825396826
resnetse5,combined,3,finetune,1,MotionSense,0.1474609375,0.1366522462046675
resnetse5,combined,3,finetune,1,RealWorld_thigh,0.19027777777777777,0.13136424246994566
resnetse5,combined,3,finetune,1,RealWorld_waist,0.148046875,0.11646092510438266
resnetse5,combined,3,finetune,1,UCI,0.153125,0.1075315225414211
resnetse5,combined,3,finetune,1,WISDM,0.24375,0.22940943279743314
resnetse5,combined,3,finetune,10,KuHar,0.2890625,0.1642037517743732
resnetse5,combined,3,finetune,10,MotionSense,0.265625,0.18639328525469198
resnetse5,combined,3,finetune,10,RealWorld_thigh,0.24756944444444445,0.1487624481583035
resnetse5,combined,3,finetune,10,RealWorld_waist,0.2265625,0.17744029005552495
resnetse5,combined,3,finetune,10,UCI,0.2171875,0.12787559909116109
resnetse5,combined,3,finetune,10,WISDM,0.38125,0.22220253715915475
resnetse5,combined,3,finetune,100,KuHar,0.4921875,0.4037378993900733
resnetse5,combined,3,finetune,100,MotionSense,0.6796875,0.6591485684415894
resnetse5,combined,3,finetune,100,RealWorld_thigh,0.5614583333333333,0.5449936686168625
resnetse5,combined,3,finetune,100,RealWorld_waist,0.50390625,0.48724882716211804
resnetse5,combined,3,finetune,100,UCI,0.5578125,0.49766876152980377
resnetse5,combined,3,finetune,100,WISDM,0.59140625,0.4160631089575528
resnetse5,combined,3,finetune,full,KuHar,0.828125,0.8106625913853415
resnetse5,combined,3,finetune,full,MotionSense,0.9189453125,0.9190125277063932
resnetse5,combined,3,finetune,full,RealWorld_thigh,0.6402777777777777,0.6045593738179297
resnetse5,combined,3,finetune,full,RealWorld_waist,0.758203125,0.757794595278776
resnetse5,combined,3,finetune,full,UCI,0.9140625,0.7504213834761507
resnetse5,combined,3,finetune,full,WISDM,0.83125,0.5623574069835512
resnetse5,combined,3,linear,1,KuHar,0.296875,0.2177267177267177
resnetse5,combined,3,linear,1,MotionSense,0.27734375,0.21009887100026794
resnetse5,combined,3,linear,1,RealWorld_thigh,0.284375,0.24362836046345593
resnetse5,combined,3,linear,1,RealWorld_waist,0.275390625,0.2237888150182634
resnetse5,combined,3,linear,1,UCI,0.253125,0.1892980732874364
resnetse5,combined,3,linear,1,WISDM,0.323046875,0.24565977359705254
resnetse5,combined,3,linear,10,KuHar,0.3046875,0.21374238829053724
resnetse5,combined,3,linear,10,MotionSense,0.3017578125,0.24962810183585557
resnetse5,combined,3,linear,10,RealWorld_thigh,0.34375,0.28849001178410894
resnetse5,combined,3,linear,10,RealWorld_waist,0.31796875,0.2908179714718522
resnetse5,combined,3,linear,10,UCI,0.28125,0.24708342833159946
resnetse5,combined,3,linear,10,WISDM,0.32109375,0.22452275115682427
resnetse5,combined,3,linear,100,KuHar,0.34375,0.2925614169916449
resnetse5,combined,3,linear,100,MotionSense,0.4609375,0.4445539745619218
resnetse5,combined,3,linear,100,RealWorld_thigh,0.37256944444444445,0.3664077685890374
resnetse5,combined,3,linear,100,RealWorld_waist,0.32265625,0.31717625529496435
resnetse5,combined,3,linear,100,UCI,0.3875,0.35243142189298354
resnetse5,combined,3,linear,100,WISDM,0.432421875,0.30602644393349393
resnetse5,combined,3,linear,full,KuHar,0.46875,0.3222457627118644
resnetse5,combined,3,linear,full,MotionSense,0.5458984375,0.5199721644312657
resnetse5,combined,3,linear,full,RealWorld_thigh,0.46145833333333336,0.43618843375364275
resnetse5,combined,3,linear,full,RealWorld_waist,0.453515625,0.4227334361510556
resnetse5,combined,3,linear,full,UCI,0.5265625,0.39939435857156713
resnetse5,combined,3,linear,full,WISDM,0.637109375,0.439289518739499
