encoder,source,seed,protocol,n_shots,target,test_acc,test_f1_macro
rnn,MotionSense,2,finetune,1,KuHar,0.3046875,0.22569404279930594
rnn,MotionSense,2,finetune,1,MotionSense,0.3671875,0.30787422583710916
rnn,MotionSense,2,finetune,1,RealWorld_thigh,0.3572916666666667,0.3009437986253816
rnn,MotionSense,2,finetune,1,RealWorld_waist,0.325390625,0.2568380110960093
rnn,MotionSense,2,finetune,1,UCI,0.36875,0.27358431039140935
rnn,MotionSense,2,finetune,1,WISDM,0.41171875,0.2627578279503427
rnn,MotionSense,2,finetune,10,KuHar,0.3125,0.21448412698412697
rnn,MotionSense,2,finetune,10,MotionSense,0.44140625,0.3797304635160225
rnn,MotionSense,2,finetune,10,RealWorld_thigh,0.34131944444444445,0.2630287083808485
rnn,MotionSense,2,finetune,10,RealWorld_waist,0.33984375,0.23999087754618142
rnn,MotionSense,2,finetune,10,UCI,0.31875,0.22721804532759718
rnn,MotionSense,2,finetune,10,WISDM,0.419921875,0.24748438232378764
rnn,MotionSense,2,finetune,100,KuHar,0.25,0.160403772472738
rnn,MotionSense,2,finetune,100,MotionSense,0.765625,0.7157751619170406
rnn,MotionSense,2,finetune,100,RealWorld_thigh,0.5010416666666667,0.4545082935018578
rnn,MotionSense,2,finetune,100,RealWorld_waist,0.322265625,0.20010261113774583
rnn,MotionSense,2,finetune,100,UCI,0.35625,0.2817884028424447
rnn,MotionSense,2,finetune,100,WISDM,0.494921875,0.3244090973724653
rnn,MotionSense,2,finetune,full,KuHar,0.2734375,0.18323586744639375
rnn,MotionSense,2,finetune,full,MotionSense,0.791015625,0.7445503750651762
rnn,MotionSense,2,finetune,full,RealWorld_thigh,0.5472222222222223,0.5033056893059401
rnn,MotionSense,2,finetune,full,RealWorld_waist,0.357421875,0.24025692796746775
rnn,MotionSense,2,finetune,full,UCI,0.4875,0.3609691086697652
rnn,MotionSense,2,finetune,full,WISDM,0.46015625,0.2765935580731718
rnn,MotionSense,2,linear,1,KuHar,0.3046875,0.2197869532428356
rnn,MotionSense,2,linear,1,MotionSense,0.359375,0.30242425292404057
rnn,MotionSense,2,linear,1,RealWorld_thigh,0.3385416666666667,0.28440863583214543
rnn,MotionSense,2,linear,1,RealWorld_waist,0.337890625,0.23873590033115935
rnn,MotionSense,2,linear,1,UCI,0.384375,0.26534119132448347
rnn,MotionSense,2,linear,1,WISDM,0.35859375,0.2320410844620119
rnn,MotionSense,2,linear,10,KuHar,0.3125,0.2473869744246832
rnn,MotionSense,2,linear,10,MotionSense,0.494140625,0.436678952703073
rnn,MotionSense,2,linear,10,RealWorld_thigh,0.3732638888888889,0.3165979803623278
rnn,MotionSense,2,linear,10,RealWorld_waist,0.35703125,0.2695326971756887
rnn,MotionSense,2,linear,10,UCI,0.38125,0.2567282357801063
rnn,MotionSense,2,linear,10,WISDM,0.449609375,0.28865239665095527
rnn,MotionSense,2,linear,100,KuHar,0.25,0.17038577038577038
rnn,MotionSense,2,linear,100,MotionSense,0.7578125,0.7544145315482224
rnn,MotionSense,2,linear,100,RealWorld_thigh,0.5128472222222222,0.5027960237661149
rnn,MotionSense,2,linear,100,RealWorld_waist,0.362890625,0.2686536836292947
rnn,MotionSense,2,linear,100,UCI,0.4359375,0.3505007158767154
rnn,MotionSense,2,linear,100,WISDM,0.506640625,0.3699523686049657
rnn,MotionSense,2,linear,full,KuHar,0.25,0.15325102880658434
rnn,MotionSense,2,linear,full,MotionSense,0.7958984375,0.7916751602996451
rnn,MotionSense,2,linear,full,RealWorld_thigh,0.5208333333333334,0.5117143392698674
rnn,MotionSense,2,linear,full,RealWorld_waist,0.355078125,0.24790059116462382
rnn,MotionSense,2,linear,full,UCI,0.440625,0.33899184564598384
rnn,MotionSense,2,linear,full,WISDM,0.51953125,0.3746017247230615
