setup,par,n,mediana,icc_dom,neff_dom,ic95_dom,cruza0_dom,icc_reg,neff_reg,ic95_reg,cruza0_reg
centralizado,LFR + cnnpff,24,-0.3857421875,0.1180695495900511,17.722527486289497,"[-5.1,+1.8]",SIM,0.05141326550880355,19.092071336354852,"[-1.2,+0.2]",SIM
centralizado,LFR + resnetse5,24,0.2734375,0.3268557651663362,12.117740232579749,"[-1.4,+1.0]",SIM,0.10116493488917794,15.938110463511611,"[-0.1,+0.8]",SIM
centralizado,LFR + rnn,24,5.954861111111107,0.04179914846577833,21.325799252660037,"[+5.5,+8.8]",não,0.7793922119619315,4.900998743276277,"[+3.3,+17.0]",não
centralizado,LFR + tstcc,24,1.1474609375,0.1218925199837001,17.573694335915828,"[-0.5,+3.1]",SIM,0.375399062199351,8.342036536613275,"[-1.3,+4.3]",SIM
centralizado,TF-C + cnnpff,24,8.6328125,0.1898455971509262,15.291135659066242,"[+6.3,+10.4]",não,0.24504634723652358,10.785393543403245,"[+6.7,+13.3]",não
centralizado,TF-C + resnetse5,24,0.2001953125,0.02461758299474288,22.349432939201314,"[-0.2,+0.6]",SIM,0.8513867786130117,4.565398859525469,"[-15.1,+2.8]",SIM
centralizado,TF-C + rnn,24,15.14404296875,0.21459083491493156,14.600560558546476,"[+11.6,+21.7]",não,0.473976449751626,7.121910567897286,"[+11.6,+26.5]",não
centralizado,TF-C + tstcc,24,1.767578125,0.37083202436323437,11.360967864379496,"[-1.4,+4.8]",SIM,0.0570312798885039,18.674769864905798,"[-0.3,+5.5]",SIM
federado,LFR + cnnpff,30,0.33935546875,0.09362271523232424,21.826263711725897,"[-0.1,+0.8]",SIM,0.1340423979938733,17.961791784616654,"[+0.0,+0.7]",não
federado,LFR + resnetse5,30,1.71630859375,0.1383715090429865,19.31140628333236,"[+0.7,+2.0]",não,0.20560531529799833,14.792705553160218,"[+0.2,+2.0]",não
federado,LFR + rnn,30,2.921549479166668,0.16978492573293086,17.86629185625292,"[+1.7,+5.7]",não,0.4440594831542092,9.315909720971224,"[-0.3,+5.9]",SIM
federado,LFR + tstcc,30,3.428819444444443,0.1291525131058495,19.780958165259992,"[+2.8,+4.3]",não,0.08249439601169163,21.239359380961584,"[+2.7,+3.9]",não
federado,TF-C + cnnpff,30,5.55419921875,0.12771959249794185,19.855999394685533,"[+4.2,+5.9]",não,0.6146559405084109,7.36507242094806,"[+4.3,+7.5]",não
federado,TF-C + resnetse5,30,1.8706597222222214,0.2835550954896231,14.05665518594202,"[-0.2,+2.7]",SIM,0.3813339602075875,10.321089787800236,"[-0.5,+2.9]",SIM
federado,TF-C + rnn,30,23.0712890625,0.5787564902440266,9.049702884126592,"[+18.5,+27.0]",não,0.16647567152525608,16.372164556048855,"[+19.4,+24.5]",não
federado,TF-C + tstcc,30,0.4332139756944464,0.42456691350384995,11.118244683901468,"[-1.4,+4.1]",SIM,0.3833284001679469,10.285801271243663,"[-0.9,+3.0]",SIM
