encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb
resnetse5,iid:MotionSense:10,192,2,5,1,MotionSense,0.349609375,0.1915636166055171,0.3645833333333333,0.191996106991379,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,2,MotionSense,0.4091796875,0.2941263536417576,0.3697916666666667,0.21784107553881568,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,3,MotionSense,0.5361328125,0.4317018204905146,0.4453125,0.3293472003041082,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,4,MotionSense,0.6123046875,0.5008787336729762,0.5182291666666666,0.4109615858922185,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,5,MotionSense,0.6328125,0.5196856729192217,0.5677083333333334,0.4596925227113906,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,6,MotionSense,0.64453125,0.5398052292512386,0.6041666666666666,0.49665907957096533,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,7,MotionSense,0.7138671875,0.6520820194741938,0.6666666666666666,0.5987034844576359,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,8,MotionSense,0.7626953125,0.7110865637585627,0.6979166666666666,0.6497598209927821,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,9,MotionSense,0.7802734375,0.7300147431622034,0.7135416666666666,0.6602075180848257,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,10,MotionSense,0.7822265625,0.7324219464061562,0.71875,0.6662417081325235,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,11,MotionSense,0.7880859375,0.7427599759686706,0.7265625,0.678609833744478,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,12,MotionSense,0.7890625,0.7437835033348351,0.7265625,0.6807145639755986,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,13,MotionSense,0.7958984375,0.7610104091104225,0.75,0.7161656343814337,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,14,MotionSense,0.79296875,0.7538415647710518,0.7421875,0.7064493556620467,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,15,MotionSense,0.7900390625,0.7544697661578835,0.7369791666666666,0.6951733722114121,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,16,MotionSense,0.8056640625,0.7803741179829916,0.7447916666666666,0.70426734766709,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,17,MotionSense,0.8232421875,0.8128144869518357,0.75,0.7079975879585375,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,18,MotionSense,0.814453125,0.7990659705165736,0.7526041666666666,0.7179155487661405,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,19,MotionSense,0.83984375,0.8354629809164016,0.7734375,0.7337861998395382,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,20,MotionSense,0.8291015625,0.821941272648005,0.7552083333333334,0.7178609215900763,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,21,MotionSense,0.84375,0.8421765325380114,0.7708333333333334,0.7367972706890654,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,22,MotionSense,0.8466796875,0.8463582761753897,0.7682291666666666,0.7351972001615291,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,23,MotionSense,0.841796875,0.8383919989978622,0.7578125,0.7231041107228311,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,24,MotionSense,0.8544921875,0.8562790721866124,0.7630208333333334,0.7276752811339112,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,25,MotionSense,0.8525390625,0.8550289181631175,0.7604166666666666,0.7329056965956716,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,26,MotionSense,0.8583984375,0.8607753852781799,0.765625,0.7371972746562466,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,27,MotionSense,0.857421875,0.8602437907593034,0.7708333333333334,0.746298833614234,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,28,MotionSense,0.865234375,0.8682178714083123,0.75,0.7242601232896811,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,29,MotionSense,0.8828125,0.885194762516897,0.765625,0.7391542533804397,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,30,MotionSense,0.8818359375,0.8838935493323855,0.7578125,0.7367305455089269,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,31,MotionSense,0.87109375,0.8731159771083353,0.7526041666666666,0.7241793301153199,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,32,MotionSense,0.876953125,0.878957180115589,0.7630208333333334,0.7398285791142477,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,33,MotionSense,0.8837890625,0.8851250676764234,0.7447916666666666,0.7188467868452647,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,34,MotionSense,0.8525390625,0.8503793948698156,0.71875,0.6877347135602784,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,35,MotionSense,0.88671875,0.8889012227783032,0.765625,0.7374361208421356,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,36,MotionSense,0.8974609375,0.8988041985367888,0.75,0.7322985303234603,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,37,MotionSense,0.904296875,0.9057188974016745,0.7526041666666666,0.7340988444824977,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,38,MotionSense,0.775390625,0.7282799214508523,0.6458333333333334,0.5803055753503682,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,39,MotionSense,0.9130859375,0.9145051011051276,0.7578125,0.7392464104277662,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,40,MotionSense,0.8955078125,0.8967960647719235,0.7395833333333334,0.7164340661707459,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,41,MotionSense,0.79296875,0.7547182668185953,0.6380208333333334,0.5728889729624612,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,42,MotionSense,0.77734375,0.7338504153573341,0.625,0.561053497185832,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,43,MotionSense,0.79296875,0.7536997309745326,0.6354166666666666,0.5719350483097537,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,44,MotionSense,0.7880859375,0.7478885988438897,0.6380208333333334,0.5642687794764965,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,45,MotionSense,0.8642578125,0.8609028980136691,0.703125,0.6729232209076402,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,46,MotionSense,0.7822265625,0.7392481441499287,0.6354166666666666,0.5664966861010026,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,47,MotionSense,0.82421875,0.8060714476801588,0.65625,0.6104849107173521,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,48,MotionSense,0.794921875,0.7584066885115083,0.640625,0.5735774744463976,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,49,MotionSense,0.796875,0.7654890603333153,0.6510416666666666,0.5912778775173734,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,5,50,MotionSense,0.77734375,0.7290640633796678,0.6354166666666666,0.5643873789966599,5.230560302734375,5.230560302734375
