encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,uplink_mb,downlink_mb
resnetse5,iid:RealWorld_thigh:10,192,3,1,1,RealWorld_thigh,0.15868055555555555,0.0843069784075397,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,2,RealWorld_thigh,0.1423611111111111,0.06738010283673311,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,3,RealWorld_thigh,0.14131944444444444,0.06459520706716987,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,4,RealWorld_thigh,0.14270833333333333,0.06736377776202569,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,5,RealWorld_thigh,0.15034722222222222,0.07919735040042993,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,6,RealWorld_thigh,0.15659722222222222,0.08910902386017361,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,7,RealWorld_thigh,0.37118055555555557,0.2978900839179857,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,8,RealWorld_thigh,0.34444444444444444,0.22048421481229008,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,9,RealWorld_thigh,0.3642361111111111,0.2403876021420682,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,10,RealWorld_thigh,0.40208333333333335,0.294347571073847,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,11,RealWorld_thigh,0.43368055555555557,0.33790577572409136,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,12,RealWorld_thigh,0.4722222222222222,0.38169234198054475,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,13,RealWorld_thigh,0.5006944444444444,0.41268976881867214,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,14,RealWorld_thigh,0.5447916666666667,0.450082812264337,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,15,RealWorld_thigh,0.5517361111111111,0.45838853369755106,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,16,RealWorld_thigh,0.5447916666666667,0.4530075953112691,5.230560302734375,5.230560302734375
resnetse5,iid:RealWorld_thigh:10,192,3,1,17,RealWorld_thigh,0.5385416666666667,0.4495633025893946,5.230560302734375,5.230560302734375
