encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb
rnn,iid:MotionSense:10,192,2,5,1,MotionSense,0.25,0.17094784791512715,0.265625,0.1838281920250662,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,2,MotionSense,0.3251953125,0.2202683216289789,0.3203125,0.20805362562524454,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,3,MotionSense,0.3671875,0.2631904210894336,0.3489583333333333,0.2202539122100169,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,4,MotionSense,0.392578125,0.2898318673361994,0.3567708333333333,0.22810695561120012,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,5,MotionSense,0.4375,0.3660474257157909,0.4192708333333333,0.312884567498996,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,6,MotionSense,0.4248046875,0.33422276681479346,0.4244791666666667,0.31871134926359573,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,7,MotionSense,0.4287109375,0.3317992516019063,0.4244791666666667,0.30823247293375633,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,8,MotionSense,0.4384765625,0.34321958411925874,0.4296875,0.30693403777442724,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,9,MotionSense,0.4560546875,0.3647131715267675,0.4453125,0.32224621744597437,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,10,MotionSense,0.46875,0.3787978221228013,0.4583333333333333,0.33530498512385365,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,11,MotionSense,0.474609375,0.3867657730629728,0.4765625,0.359495800251409,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,12,MotionSense,0.4951171875,0.41255759239619055,0.484375,0.36514669496990376,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,13,MotionSense,0.501953125,0.42202912472737664,0.4973958333333333,0.3797943023182499,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,14,MotionSense,0.5107421875,0.4363387690080218,0.5104166666666666,0.40053534593106915,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,15,MotionSense,0.5234375,0.45486496963464096,0.515625,0.4197623014070084,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,16,MotionSense,0.533203125,0.4709191853988261,0.515625,0.4261159245340349,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,17,MotionSense,0.5458984375,0.48710978964141266,0.5234375,0.4427948971128984,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,18,MotionSense,0.55859375,0.504112681449254,0.515625,0.43863061263513475,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,19,MotionSense,0.5615234375,0.5137507387759951,0.5182291666666666,0.4457039175559267,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,20,MotionSense,0.5751953125,0.528599172564329,0.5234375,0.4544588177546194,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,21,MotionSense,0.58984375,0.5400776997062874,0.5234375,0.45205419893820337,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,22,MotionSense,0.5966796875,0.555877662213616,0.5442708333333334,0.48362522742158404,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,23,MotionSense,0.6025390625,0.5597810151414078,0.546875,0.48668724697504295,6.5224456787109375,6.5224456787109375
rnn,iid:MotionSense:10,192,2,5,24,MotionSense,0.607421875,0.5685377363592252,0.5520833333333334,0.49354083336281845,6.5224456787109375,6.5224456787109375
