encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,1,RealWorld_thigh,0.41909722222222223,0.3321653884372115,0.49832589285714285,0.41449825969825976,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,1,MotionSense,0.5048828125,0.4053600936681652,0.4401041666666667,0.3039428606873457,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,2,RealWorld_thigh,0.5197916666666667,0.4516375948297051,0.5279017857142857,0.45790625115573835,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,2,MotionSense,0.6259765625,0.5497608963461892,0.5833333333333334,0.5018498098686778,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,3,RealWorld_thigh,0.5378472222222223,0.484997246203769,0.46875,0.4090834290714964,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,3,MotionSense,0.640625,0.5646473878256574,0.6380208333333334,0.577809978666259,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,4,RealWorld_thigh,0.5510416666666667,0.5105366099347438,0.4693080357142857,0.4037629111283601,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,4,MotionSense,0.6533203125,0.5950040787228414,0.6432291666666666,0.5812350874538579,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,5,RealWorld_thigh,0.5614583333333333,0.5250723387053989,0.47823660714285715,0.41205980580417867,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,5,MotionSense,0.6640625,0.610374577441686,0.6536458333333334,0.5949824154607766,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,6,RealWorld_thigh,0.5711805555555556,0.5391978517671792,0.4955357142857143,0.4273279386930125,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,6,MotionSense,0.69921875,0.6522029838463307,0.6666666666666666,0.6148647797811965,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,7,RealWorld_thigh,0.5822916666666667,0.5502576991935465,0.5106026785714286,0.43078236402725945,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,7,MotionSense,0.720703125,0.6741427560697751,0.6614583333333334,0.6067409912220516,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,8,RealWorld_thigh,0.5989583333333334,0.5660648346759215,0.53125,0.4437527994150577,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,8,MotionSense,0.7421875,0.6947211844616502,0.6640625,0.6091188572468768,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,9,RealWorld_thigh,0.6138888888888889,0.5836246365612007,0.5396205357142857,0.458757291814147,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,9,MotionSense,0.7607421875,0.7173653945606534,0.6927083333333334,0.6460646471727925,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,10,RealWorld_thigh,0.6072916666666667,0.573107204149388,0.5385044642857143,0.45080655849965745,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,10,MotionSense,0.7626953125,0.7148809755805137,0.6953125,0.6487301951546048,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,11,RealWorld_thigh,0.6111111111111112,0.5766771108339136,0.5362723214285714,0.4501192681722106,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,11,MotionSense,0.771484375,0.726606630986804,0.7083333333333334,0.6635152456803768,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,12,RealWorld_thigh,0.6149305555555555,0.5800202336749253,0.5385044642857143,0.45166725215937914,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,12,MotionSense,0.771484375,0.7268796386598222,0.7057291666666666,0.6577086122266845,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,13,RealWorld_thigh,0.6208333333333333,0.5856182899775014,0.5385044642857143,0.45271129980835073,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,13,MotionSense,0.7705078125,0.7250648776073013,0.6979166666666666,0.6487826453289152,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,14,RealWorld_thigh,0.6201388888888889,0.5847834585154534,0.5345982142857143,0.44853494035564817,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,14,MotionSense,0.76953125,0.7240485959526978,0.7109375,0.66321369743466,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,15,RealWorld_thigh,0.6256944444444444,0.5925203510221366,0.5446428571428571,0.4689432532779998,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,15,MotionSense,0.7734375,0.729347671065777,0.71875,0.6778104033437437,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,16,RealWorld_thigh,0.6267361111111112,0.5941974251007993,0.5407366071428571,0.4627119129809009,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,16,MotionSense,0.76953125,0.7266621074006743,0.7161458333333334,0.6779769838747934,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,17,RealWorld_thigh,0.6315972222222223,0.6001911110655417,0.5418526785714286,0.4669733246235317,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,17,MotionSense,0.7666015625,0.7251048603495671,0.71875,0.6856538983992156,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,18,RealWorld_thigh,0.6347222222222222,0.6034067629616526,0.5407366071428571,0.4656075024623236,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,18,MotionSense,0.7666015625,0.7253481950227343,0.7135416666666666,0.6751415943998545,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,19,RealWorld_thigh,0.6378472222222222,0.6061687875519842,0.5496651785714286,0.4829511493124589,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,19,MotionSense,0.7802734375,0.7386261332930815,0.71875,0.6838488185504445,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,20,RealWorld_thigh,0.6329861111111111,0.6007658872179075,0.5401785714285714,0.46497148198299043,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,20,MotionSense,0.765625,0.7248553306032851,0.7213541666666666,0.6872230009957191,254.18060302734375,254.18060302734375
tstcc,device:RealWorld_thigh+MotionSense:10+10,192,2,5,21,RealWorld_thigh,0.6440972222222222,0.6148098423364518,0.5452008928571429,0.4749397344791589,254.18060302734375,254.18060302734375
