encoder,scenario,seed,round,target,test_acc,test_f1_macro,uplink_bytes,downlink_bytes
resnetse5,1,3,0,KuHar,0.0,0.0,0,0
resnetse5,1,3,0,MotionSense,0.001953125,0.0007833920877399138,0,0
resnetse5,1,3,0,RealWorld_thigh,0.029513888888888888,0.017572544357846703,0,0
resnetse5,1,3,0,RealWorld_waist,0.0328125,0.022359939758041167,0,0
resnetse5,1,3,0,UCI,0.003125,0.004694835680751174,0,0
resnetse5,1,3,0,WISDM,0.005078125,0.0026817947395564724,0,0
resnetse5,1,3,1,KuHar,0.5625,0.3641380446421217,3290784,3290784
resnetse5,1,3,1,MotionSense,0.421875,0.3152467995775979,3290784,3290784
resnetse5,1,3,1,RealWorld_thigh,0.43368055555555557,0.3383316395345362,3290784,3290784
resnetse5,1,3,1,RealWorld_waist,0.439453125,0.3152370162028592,3290784,3290784
resnetse5,1,3,1,UCI,0.3515625,0.21956257397090714,3290784,3290784
resnetse5,1,3,1,WISDM,0.712890625,0.6595088090627697,3290784,3290784
resnetse5,1,3,2,KuHar,0.5703125,0.4027847396268449,3290784,3290784
resnetse5,1,3,2,MotionSense,0.58984375,0.5217309569864429,3290784,3290784
resnetse5,1,3,2,RealWorld_thigh,0.5538194444444444,0.48951336135166956,3290784,3290784
resnetse5,1,3,2,RealWorld_waist,0.521484375,0.43064725992381264,3290784,3290784
resnetse5,1,3,2,UCI,0.4078125,0.3025275318770094,3290784,3290784
resnetse5,1,3,2,WISDM,0.677734375,0.41549154569387053,3290784,3290784
resnetse5,1,3,3,KuHar,0.578125,0.43492063492063493,3290784,3290784
resnetse5,1,3,3,MotionSense,0.6611328125,0.6038536117476566,3290784,3290784
resnetse5,1,3,3,RealWorld_thigh,0.6451388888888889,0.6125657334104364,3290784,3290784
resnetse5,1,3,3,RealWorld_waist,0.610546875,0.5651228540127656,3290784,3290784
resnetse5,1,3,3,UCI,0.61875,0.5116398037616474,3290784,3290784
resnetse5,1,3,3,WISDM,0.671484375,0.42475450828049427,3290784,3290784
resnetse5,1,3,4,KuHar,0.5859375,0.46176046176046176,3290784,3290784
resnetse5,1,3,4,MotionSense,0.697265625,0.6464535426036258,3290784,3290784
resnetse5,1,3,4,RealWorld_thigh,0.6722222222222223,0.646015719485866,3290784,3290784
