encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
cnnpff,device:MotionSense:10,192,3,5,1,MotionSense,0.2626953125,0.20902487815804313,0.20052083333333334,0.15926729351485758,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,2,MotionSense,0.2724609375,0.1961028356498505,0.234375,0.18002250868090616,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,3,MotionSense,0.2392578125,0.1587082013016933,0.2265625,0.1494547257105089,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,4,MotionSense,0.2265625,0.14811183957705898,0.20833333333333334,0.12024830857222572,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,5,MotionSense,0.244140625,0.16768994313411323,0.2109375,0.12489872321403628,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,6,MotionSense,0.310546875,0.22585740773632854,0.22916666666666666,0.15319559784169584,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,7,MotionSense,0.345703125,0.2746372135112245,0.25,0.18986511119212543,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,8,MotionSense,0.3671875,0.3211738820036558,0.234375,0.2058870223128075,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,9,MotionSense,0.3759765625,0.344557423575289,0.24739583333333334,0.24226564694190592,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,10,MotionSense,0.3857421875,0.3597667691850763,0.2421875,0.24772981843149924,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,11,MotionSense,0.3876953125,0.3620373575705145,0.2552083333333333,0.26105252680401086,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,12,MotionSense,0.384765625,0.36095627032325606,0.2708333333333333,0.2745204627499817,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,13,MotionSense,0.3857421875,0.3612003244766331,0.2994791666666667,0.2962954251378505,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,14,MotionSense,0.3876953125,0.36242920789578353,0.3098958333333333,0.3011234970516176,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,15,MotionSense,0.4560546875,0.45785440532588345,0.3802083333333333,0.3894276801546816,5.5629730224609375,5.5629730224609375,lfr,2,100
cnnpff,device:MotionSense:10,192,3,5,16,MotionSense,0.5166015625,0.4943557379812167,0.4635416666666667,0.4333682001855414,5.5629730224609375,5.5629730224609375,lfr,2,100
