encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,1,RealWorld_thigh,0.20625,0.17211426968782995,0.21763392857142858,0.170781337882971,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,1,MotionSense,0.2666015625,0.20724421728618822,0.19791666666666666,0.1542569438285967,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,2,RealWorld_thigh,0.1798611111111111,0.12645900060746984,0.21037946428571427,0.13042866719359136,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,2,MotionSense,0.2646484375,0.20551787367673638,0.2526041666666667,0.16833000883773644,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,3,RealWorld_thigh,0.17673611111111112,0.11970489129710582,0.21149553571428573,0.13297217641535095,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,3,MotionSense,0.3173828125,0.25372722358498007,0.3255208333333333,0.23426825851415267,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,4,RealWorld_thigh,0.22534722222222223,0.1869186542948534,0.2885044642857143,0.23556243044945915,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,4,MotionSense,0.3271484375,0.27794095631319304,0.3229166666666667,0.2485579759665344,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,5,RealWorld_thigh,0.31006944444444445,0.2860332771335697,0.33705357142857145,0.29271205541654305,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,5,MotionSense,0.3876953125,0.3457467215479961,0.3958333333333333,0.33227087743620976,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,6,RealWorld_thigh,0.3836805555555556,0.35939050206440953,0.3978794642857143,0.35395324138159917,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,6,MotionSense,0.453125,0.4084446209265629,0.4479166666666667,0.3814957802324091,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,7,RealWorld_thigh,0.446875,0.4069586728924756,0.45926339285714285,0.4089583737084697,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,7,MotionSense,0.4970703125,0.44660285496649804,0.5130208333333334,0.43992662542060135,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,8,RealWorld_thigh,0.4954861111111111,0.4442057233487738,0.5050223214285714,0.44804868820231897,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,8,MotionSense,0.5341796875,0.47939276223596705,0.5859375,0.5170753093499548,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,9,RealWorld_thigh,0.5236111111111111,0.4696668384111132,0.5385044642857143,0.4796552137082186,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,9,MotionSense,0.560546875,0.5043704481584776,0.609375,0.5386384844320401,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,10,RealWorld_thigh,0.5392361111111111,0.4874267906034586,0.5518973214285714,0.4951755965799473,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,10,MotionSense,0.5966796875,0.5402611116762229,0.6276041666666666,0.5549038837992326,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,11,RealWorld_thigh,0.5472222222222223,0.49569309888589536,0.5652901785714286,0.509704270173342,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,11,MotionSense,0.62890625,0.5709243270734629,0.6354166666666666,0.5631922235437499,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,12,RealWorld_thigh,0.5541666666666667,0.5039662873668185,0.5747767857142857,0.5196090094771622,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,12,MotionSense,0.6416015625,0.5847246674466245,0.6484375,0.5801701012749686,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,13,RealWorld_thigh,0.55625,0.5080890760563882,0.5792410714285714,0.5248410272231468,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,13,MotionSense,0.6494140625,0.5921715739435657,0.6536458333333334,0.586260056368752,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,14,RealWorld_thigh,0.5611111111111111,0.5141010798901139,0.5809151785714286,0.5269351936606831,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,14,MotionSense,0.65625,0.5987638811965009,0.65625,0.5890054137476975,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,15,RealWorld_thigh,0.5659722222222222,0.5194599516612058,0.5831473214285714,0.52907083545603,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,15,MotionSense,0.6640625,0.6065512680532138,0.6536458333333334,0.5846434451637613,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,16,RealWorld_thigh,0.5694444444444444,0.5228247828030773,0.5842633928571429,0.5310602009908957,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,16,MotionSense,0.6708984375,0.6136851738367349,0.6536458333333334,0.5846855700347381,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,17,RealWorld_thigh,0.5694444444444444,0.5231408488272585,0.5853794642857143,0.5327377065388776,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,17,MotionSense,0.67578125,0.6185009361112447,0.6484375,0.579480677995513,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,18,RealWorld_thigh,0.5708333333333333,0.5261681883013923,0.5887276785714286,0.5370542379824731,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,18,MotionSense,0.6796875,0.6250444877249625,0.6484375,0.579481360032996,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,19,RealWorld_thigh,0.5736111111111111,0.53123281281996,0.5931919642857143,0.5478191404752742,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,19,MotionSense,0.689453125,0.6394652806624791,0.6510416666666666,0.5848893673041212,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,20,RealWorld_thigh,0.5774305555555556,0.5391740457968099,0.5987723214285714,0.559471719268632,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,20,MotionSense,0.7099609375,0.6790031950405444,0.65625,0.6012406320464775,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,21,RealWorld_thigh,0.5854166666666667,0.5554038847679329,0.6077008928571429,0.5800021553404262,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,21,MotionSense,0.73046875,0.7152126794801985,0.6640625,0.6180764833868053,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,22,RealWorld_thigh,0.5913194444444444,0.5716034873711351,0.6216517857142857,0.6040270678902938,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,22,MotionSense,0.7548828125,0.7483815453615489,0.6875,0.6581270516338072,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,23,RealWorld_thigh,0.6065972222222222,0.5973518334580775,0.6372767857142857,0.6305022649658021,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,23,MotionSense,0.75390625,0.7512152851741266,0.7135416666666666,0.6931161945975504,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,24,RealWorld_thigh,0.6125,0.6103753724616094,0.66015625,0.6577250180308638,11.125946044921875,11.125946044921875,lfr,5,100
cnnpff,device:RealWorld_thigh+MotionSense:10+10,192,1,5,24,MotionSense,0.7626953125,0.7608350953384383,0.7239583333333334,0.709276915957787,11.125946044921875,11.125946044921875,lfr,5,100
