encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
rnn,device:RealWorld_thigh:10,192,3,5,1,RealWorld_thigh,0.20104166666666667,0.10517775358574295,0.22544642857142858,0.12239746507787745,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,2,RealWorld_thigh,0.1951388888888889,0.09495354554199507,0.20647321428571427,0.10403941522972389,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,3,RealWorld_thigh,0.18784722222222222,0.08338035778983792,0.18973214285714285,0.0798935515582671,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,4,RealWorld_thigh,0.33784722222222224,0.1968706702256184,0.3197544642857143,0.18246370482817162,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,5,RealWorld_thigh,0.3347222222222222,0.18839845594115778,0.3130580357142857,0.17006161828644392,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,6,RealWorld_thigh,0.3347222222222222,0.1868107910615492,0.31082589285714285,0.16618992589039783,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,7,RealWorld_thigh,0.3326388888888889,0.18220046802977385,0.31026785714285715,0.16594904376753192,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,8,RealWorld_thigh,0.3190972222222222,0.17794213837950237,0.296875,0.1571066129992613,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,9,RealWorld_thigh,0.328125,0.17718814776129432,0.30970982142857145,0.16114204545454544,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,10,RealWorld_thigh,0.3298611111111111,0.1783709114442754,0.31026785714285715,0.16211475016918567,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,11,RealWorld_thigh,0.33090277777777777,0.18086341178061102,0.31026785714285715,0.16292684527681786,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,12,RealWorld_thigh,0.3347222222222222,0.18764471277176842,0.31138392857142855,0.16512615249008278,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,13,RealWorld_thigh,0.3402777777777778,0.19728261329302377,0.31529017857142855,0.17261728481714692,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,14,RealWorld_thigh,0.34375,0.20289405674819394,0.31752232142857145,0.17675959930395782,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,15,RealWorld_thigh,0.3506944444444444,0.21496899762061175,0.32421875,0.18868411496848547,6.5224456787109375,6.5224456787109375,lfr,2,100
rnn,device:RealWorld_thigh:10,192,3,5,16,RealWorld_thigh,0.36493055555555554,0.2360272748942486,0.32924107142857145,0.19706994505436506,6.5224456787109375,6.5224456787109375,lfr,2,100
