encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
tstcc,device:MotionSense:10,192,0,5,1,MotionSense,0.1904296875,0.08605632109439214,0.1875,0.06861385194718528,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,2,MotionSense,0.375,0.2517958428112681,0.3802083333333333,0.23434863743289325,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,3,MotionSense,0.4365234375,0.330060780952427,0.40625,0.285809882549013,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,4,MotionSense,0.5048828125,0.40551543386752104,0.4427083333333333,0.3328410624133124,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,5,MotionSense,0.5556640625,0.4590229007078723,0.484375,0.38688880490288113,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,6,MotionSense,0.5732421875,0.4820381239924738,0.5208333333333334,0.4409678686386387,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,7,MotionSense,0.5791015625,0.49243994956366216,0.5494791666666666,0.4760221634897282,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,8,MotionSense,0.591796875,0.5301289493990952,0.6145833333333334,0.55977039403739,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,9,MotionSense,0.609375,0.5600449054647516,0.6432291666666666,0.5999772606458635,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,10,MotionSense,0.634765625,0.5936070228852942,0.6536458333333334,0.6129656857410263,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,11,MotionSense,0.6572265625,0.6196294107775172,0.6510416666666666,0.6103137513845279,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,12,MotionSense,0.671875,0.6345532796280193,0.6458333333333334,0.6000468581960295,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,13,MotionSense,0.6767578125,0.6387165171249695,0.640625,0.5958747967368657,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,14,MotionSense,0.681640625,0.6429303337269817,0.6223958333333334,0.567088447865291,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,15,MotionSense,0.6826171875,0.6446658672418045,0.6276041666666666,0.5822253011982217,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,16,MotionSense,0.6796875,0.6428095397268704,0.6276041666666666,0.5802963597895597,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,17,MotionSense,0.6767578125,0.6394068243855009,0.6276041666666666,0.5802963597895597,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,18,MotionSense,0.6787109375,0.6421757691497678,0.6328125,0.5896648740180296,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,19,MotionSense,0.689453125,0.6566339417775494,0.6380208333333334,0.59386412792421,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,20,MotionSense,0.6865234375,0.6544558543546648,0.6328125,0.5893035622168694,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,21,MotionSense,0.6904296875,0.660633627723549,0.640625,0.5972745758675474,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,22,MotionSense,0.6923828125,0.661569115757572,0.6380208333333334,0.5938472242222268,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,23,MotionSense,0.6982421875,0.6665660518310342,0.6354166666666666,0.5827000520903569,127.09030151367188,127.09030151367188,lfr,1,100
tstcc,device:MotionSense:10,192,0,5,24,MotionSense,0.6962890625,0.6657696900489948,0.6432291666666666,0.5917603403287998,127.09030151367188,127.09030151367188,lfr,1,100
