encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
tstcc,device:MotionSense:10,192,0,5,1,MotionSense,0.44140625,0.3551925464783958,0.3854166666666667,0.2321056823025327,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,2,MotionSense,0.578125,0.5103537784034939,0.5755208333333334,0.5264189295828842,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,3,MotionSense,0.73828125,0.692405888240136,0.6692708333333334,0.6318204365437249,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,4,MotionSense,0.7783203125,0.734831829293987,0.640625,0.6068531825202317,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,5,MotionSense,0.794921875,0.7596304342033604,0.6614583333333334,0.6394220983649688,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,6,MotionSense,0.796875,0.7627354140355002,0.6822916666666666,0.6625258251448728,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,7,MotionSense,0.8037109375,0.7736065076811446,0.6953125,0.673268128812388,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,8,MotionSense,0.8046875,0.7760304545486977,0.6875,0.6625351070825071,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,9,MotionSense,0.806640625,0.7801303181131067,0.6901041666666666,0.661920855948609,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,10,MotionSense,0.8154296875,0.7962113841954287,0.6927083333333334,0.6656035220414959,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,11,MotionSense,0.818359375,0.8007098231731523,0.7109375,0.6845792282834248,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,12,MotionSense,0.818359375,0.8012539324721873,0.703125,0.6709271257089199,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,13,MotionSense,0.8251953125,0.811331248837504,0.7135416666666666,0.6889732068981503,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,14,MotionSense,0.8271484375,0.8141267888111513,0.7265625,0.7044078916744452,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,15,MotionSense,0.82421875,0.8099972784737979,0.7135416666666666,0.6914841284558749,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,16,MotionSense,0.8359375,0.8269096232111428,0.7239583333333334,0.7000895951806266,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,17,MotionSense,0.8271484375,0.8139391115102366,0.7213541666666666,0.6934488225683036,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,18,MotionSense,0.8369140625,0.8275932236475327,0.7265625,0.6998910533082539,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,19,MotionSense,0.8359375,0.8254725218319927,0.7291666666666666,0.7047733987935625,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,20,MotionSense,0.8544921875,0.8512025933148192,0.7604166666666666,0.7416774290565371,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,21,MotionSense,0.8515625,0.8461799507734659,0.7526041666666666,0.727765379846803,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,22,MotionSense,0.84375,0.8380767105036173,0.7395833333333334,0.7132571253526901,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,23,MotionSense,0.84375,0.836298169184579,0.734375,0.7060630667610327,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,24,MotionSense,0.841796875,0.8340717004587362,0.7369791666666666,0.708253264119846,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,25,MotionSense,0.8544921875,0.8523089723099969,0.7630208333333334,0.7435735130298909,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,26,MotionSense,0.853515625,0.8498404186456389,0.7630208333333334,0.745204129891741,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,27,MotionSense,0.8427734375,0.8347306886546199,0.7447916666666666,0.7252423045395763,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,28,MotionSense,0.8486328125,0.8425150956598281,0.7526041666666666,0.7304395039272347,127.09030151367188,127.09030151367188,lfr,full,100
tstcc,device:MotionSense:10,192,0,5,29,MotionSense,0.8544921875,0.8513926666809105,0.7682291666666666,0.7470023810909924,127.09030151367188,127.09030151367188,lfr,full,100
