encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,1,RealWorld_thigh,0.371875,0.32335327989982304,0.43191964285714285,0.3774431335053299,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,1,MotionSense,0.419921875,0.3334554943887511,0.4348958333333333,0.3409308967769102,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,2,RealWorld_thigh,0.5552083333333333,0.5004623293128508,0.5870535714285714,0.5380887774982971,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,2,MotionSense,0.6513671875,0.5757613055812619,0.5911458333333334,0.5231759452479666,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,3,RealWorld_thigh,0.5909722222222222,0.5418221889965242,0.5982142857142857,0.5560605056377447,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,3,MotionSense,0.658203125,0.5670055206235642,0.6328125,0.5580297468908473,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,4,RealWorld_thigh,0.6034722222222222,0.5613114562861276,0.60546875,0.5670052044122486,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,4,MotionSense,0.662109375,0.5678218588256686,0.6380208333333334,0.5734855401714185,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,5,RealWorld_thigh,0.6173611111111111,0.5882582724681978,0.6216517857142857,0.5945781191916769,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,5,MotionSense,0.6650390625,0.577374264406595,0.6536458333333334,0.6038131453382451,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,6,RealWorld_thigh,0.634375,0.6124217966840353,0.6339285714285714,0.6119320297769827,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,6,MotionSense,0.671875,0.5899498671626703,0.6796875,0.6380453952917721,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,7,RealWorld_thigh,0.6475694444444444,0.6306602806893982,0.6372767857142857,0.6173091435184922,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,7,MotionSense,0.6826171875,0.6074072235416436,0.6927083333333334,0.659464614760637,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,8,RealWorld_thigh,0.6569444444444444,0.6431448675789249,0.6462053571428571,0.6277560554659308,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,8,MotionSense,0.697265625,0.6303925354464197,0.7083333333333334,0.680167096703091,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,9,RealWorld_thigh,0.6680555555555555,0.659848836540878,0.65625,0.6425643387977618,127.09030151367188,127.09030151367188,lfr,10,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,3,5,9,MotionSense,0.712890625,0.6568104845972011,0.7239583333333334,0.6984596832462316,127.09030151367188,127.09030151367188,lfr,10,100
