encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
cnnpff,device:MotionSense:10,192,1,5,1,MotionSense,0.1728515625,0.049125728559533725,0.18229166666666666,0.05139500734214391,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,2,MotionSense,0.173828125,0.051547619047619044,0.18489583333333334,0.056203297785239775,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,3,MotionSense,0.177734375,0.060829260457538836,0.18489583333333334,0.056252048508685676,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,4,MotionSense,0.1923828125,0.08736666751973422,0.1875,0.0657133643710825,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,5,MotionSense,0.2265625,0.1503868539728426,0.1953125,0.10081571306441,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,6,MotionSense,0.2880859375,0.2251624790573071,0.22135416666666666,0.14972347913524384,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,7,MotionSense,0.34375,0.2860570527691518,0.2630208333333333,0.208689128233453,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,8,MotionSense,0.380859375,0.32651208078526106,0.3046875,0.25922954518844926,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,9,MotionSense,0.4033203125,0.3522919486485378,0.3151041666666667,0.2770069033223632,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,10,MotionSense,0.427734375,0.3780741036549205,0.3333333333333333,0.29582490438459647,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,11,MotionSense,0.4892578125,0.45484030714357243,0.3984375,0.3671395929387115,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,12,MotionSense,0.5556640625,0.5159666679715185,0.4505208333333333,0.4077958919156741,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,13,MotionSense,0.6083984375,0.5623358122417498,0.4869791666666667,0.43422029332723605,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,14,MotionSense,0.642578125,0.5919890967766964,0.5026041666666666,0.44370789263171906,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,15,MotionSense,0.6552734375,0.6030629523825354,0.5208333333333334,0.45716559480861535,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,16,MotionSense,0.6708984375,0.617904382475943,0.5364583333333334,0.4718754400426855,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,17,MotionSense,0.6826171875,0.6287850234375286,0.5572916666666666,0.48929180647802745,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,18,MotionSense,0.6865234375,0.6328026962775274,0.5598958333333334,0.4905778941692483,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,19,MotionSense,0.6884765625,0.634918891700719,0.5651041666666666,0.4952199523743976,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,20,MotionSense,0.689453125,0.6360373143371286,0.5729166666666666,0.5006831657924776,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,21,MotionSense,0.69140625,0.6382710970435473,0.5885416666666666,0.5119870062009149,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,22,MotionSense,0.6943359375,0.6416215724330637,0.5963541666666666,0.5220427820253536,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,23,MotionSense,0.70703125,0.6681989200954469,0.5755208333333334,0.5133742845078099,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,24,MotionSense,0.75,0.7443388833520226,0.6692708333333334,0.6367714209312841,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,25,MotionSense,0.74609375,0.7303179679929617,0.65625,0.6201236552988917,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,26,MotionSense,0.740234375,0.7181856175912403,0.6458333333333334,0.6067721552547791,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,27,MotionSense,0.73046875,0.6999379378344738,0.6510416666666666,0.6117955571545596,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,28,MotionSense,0.734375,0.7021680072151409,0.6458333333333334,0.602852079377982,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,29,MotionSense,0.7314453125,0.6953959081088618,0.640625,0.5979665106166822,5.5629730224609375,5.5629730224609375,none,5,0
cnnpff,device:MotionSense:10,192,1,5,30,MotionSense,0.7373046875,0.701059093329539,0.6354166666666666,0.5908951356418245,5.5629730224609375,5.5629730224609375,none,5,0
