encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
resnetse5,device:MotionSense:10,192,2,5,1,MotionSense,0.0009765625,0.0006349206349206349,0.0,0.0,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,2,MotionSense,0.3486328125,0.18486624516762992,0.3645833333333333,0.198252688172043,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,3,MotionSense,0.34765625,0.18910477701273232,0.3645833333333333,0.19250372461381637,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,4,MotionSense,0.35546875,0.2075451463080599,0.3645833333333333,0.1955771961858389,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,5,MotionSense,0.3701171875,0.23340520027124798,0.3671875,0.20659172313781504,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,6,MotionSense,0.4150390625,0.3021423836238657,0.3671875,0.2150162167817535,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,7,MotionSense,0.458984375,0.35736833886764496,0.3828125,0.24341606060600465,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,8,MotionSense,0.5048828125,0.40032409894588716,0.4140625,0.29145543163540294,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,9,MotionSense,0.5390625,0.4281575697492475,0.4375,0.32042546347607725,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,10,MotionSense,0.5546875,0.4420831527104568,0.4661458333333333,0.3532427074483149,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,11,MotionSense,0.5732421875,0.45878424160546755,0.4895833333333333,0.3789080912563496,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,12,MotionSense,0.5869140625,0.4718984428645298,0.5104166666666666,0.4006556136553185,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,13,MotionSense,0.607421875,0.492142864761862,0.5234375,0.4152263902881211,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,14,MotionSense,0.65234375,0.572508795780442,0.578125,0.5030257279037252,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,15,MotionSense,0.62109375,0.5090528034854813,0.5338541666666666,0.4295954368628787,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,16,MotionSense,0.626953125,0.5138044529296023,0.546875,0.4413277370870398,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,17,MotionSense,0.6298828125,0.5185716929433403,0.5494791666666666,0.44622285196881967,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,18,MotionSense,0.634765625,0.5289916352772497,0.5546875,0.45365956538212027,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,19,MotionSense,0.646484375,0.5503113704325612,0.5677083333333334,0.47749142277814705,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,20,MotionSense,0.65625,0.5700355346508346,0.5859375,0.5106355576250683,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,21,MotionSense,0.6689453125,0.5929333671966449,0.6015625,0.5384542989398703,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,22,MotionSense,0.6865234375,0.6203247995282601,0.6197916666666666,0.5637157615450094,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,23,MotionSense,0.7041015625,0.6447298857267307,0.6197916666666666,0.563139265367983,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,24,MotionSense,0.7197265625,0.6650567880678337,0.6276041666666666,0.5738681942334473,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,25,MotionSense,0.7373046875,0.6892396482732583,0.6354166666666666,0.5823026451729847,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,26,MotionSense,0.7939453125,0.7793807411663081,0.6875,0.6587604185442593,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,27,MotionSense,0.80078125,0.7873535761233047,0.7057291666666666,0.6812879098911259,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,28,MotionSense,0.7578125,0.7160675840308309,0.6744791666666666,0.6345208664784103,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,29,MotionSense,0.7548828125,0.7106133055371737,0.6666666666666666,0.6204764874009355,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,30,MotionSense,0.7568359375,0.7112845453043913,0.6588541666666666,0.6144479877421053,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,31,MotionSense,0.7626953125,0.7162063814313923,0.6510416666666666,0.6022473832509153,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,32,MotionSense,0.763671875,0.7167924280052262,0.6484375,0.6001706809724509,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,33,MotionSense,0.763671875,0.7153165298972574,0.6484375,0.6012589633089184,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,34,MotionSense,0.767578125,0.7193814142934952,0.6484375,0.6020023997554489,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,35,MotionSense,0.7646484375,0.7153515726781943,0.6432291666666666,0.5943227064898823,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,36,MotionSense,0.7666015625,0.717405678359906,0.6458333333333334,0.5986810683720892,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,37,MotionSense,0.765625,0.7163665508469431,0.640625,0.5894305223782977,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,38,MotionSense,0.7666015625,0.7173953764907335,0.6432291666666666,0.5938078100123189,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,39,MotionSense,0.76953125,0.7204830163104142,0.6432291666666666,0.5926190989216199,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,40,MotionSense,0.7666015625,0.7181235835169143,0.640625,0.5883550929147635,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,41,MotionSense,0.767578125,0.7201394201120861,0.640625,0.5900481673437197,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,42,MotionSense,0.7705078125,0.7252148209443893,0.6354166666666666,0.5824840768756333,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,43,MotionSense,0.76953125,0.7242532207008928,0.6354166666666666,0.5826103034696027,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,44,MotionSense,0.76953125,0.7242430586818759,0.640625,0.5888952689741558,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,45,MotionSense,0.7705078125,0.7254308390662292,0.6328125,0.5771092456784999,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,46,MotionSense,0.7724609375,0.7314915589738545,0.640625,0.5915657165603886,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,47,MotionSense,0.7734375,0.7365654966045346,0.6458333333333334,0.6009876933688564,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,48,MotionSense,0.7744140625,0.7399166181051852,0.65625,0.6178990397664381,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,49,MotionSense,0.7841796875,0.7564616981984074,0.6640625,0.6284732026576761,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,50,MotionSense,0.7998046875,0.7847433000906775,0.671875,0.639159700320245,5.230560302734375,5.230560302734375,none,2,0
resnetse5,device:MotionSense:10,192,2,5,51,MotionSense,0.828125,0.8222493341779821,0.6901041666666666,0.6586584284261565,5.230560302734375,5.230560302734375,none,2,0
