encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,1,RealWorld_thigh,0.16875,0.058153396316280394,0.17354910714285715,0.06119104383928766,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,1,MotionSense,0.173828125,0.06443685876289645,0.17708333333333334,0.061930783242258654,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,2,RealWorld_thigh,0.17291666666666666,0.06601496076772148,0.17410714285714285,0.06193281697793593,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,2,MotionSense,0.177734375,0.07317012674554159,0.1796875,0.06873614190687362,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,3,RealWorld_thigh,0.17777777777777778,0.0743819717436825,0.17633928571428573,0.06655035680250233,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,3,MotionSense,0.1826171875,0.08195697373214551,0.1796875,0.0685035439752421,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,4,RealWorld_thigh,0.18680555555555556,0.09022938673644089,0.1875,0.087749949125122,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,4,MotionSense,0.2041015625,0.11911860026842423,0.18489583333333334,0.07814481147814481,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,5,RealWorld_thigh,0.209375,0.12665760507011578,0.20145089285714285,0.11006039194818988,13.044891357421875,13.044891357421875,none,2,0
rnn,device:RealWorld_thigh+MotionSense:10+10,192,2,5,5,MotionSense,0.232421875,0.16116537213649576,0.20052083333333334,0.10655015629440183,13.044891357421875,13.044891357421875,none,2,0
