encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
tstcc,device:MotionSense:10,192,2,5,1,MotionSense,0.345703125,0.18072474084619836,0.3645833333333333,0.18561131345148654,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,2,MotionSense,0.435546875,0.3002800134311778,0.4088541666666667,0.2511337486123226,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,3,MotionSense,0.5244140625,0.4414517670789048,0.4453125,0.3348444030249813,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,4,MotionSense,0.6083984375,0.5304892698917937,0.5026041666666666,0.40556256665010687,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,5,MotionSense,0.6572265625,0.593083876845606,0.609375,0.5475527322668808,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,6,MotionSense,0.6591796875,0.591243093556334,0.6510416666666666,0.6075880824702277,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,7,MotionSense,0.6572265625,0.5914340247450479,0.6666666666666666,0.6269859883247958,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,8,MotionSense,0.6591796875,0.5974256807354758,0.6848958333333334,0.6482891310144,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,9,MotionSense,0.6484375,0.5789028466348816,0.6770833333333334,0.636584433881663,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,10,MotionSense,0.6640625,0.6045016687416038,0.6796875,0.6423462716474777,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,11,MotionSense,0.66015625,0.5997756967784557,0.6848958333333334,0.6478019604525221,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,12,MotionSense,0.669921875,0.6148963206324418,0.6927083333333334,0.6627454704392725,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,13,MotionSense,0.6904296875,0.6498279409427186,0.7161458333333334,0.6966036700446177,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,14,MotionSense,0.69921875,0.6603334358883108,0.7265625,0.7099979199979201,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,15,MotionSense,0.7041015625,0.6720998238149392,0.7317708333333334,0.7162577243927358,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,16,MotionSense,0.7060546875,0.665847379214903,0.7161458333333334,0.6956794766728717,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,17,MotionSense,0.7421875,0.7199547218406178,0.7421875,0.7301253814463432,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,18,MotionSense,0.7470703125,0.7218424680187426,0.7421875,0.7303229805572381,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,19,MotionSense,0.75,0.7217554813733912,0.7526041666666666,0.7409976679915568,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,20,MotionSense,0.7705078125,0.7492763491575799,0.7552083333333334,0.7445652791659355,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,21,MotionSense,0.7763671875,0.7541177119027592,0.7552083333333334,0.7448000613853548,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,22,MotionSense,0.78515625,0.7632367435881832,0.7630208333333334,0.7528982123146428,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,23,MotionSense,0.7880859375,0.7694914145429851,0.765625,0.7553459304487943,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,24,MotionSense,0.7919921875,0.7712552654797505,0.7682291666666666,0.7572682039715769,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,25,MotionSense,0.783203125,0.7572831587017633,0.765625,0.7521877663197886,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,26,MotionSense,0.7919921875,0.7737249028974689,0.7682291666666666,0.7548785985564249,127.09030151367188,127.09030151367188,none,10,0
tstcc,device:MotionSense:10,192,2,5,27,MotionSense,0.79296875,0.7717456604742886,0.7682291666666666,0.7548785985564249,127.09030151367188,127.09030151367188,none,10,0
