encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
cnnpff,device:MotionSense:10,192,1,5,1,MotionSense,0.4296875,0.3481965125428605,0.4583333333333333,0.37747235952872815,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,2,MotionSense,0.6494140625,0.6046423228115833,0.5416666666666666,0.48605340908351397,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,3,MotionSense,0.712890625,0.6622852282729309,0.6119791666666666,0.5702897855989655,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,4,MotionSense,0.7373046875,0.6856202129786925,0.6432291666666666,0.6111225868041673,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,5,MotionSense,0.7607421875,0.7235670089061964,0.6614583333333334,0.6580272212185029,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,6,MotionSense,0.7568359375,0.7073448825698598,0.6015625,0.5819100208224502,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,7,MotionSense,0.76171875,0.7173168398908919,0.6197916666666666,0.61169171144167,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,8,MotionSense,0.84765625,0.8466434174185365,0.7109375,0.7173515073973981,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,9,MotionSense,0.7685546875,0.726507115541458,0.6223958333333334,0.6121727985684108,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,10,MotionSense,0.783203125,0.7524259553715055,0.6510416666666666,0.6487042898154189,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,11,MotionSense,0.8232421875,0.814679215607442,0.6953125,0.6946556392133605,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,12,MotionSense,0.8193359375,0.8063948304459428,0.6848958333333334,0.6839352180077986,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,13,MotionSense,0.8701171875,0.8715578694025252,0.7447916666666666,0.7416680709974859,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,14,MotionSense,0.859375,0.859135350911325,0.7239583333333334,0.7179711952581497,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,15,MotionSense,0.8720703125,0.8732842341622596,0.7421875,0.7384266831724459,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,16,MotionSense,0.8798828125,0.8818151719207942,0.7473958333333334,0.7471181866007915,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,17,MotionSense,0.8798828125,0.8815765339961437,0.75,0.7464967539737156,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,18,MotionSense,0.88671875,0.8885931825013654,0.7473958333333334,0.740473534478603,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,19,MotionSense,0.8857421875,0.8872381681088816,0.7552083333333334,0.7437769434014742,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,20,MotionSense,0.888671875,0.8903889947568695,0.7578125,0.7459497161365828,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,21,MotionSense,0.88671875,0.8884747023977986,0.75,0.738681999377706,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,22,MotionSense,0.8857421875,0.8873674107764894,0.75,0.735179290660415,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,23,MotionSense,0.8837890625,0.8860281620315525,0.75,0.7385555317003091,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,24,MotionSense,0.884765625,0.8867130270247391,0.7604166666666666,0.7475343173763799,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,25,MotionSense,0.8818359375,0.8839406334081562,0.7526041666666666,0.7372822627213474,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,26,MotionSense,0.892578125,0.8945729318180309,0.7578125,0.7422291336927779,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,27,MotionSense,0.8916015625,0.8935458990619098,0.7552083333333334,0.7400035257338544,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,28,MotionSense,0.8896484375,0.8918907850571154,0.7604166666666666,0.7479836448323843,22.449111938476562,22.449111938476562,tfc,full,100
cnnpff,device:MotionSense:10,192,1,5,29,MotionSense,0.890625,0.8928571315350854,0.7604166666666666,0.7485327635327635,22.449111938476562,22.449111938476562,tfc,full,100
