encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
tstcc,device:MotionSense:10,192,1,5,1,MotionSense,0.3876953125,0.3180552184521925,0.3697916666666667,0.2859043511136747,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,2,MotionSense,0.5908203125,0.48550578195556365,0.5572916666666666,0.43753669060282024,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,3,MotionSense,0.67578125,0.6247842883425441,0.6197916666666666,0.5448805559463762,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,4,MotionSense,0.7421875,0.7248998814904191,0.671875,0.6195142701246323,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,5,MotionSense,0.7861328125,0.7848501356461651,0.7265625,0.6836355886876585,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,6,MotionSense,0.8154296875,0.8176806244134056,0.7135416666666666,0.6719959937429429,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,7,MotionSense,0.810546875,0.8139193141381155,0.7109375,0.6695170336211124,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,8,MotionSense,0.81640625,0.8194957339421268,0.71875,0.676114091208852,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,9,MotionSense,0.81640625,0.8187645739997977,0.7005208333333334,0.654223449125,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,10,MotionSense,0.7880859375,0.7836080762173276,0.6770833333333334,0.6272130249436288,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,11,MotionSense,0.7939453125,0.7911330822781003,0.6822916666666666,0.6346730667657282,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,12,MotionSense,0.8076171875,0.8074949967370298,0.6822916666666666,0.6330460933999492,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,13,MotionSense,0.7255859375,0.6777076563366885,0.6067708333333334,0.5177479320124023,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,14,MotionSense,0.7294921875,0.6810611703298274,0.6119791666666666,0.5271499072897793,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,15,MotionSense,0.7294921875,0.6811939697390513,0.6119791666666666,0.5251475447828884,280.50376892089844,280.50376892089844,tfc,1,100
tstcc,device:MotionSense:10,192,1,5,16,MotionSense,0.7265625,0.6788622984107393,0.609375,0.5233598880843026,280.50376892089844,280.50376892089844,tfc,1,100
