encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
tstcc,device:MotionSense:10,192,3,5,1,MotionSense,0.677734375,0.6216606264153127,0.5807291666666666,0.5040519262384743,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,2,MotionSense,0.7216796875,0.6713624737614161,0.6328125,0.5605647886165522,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,3,MotionSense,0.724609375,0.6755165304576348,0.6276041666666666,0.5623286753638994,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,4,MotionSense,0.7314453125,0.6824922689875841,0.6380208333333334,0.5810363937925663,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,5,MotionSense,0.7353515625,0.6863521231011532,0.6484375,0.5966460358225408,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,6,MotionSense,0.73828125,0.6889491078027259,0.6536458333333334,0.6027024191465143,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,7,MotionSense,0.7470703125,0.6977257058147908,0.6588541666666666,0.6085862546112379,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,8,MotionSense,0.7490234375,0.6995335303938227,0.6666666666666666,0.6171146337186437,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,9,MotionSense,0.7470703125,0.6972442232177337,0.6692708333333334,0.6221765090560895,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,10,MotionSense,0.748046875,0.6986744455650026,0.6640625,0.6111278800788107,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,11,MotionSense,0.74609375,0.6971577159442197,0.6640625,0.6136903162060395,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,12,MotionSense,0.74609375,0.6972838963444166,0.6692708333333334,0.6209811886287266,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,13,MotionSense,0.740234375,0.6921920787948544,0.6692708333333334,0.6185743210900444,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,14,MotionSense,0.7421875,0.6941063793365382,0.6666666666666666,0.61386030195554,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,15,MotionSense,0.734375,0.6873803515678548,0.671875,0.6212787402309544,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,16,MotionSense,0.7314453125,0.6849061993676219,0.6666666666666666,0.61386030195554,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,17,MotionSense,0.7275390625,0.6811257591182297,0.6666666666666666,0.6127842584624349,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,18,MotionSense,0.7265625,0.6806170380993692,0.6640625,0.6111278800788107,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,19,MotionSense,0.7255859375,0.6793840046570679,0.6770833333333334,0.6243363917792898,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,20,MotionSense,0.73046875,0.6844216392707366,0.6770833333333334,0.6236441344116934,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,21,MotionSense,0.7236328125,0.6780217166488457,0.671875,0.6190872705296255,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,22,MotionSense,0.72265625,0.6775632845687616,0.6692708333333334,0.616415736766618,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:MotionSense:10,192,3,5,23,MotionSense,0.72265625,0.6776910099035982,0.671875,0.6190872705296255,280.50376892089844,280.50376892089844,tfc,full,100
