encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,1,RealWorld_thigh,0.4809027777777778,0.4394762568312191,0.5055803571428571,0.4563567970373115,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,1,MotionSense,0.56640625,0.5068445496185645,0.4973958333333333,0.42508279694731393,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,2,RealWorld_thigh,0.4954861111111111,0.44806640168632467,0.515625,0.46559475713956505,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,2,MotionSense,0.646484375,0.5854523662516187,0.5859375,0.5362159946314847,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,3,RealWorld_thigh,0.5111111111111111,0.4776156597146966,0.5373883928571429,0.5046134349858407,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,3,MotionSense,0.7060546875,0.6640816834878328,0.6588541666666666,0.6260617406265131,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,4,RealWorld_thigh,0.5381944444444444,0.5204590508738848,0.5619419642857143,0.5407963984248548,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,4,MotionSense,0.732421875,0.6966580293115188,0.671875,0.6477293626676799,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,5,RealWorld_thigh,0.5427083333333333,0.4944380971931503,0.5613839285714286,0.5152798129936633,280.50376892089844,280.50376892089844,tfc,full,100
tstcc,device:RealWorld_thigh+MotionSense:5+5,192,2,5,5,MotionSense,0.712890625,0.6556012367496246,0.6171875,0.5535407213741673,280.50376892089844,280.50376892089844,tfc,full,100
