encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:RealWorld_thigh:10,192,0,5,1,RealWorld_thigh,0.17152777777777778,0.07504714580843384,0.16852678571428573,0.05458868094418676,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,2,RealWorld_thigh,0.35138888888888886,0.2430892587478306,0.34988839285714285,0.21734959807842805,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,3,RealWorld_thigh,0.36909722222222224,0.2785931328470191,0.35825892857142855,0.25097089840404774,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,4,RealWorld_thigh,0.3784722222222222,0.30738351010145193,0.3470982142857143,0.26696100088165636,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,5,RealWorld_thigh,0.4013888888888889,0.3131086679226902,0.38895089285714285,0.2964858764076027,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,6,RealWorld_thigh,0.4013888888888889,0.3057598392452987,0.3978794642857143,0.29465910164844006,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,7,RealWorld_thigh,0.38263888888888886,0.28041551810273885,0.39285714285714285,0.2762509382719332,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,8,RealWorld_thigh,0.3607638888888889,0.25540592330030426,0.375,0.24591120577360806,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,9,RealWorld_thigh,0.3440972222222222,0.23418990090151545,0.36439732142857145,0.22125418752767212,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,10,RealWorld_thigh,0.33090277777777777,0.21656420293872639,0.36160714285714285,0.215105221139652,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,11,RealWorld_thigh,0.3295138888888889,0.21275918527843196,0.36439732142857145,0.21904551667592628,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,12,RealWorld_thigh,0.3329861111111111,0.21654370897408812,0.36941964285714285,0.22505707512945036,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,13,RealWorld_thigh,0.340625,0.22435168924456173,0.38560267857142855,0.2442575353581484,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,14,RealWorld_thigh,0.3614583333333333,0.2507375270755316,0.40345982142857145,0.2605908217749044,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,15,RealWorld_thigh,0.3819444444444444,0.26939591938086127,0.4296875,0.28280016499874683,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,16,RealWorld_thigh,0.396875,0.2885340185686791,0.44419642857142855,0.31008843305433187,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,17,RealWorld_thigh,0.40729166666666666,0.31786991383630697,0.4341517857142857,0.3257091006022656,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,18,RealWorld_thigh,0.42430555555555555,0.3445133532003537,0.45535714285714285,0.36077733003927787,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,19,RealWorld_thigh,0.43194444444444446,0.35903490421868933,0.4536830357142857,0.3654564337977145,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,20,RealWorld_thigh,0.4378472222222222,0.366923841859224,0.4525669642857143,0.3644166825458639,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,21,RealWorld_thigh,0.43854166666666666,0.3690874333659515,0.4536830357142857,0.3665125811160434,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,22,RealWorld_thigh,0.44305555555555554,0.37377769681490847,0.4525669642857143,0.36634933331400976,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,23,RealWorld_thigh,0.4423611111111111,0.37295350546638734,0.4564732142857143,0.3714969261182719,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,24,RealWorld_thigh,0.4423611111111111,0.3730580339705205,0.45870535714285715,0.37349047217041814,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,25,RealWorld_thigh,0.4465277777777778,0.37776593943396514,0.4609375,0.376879943894265,6.5224456787109375,6.5224456787109375,lfr,10,100,device:MotionSense:10
