encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:RealWorld_thigh:10,192,0,5,1,RealWorld_thigh,0.20034722222222223,0.10439773857395492,0.23158482142857142,0.13298883379562407,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,2,RealWorld_thigh,0.32256944444444446,0.19936776803399012,0.36104910714285715,0.20899607638387172,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,3,RealWorld_thigh,0.39375,0.2910422461350554,0.43359375,0.3265591648491774,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,4,RealWorld_thigh,0.4774305555555556,0.39495761707107313,0.51953125,0.42787101095289537,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,5,RealWorld_thigh,0.5152777777777777,0.41482181841055343,0.5491071428571429,0.4437787788850149,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,6,RealWorld_thigh,0.5256944444444445,0.44227471313780903,0.5569196428571429,0.4680519556499431,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,7,RealWorld_thigh,0.5472222222222223,0.4895203769097997,0.5909598214285714,0.5383822509503496,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,8,RealWorld_thigh,0.5503472222222222,0.4925598144628715,0.5904017857142857,0.533257095601949,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,9,RealWorld_thigh,0.5590277777777778,0.5036746505293745,0.5943080357142857,0.5376778516152073,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,10,RealWorld_thigh,0.5756944444444444,0.5317938126581595,0.5970982142857143,0.5478530991082996,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,11,RealWorld_thigh,0.5864583333333333,0.5463152717914924,0.6071428571428571,0.5617675113630377,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,12,RealWorld_thigh,0.59375,0.5583102151247022,0.6015625,0.5579487134819315,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,13,RealWorld_thigh,0.5979166666666667,0.568040531777655,0.6049107142857143,0.5691309353904714,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,14,RealWorld_thigh,0.6038194444444445,0.5776640461247313,0.6088169642857143,0.5749354530095988,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,15,RealWorld_thigh,0.6052083333333333,0.5819723917753323,0.6099330357142857,0.5795042363730977,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,16,RealWorld_thigh,0.6086805555555556,0.5870668909226078,0.6160714285714286,0.5858227489491833,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,17,RealWorld_thigh,0.6121527777777778,0.5910907976460048,0.6110491071428571,0.5814582581699268,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,18,RealWorld_thigh,0.6201388888888889,0.6052006467955323,0.6155133928571429,0.5907498230641369,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,19,RealWorld_thigh,0.6163194444444444,0.5990402700904279,0.6199776785714286,0.5934009946560245,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,20,RealWorld_thigh,0.6288194444444445,0.6124841154836623,0.6143973214285714,0.5878712989948998,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,21,RealWorld_thigh,0.6166666666666667,0.5995723904085996,0.61328125,0.5863276592177556,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,22,RealWorld_thigh,0.6277777777777778,0.612576240744148,0.6149553571428571,0.5890930247616265,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,23,RealWorld_thigh,0.6267361111111112,0.6151284127750605,0.6227678571428571,0.5997619615235892,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,24,RealWorld_thigh,0.6364583333333333,0.6273772535467247,0.6255580357142857,0.6048190843359488,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,25,RealWorld_thigh,0.6302083333333334,0.6193425789902615,0.6216517857142857,0.5992122904443161,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,26,RealWorld_thigh,0.6305555555555555,0.6171677899936714,0.6194196428571429,0.595376211573845,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,27,RealWorld_thigh,0.6361111111111111,0.6269591692596388,0.6277901785714286,0.6063757295221821,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,28,RealWorld_thigh,0.6388888888888888,0.6328134675183537,0.6350446428571429,0.6175048052301005,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,0,5,29,RealWorld_thigh,0.6329861111111111,0.6221507559723739,0.6233258928571429,0.5998331172520489,127.09030151367188,127.09030151367188,lfr,2,100,device:MotionSense:10
