encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:RealWorld_thigh:10,192,1,5,1,RealWorld_thigh,0.3572916666666667,0.266252443330663,0.40736607142857145,0.29092903785362495,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,2,RealWorld_thigh,0.42430555555555555,0.35795668411525483,0.4642857142857143,0.3569913099570532,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,3,RealWorld_thigh,0.47430555555555554,0.42921498650192175,0.5223214285714286,0.44732019120823946,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,4,RealWorld_thigh,0.4809027777777778,0.41005611357408916,0.5217633928571429,0.432260321257691,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,5,RealWorld_thigh,0.509375,0.44436145042415015,0.5368303571428571,0.4554425045225538,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,6,RealWorld_thigh,0.5333333333333333,0.4720994659335512,0.5563616071428571,0.484409732282807,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,7,RealWorld_thigh,0.5493055555555556,0.49014214741264417,0.5714285714285714,0.50440718955479,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,8,RealWorld_thigh,0.5569444444444445,0.49943123069297424,0.5758928571428571,0.5125074829458248,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,9,RealWorld_thigh,0.5652777777777778,0.5092732855398636,0.5797991071428571,0.520064036127712,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,10,RealWorld_thigh,0.5982638888888889,0.565861741719734,0.6356026785714286,0.6145517505922058,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,1,5,11,RealWorld_thigh,0.6409722222222223,0.627916774743903,0.6646205357142857,0.6516432311092656,19.993057250976562,19.993057250976562,tfc,5,100,device:MotionSense:10
