encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:RealWorld_thigh:10,192,0,5,1,RealWorld_thigh,0.45694444444444443,0.38041210486296917,0.5435267857142857,0.4542962629481552,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,2,RealWorld_thigh,0.5274305555555555,0.4565297999796978,0.5496651785714286,0.4574926376600766,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,3,RealWorld_thigh,0.5743055555555555,0.523780620144849,0.5591517857142857,0.4828781307608449,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,4,RealWorld_thigh,0.6253472222222223,0.6041004441654773,0.6277901785714286,0.5935759529436103,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,5,RealWorld_thigh,0.6725694444444444,0.6687871498991428,0.6869419642857143,0.6658420985758212,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,6,RealWorld_thigh,0.7072916666666667,0.7087151797986624,0.70703125,0.690517965556905,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,7,RealWorld_thigh,0.7256944444444444,0.7298195166377442,0.703125,0.6923598711556083,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,8,RealWorld_thigh,0.7298611111111111,0.7340657926501232,0.70703125,0.6976028727642642,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,9,RealWorld_thigh,0.7333333333333333,0.7375365280309302,0.7053571428571429,0.6946995243118398,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,10,RealWorld_thigh,0.7361111111111112,0.7402079813923402,0.7008928571428571,0.691430121870842,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,11,RealWorld_thigh,0.740625,0.7445773178617023,0.69921875,0.6867225918683523,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,12,RealWorld_thigh,0.7427083333333333,0.7464709856676781,0.6869419642857143,0.6728482115142574,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,13,RealWorld_thigh,0.7416666666666667,0.7461016370241514,0.6891741071428571,0.6738985158554022,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,14,RealWorld_thigh,0.7381944444444445,0.7428073757973982,0.6824776785714286,0.6630488311668131,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,15,RealWorld_thigh,0.7392361111111111,0.7437555065413098,0.6785714285714286,0.6586106821396237,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,16,RealWorld_thigh,0.7392361111111111,0.7445255219324843,0.6584821428571429,0.6322239398394821,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,17,RealWorld_thigh,0.728125,0.734089151566825,0.6467633928571429,0.617416874268208,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,18,RealWorld_thigh,0.728125,0.7337121960218167,0.6316964285714286,0.6032503442885595,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,19,RealWorld_thigh,0.7138888888888889,0.7150526466912727,0.61328125,0.5832878876421205,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,20,RealWorld_thigh,0.7208333333333333,0.7231100485355205,0.6082589285714286,0.5799026981150469,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,21,RealWorld_thigh,0.7246527777777778,0.7260732792392859,0.6010044642857143,0.5680111472161893,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,22,RealWorld_thigh,0.7322916666666667,0.73367726494796,0.5870535714285714,0.5516275515972061,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,23,RealWorld_thigh,0.7430555555555556,0.7459883369871525,0.59375,0.5590524368802045,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,24,RealWorld_thigh,0.7440972222222222,0.7475348851586779,0.5842633928571429,0.5499207426564345,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,25,RealWorld_thigh,0.75,0.752873757037948,0.6004464285714286,0.570584898876058,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,26,RealWorld_thigh,0.7385416666666667,0.7401267200744633,0.5848214285714286,0.552454851959936,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,27,RealWorld_thigh,0.7479166666666667,0.7510168560171148,0.5814732142857143,0.5477091793616232,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,28,RealWorld_thigh,0.7534722222222222,0.7576446078625888,0.5764508928571429,0.5471402118677083,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
rnn,device:RealWorld_thigh:10,192,0,5,29,RealWorld_thigh,0.7430555555555556,0.7466654346414696,0.5758928571428571,0.5473731790686241,19.993057250976562,19.993057250976562,tfc,full,100,device:MotionSense:10
