encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:RealWorld_thigh:10,192,1,5,1,RealWorld_thigh,0.3013888888888889,0.24194509514851836,0.26785714285714285,0.19511974054029788,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,2,RealWorld_thigh,0.484375,0.4189080824531321,0.43359375,0.31995210162928567,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,3,RealWorld_thigh,0.5225694444444444,0.46822858932908273,0.4453125,0.3337005271903721,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,4,RealWorld_thigh,0.5399305555555556,0.5110154833837243,0.484375,0.4072317048570004,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,5,RealWorld_thigh,0.5496527777777778,0.5310768101531509,0.5284598214285714,0.4673301054580979,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,6,RealWorld_thigh,0.5625,0.5531851863091353,0.5636160714285714,0.5102619703997466,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,7,RealWorld_thigh,0.5194444444444445,0.4642931083940775,0.5044642857142857,0.43034297941038635,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,8,RealWorld_thigh,0.5336805555555556,0.48131702489927947,0.5111607142857143,0.4422637213002143,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,9,RealWorld_thigh,0.5309027777777777,0.47280450162978366,0.45033482142857145,0.3407741789298076,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,10,RealWorld_thigh,0.5309027777777777,0.47139941528816953,0.4369419642857143,0.3190379421512423,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,11,RealWorld_thigh,0.5326388888888889,0.4739823550328833,0.421875,0.29049296166618405,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,12,RealWorld_thigh,0.5805555555555556,0.5715466029261106,0.5022321428571429,0.41261218159547863,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,13,RealWorld_thigh,0.5340277777777778,0.47565395168922703,0.4330357142857143,0.3134700147891188,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,14,RealWorld_thigh,0.5388888888888889,0.48153445812338047,0.41629464285714285,0.28180691579280537,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,15,RealWorld_thigh,0.5375,0.47945100382745887,0.41517857142857145,0.279833619338055,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,16,RealWorld_thigh,0.5399305555555556,0.4840466930157241,0.42075892857142855,0.28854069186159076,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,17,RealWorld_thigh,0.5430555555555555,0.48812194972064643,0.4213169642857143,0.2919547207396294,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,18,RealWorld_thigh,0.5461805555555556,0.4914001638373482,0.41964285714285715,0.2898211636787283,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,19,RealWorld_thigh,0.5482638888888889,0.4946003575586498,0.42299107142857145,0.29669112057896346,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,20,RealWorld_thigh,0.546875,0.4926876691609041,0.421875,0.29513231238682014,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,21,RealWorld_thigh,0.5524305555555555,0.49981314657365233,0.42299107142857145,0.29808430668560676,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,22,RealWorld_thigh,0.5534722222222223,0.5030793914863095,0.42857142857142855,0.30891148591152845,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,23,RealWorld_thigh,0.55625,0.5066773880412366,0.42745535714285715,0.3107575829113716,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,24,RealWorld_thigh,0.5538194444444444,0.5043389936879736,0.42689732142857145,0.30995883748273706,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,25,RealWorld_thigh,0.5517361111111111,0.5037914493460982,0.4330357142857143,0.3274186941905001,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,26,RealWorld_thigh,0.55,0.5015940250517414,0.4291294642857143,0.3202578634007492,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,27,RealWorld_thigh,0.5479166666666667,0.4998051744480752,0.42578125,0.3193789732362102,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,28,RealWorld_thigh,0.5444444444444444,0.4957870248250333,0.42354910714285715,0.31506037679140814,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,29,RealWorld_thigh,0.5427083333333333,0.4949143323165211,0.4252232142857143,0.3250758416028171,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,30,RealWorld_thigh,0.5416666666666666,0.49470459252269183,0.43247767857142855,0.3415690315973396,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,31,RealWorld_thigh,0.5388888888888889,0.4922948243057772,0.42745535714285715,0.3366060179485347,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,32,RealWorld_thigh,0.5361111111111111,0.48995834012369105,0.42745535714285715,0.34433835887520686,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,33,RealWorld_thigh,0.5350694444444445,0.48890000576627385,0.42354910714285715,0.33712877642544486,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,34,RealWorld_thigh,0.5361111111111111,0.49001976988704093,0.41964285714285715,0.34084842217174055,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,35,RealWorld_thigh,0.5364583333333334,0.49027152605131513,0.4252232142857143,0.35138369675996367,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,36,RealWorld_thigh,0.5246527777777777,0.47885368771374753,0.41573660714285715,0.33404273869708306,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,37,RealWorld_thigh,0.5309027777777777,0.48456839452830214,0.4174107142857143,0.3386542435570766,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,38,RealWorld_thigh,0.53125,0.48488740307770545,0.42410714285714285,0.3563922636317642,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,39,RealWorld_thigh,0.5291666666666667,0.48285106336811867,0.41908482142857145,0.3485832842391299,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,40,RealWorld_thigh,0.53125,0.4847256592159839,0.41796875,0.34856110596083384,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,41,RealWorld_thigh,0.5190972222222222,0.4731992793295894,0.40513392857142855,0.32922375146802657,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,42,RealWorld_thigh,0.5229166666666667,0.4763664838587376,0.40345982142857145,0.3312166181301575,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,43,RealWorld_thigh,0.5114583333333333,0.46489426398585976,0.3978794642857143,0.31988559012276124,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,44,RealWorld_thigh,0.5138888888888888,0.4674372813886789,0.39955357142857145,0.3337221299715345,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,45,RealWorld_thigh,0.5135416666666667,0.4666525810504228,0.40011160714285715,0.33572904558042865,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,46,RealWorld_thigh,0.51875,0.47205631278328014,0.40904017857142855,0.34332794857316423,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,47,RealWorld_thigh,0.5166666666666667,0.46980188928347055,0.40513392857142855,0.3494605682975338,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,48,RealWorld_thigh,0.5083333333333333,0.46135628814987223,0.4029017857142857,0.345734538806981,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,49,RealWorld_thigh,0.5090277777777777,0.4619339345522591,0.40513392857142855,0.34940951602289955,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,50,RealWorld_thigh,0.5163194444444444,0.4681624222826319,0.40904017857142855,0.35795389058676336,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,51,RealWorld_thigh,0.5055555555555555,0.4588101422372654,0.4017857142857143,0.34817191585715634,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,52,RealWorld_thigh,0.5020833333333333,0.45482738198889,0.39564732142857145,0.3410085510855077,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,53,RealWorld_thigh,0.5052083333333334,0.45707998342063116,0.3989955357142857,0.3484066549809573,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,54,RealWorld_thigh,0.5,0.4522138453639977,0.39285714285714285,0.3421555773135739,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,55,RealWorld_thigh,0.49756944444444445,0.4504586496865682,0.38839285714285715,0.3393437478119335,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,56,RealWorld_thigh,0.4986111111111111,0.4505878300163268,0.39285714285714285,0.34073728862650526,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,57,RealWorld_thigh,0.49409722222222224,0.44604790261835975,0.39732142857142855,0.34250577024241863,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,58,RealWorld_thigh,0.5020833333333333,0.4537268290441294,0.3984375,0.34486637587116903,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,59,RealWorld_thigh,0.5003472222222223,0.4519389366505037,0.40066964285714285,0.3465792033188065,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,60,RealWorld_thigh,0.49409722222222224,0.44461191239657877,0.39676339285714285,0.3383575840190431,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,61,RealWorld_thigh,0.49236111111111114,0.4430899331910596,0.3939732142857143,0.3421557612172008,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,62,RealWorld_thigh,0.49201388888888886,0.4416873243987051,0.38950892857142855,0.34064564408905845,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,63,RealWorld_thigh,0.4913194444444444,0.44156721145690353,0.38671875,0.33890877883569037,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,64,RealWorld_thigh,0.4913194444444444,0.44126221254215253,0.39174107142857145,0.3396900106375838,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,65,RealWorld_thigh,0.49166666666666664,0.4406107418173757,0.38895089285714285,0.3362855371057227,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,66,RealWorld_thigh,0.4829861111111111,0.43166983432263417,0.37890625,0.3233878446443719,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,67,RealWorld_thigh,0.49166666666666664,0.4401571125339294,0.38560267857142855,0.3335125535493959,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,68,RealWorld_thigh,0.48854166666666665,0.43549084295415597,0.3861607142857143,0.3286140785001514,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,69,RealWorld_thigh,0.48125,0.4281630966024283,0.3744419642857143,0.31198917248759533,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,70,RealWorld_thigh,0.4822916666666667,0.4296434000917457,0.3716517857142857,0.3179929610583175,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,71,RealWorld_thigh,0.48854166666666665,0.4348653497596045,0.3861607142857143,0.32500419050130525,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,72,RealWorld_thigh,0.4826388888888889,0.43031473729187786,0.37220982142857145,0.31071026077039227,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,73,RealWorld_thigh,0.4864583333333333,0.4345769064117085,0.38839285714285715,0.331723380099271,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,74,RealWorld_thigh,0.48194444444444445,0.42870823668448116,0.37611607142857145,0.3163528276888891,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,75,RealWorld_thigh,0.4829861111111111,0.42965961543570236,0.375,0.3185055389917996,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,76,RealWorld_thigh,0.47673611111111114,0.42122713268785666,0.37109375,0.31049011648136365,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,77,RealWorld_thigh,0.471875,0.41776188325522207,0.35435267857142855,0.2925158965017396,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,78,RealWorld_thigh,0.4878472222222222,0.4311790999504433,0.3911830357142857,0.3308579335642785,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,79,RealWorld_thigh,0.4774305555555556,0.42224259306961437,0.37890625,0.3208548885050017,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,80,RealWorld_thigh,0.47430555555555554,0.418431200323165,0.375,0.319767408782627,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,81,RealWorld_thigh,0.47708333333333336,0.4211039807274555,0.3783482142857143,0.3225697555567795,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,82,RealWorld_thigh,0.4739583333333333,0.4177021630170105,0.37220982142857145,0.31018499955959544,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,83,RealWorld_thigh,0.47604166666666664,0.42285998534974995,0.36997767857142855,0.31304280187312733,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,84,RealWorld_thigh,0.4795138888888889,0.4266236089302779,0.375,0.3199244271303044,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,85,RealWorld_thigh,0.471875,0.42019566598646224,0.35658482142857145,0.3075234541061395,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,86,RealWorld_thigh,0.4722222222222222,0.41772574465629225,0.3671875,0.3173352646447248,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,87,RealWorld_thigh,0.4722222222222222,0.4182734921081979,0.36495535714285715,0.3105140001718196,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,88,RealWorld_thigh,0.4777777777777778,0.42275442078168995,0.38113839285714285,0.3225117282866434,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,89,RealWorld_thigh,0.4736111111111111,0.4196315967587221,0.36551339285714285,0.30765012986105106,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,90,RealWorld_thigh,0.47465277777777776,0.4202099752771647,0.37109375,0.31546204012899787,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,91,RealWorld_thigh,0.4701388888888889,0.4173548982221704,0.36607142857142855,0.31430244483854697,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,92,RealWorld_thigh,0.47291666666666665,0.41827758938887966,0.37109375,0.3163798222225339,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,93,RealWorld_thigh,0.4552083333333333,0.4043817837658157,0.3515625,0.30317249334654406,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,94,RealWorld_thigh,0.4704861111111111,0.416093891756768,0.3666294642857143,0.31101710150845535,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,95,RealWorld_thigh,0.4701388888888889,0.4177007516019157,0.36439732142857145,0.3092438976203577,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,96,RealWorld_thigh,0.47256944444444443,0.4204483051565691,0.3666294642857143,0.3104931938742344,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,97,RealWorld_thigh,0.4722222222222222,0.4201774635428816,0.36607142857142855,0.31001693427966165,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,98,RealWorld_thigh,0.4739583333333333,0.42108843375770594,0.36830357142857145,0.31554840914261933,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,99,RealWorld_thigh,0.47256944444444443,0.4180402938983978,0.37332589285714285,0.3119695661864747,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,100,RealWorld_thigh,0.4638888888888889,0.41192557703689897,0.35323660714285715,0.2932775988629322,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,101,RealWorld_thigh,0.46805555555555556,0.4135351897369475,0.36439732142857145,0.30071979782830294,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,102,RealWorld_thigh,0.4583333333333333,0.40611875551173376,0.3482142857142857,0.29071125504542517,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,103,RealWorld_thigh,0.4701388888888889,0.4166862161277032,0.3671875,0.30267917125066485,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,104,RealWorld_thigh,0.46875,0.41525610332015067,0.36160714285714285,0.2952960126605492,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,105,RealWorld_thigh,0.46805555555555556,0.416068805832448,0.35714285714285715,0.28840720345992693,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,106,RealWorld_thigh,0.47256944444444443,0.42016031786385505,0.36830357142857145,0.3017476510983005,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,107,RealWorld_thigh,0.4756944444444444,0.4207445114498283,0.38058035714285715,0.317418869094764,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
tstcc,device:RealWorld_thigh:10,192,1,5,108,RealWorld_thigh,0.47152777777777777,0.4175646739902823,0.3666294642857143,0.3027862903166546,280.50376892089844,280.50376892089844,tfc,2,100,device:MotionSense:10
