encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
resnetse5,device:MotionSense:10,192,3,5,1,MotionSense,0.5185546875,0.4398091046810211,0.4765625,0.3841624436033418,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,2,MotionSense,0.455078125,0.34281096512105513,0.4192708333333333,0.3059536421824643,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,3,MotionSense,0.521484375,0.4287487125179394,0.4453125,0.34957063780991726,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,4,MotionSense,0.634765625,0.5765611672091705,0.5572916666666666,0.4944341465679425,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,5,MotionSense,0.71484375,0.6830471477615306,0.6380208333333334,0.5996279231743569,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,6,MotionSense,0.7734375,0.7564176969485498,0.6666666666666666,0.6399031036285958,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,7,MotionSense,0.8056640625,0.7893248395057652,0.6822916666666666,0.6453057121487241,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,8,MotionSense,0.8271484375,0.8146368908020847,0.6875,0.617663973567534,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,9,MotionSense,0.849609375,0.8434089208292227,0.703125,0.6159235448635625,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,10,MotionSense,0.853515625,0.8509688234416934,0.7161458333333334,0.6311036655850898,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,11,MotionSense,0.8544921875,0.8546678310889094,0.7317708333333334,0.6466096794460064,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,3,5,12,MotionSense,0.859375,0.8573193085725497,0.7395833333333334,0.652598706403964,5.230560302734375,5.230560302734375,lfr,full,100,device:RealWorld_thigh:10
