encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:MotionSense:10,192,0,5,1,MotionSense,0.2197265625,0.1613010232371364,0.1875,0.13583585864921852,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,2,MotionSense,0.2216796875,0.15335654620330397,0.18229166666666666,0.1231086677989333,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,3,MotionSense,0.3916015625,0.26889258398140714,0.3802083333333333,0.26128440218634336,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,4,MotionSense,0.3857421875,0.2499482567904213,0.390625,0.26210732823325517,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,5,MotionSense,0.3857421875,0.2506210809155681,0.3828125,0.2422291353806499,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,6,MotionSense,0.38671875,0.24753054399308475,0.3854166666666667,0.24305434202893728,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,7,MotionSense,0.3896484375,0.25124688550518476,0.3828125,0.24012598414397446,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,8,MotionSense,0.39453125,0.25555126722198596,0.3880208333333333,0.24517517423793703,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,9,MotionSense,0.3984375,0.2605106926407258,0.3880208333333333,0.2454561271312372,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,10,MotionSense,0.404296875,0.26657262676478194,0.390625,0.24826805056740975,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,11,MotionSense,0.4140625,0.2796263954711806,0.4010416666666667,0.260630338499191,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,12,MotionSense,0.4267578125,0.30207273590175965,0.4088541666666667,0.2739093933402379,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,13,MotionSense,0.4345703125,0.31577608926171663,0.4166666666666667,0.2882777986115402,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,14,MotionSense,0.458984375,0.3561011080101803,0.4270833333333333,0.30237345070936406,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,15,MotionSense,0.4873046875,0.4065372189512389,0.4505208333333333,0.3401951060507895,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,16,MotionSense,0.5146484375,0.44533725440992317,0.46875,0.3663055225012486,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,17,MotionSense,0.541015625,0.4751199355058157,0.5,0.4132717667796946,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,18,MotionSense,0.556640625,0.49005620955569795,0.5208333333333334,0.44007421829036525,6.5224456787109375,6.5224456787109375,lfr,5,100,device:RealWorld_thigh:10
