encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:MotionSense:10,192,2,5,1,MotionSense,0.4345703125,0.32398171958026417,0.421875,0.3019626241301118,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,2,MotionSense,0.498046875,0.3873107898298955,0.515625,0.3956926517598744,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,3,MotionSense,0.5498046875,0.44197083340960824,0.5338541666666666,0.44018633581327576,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,4,MotionSense,0.5732421875,0.504460458834852,0.5520833333333334,0.4768967818371523,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,5,MotionSense,0.5732421875,0.4944964353949175,0.5494791666666666,0.47748118578168325,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,6,MotionSense,0.560546875,0.47030158776937386,0.5651041666666666,0.4745862962079508,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,7,MotionSense,0.57421875,0.4876102095637615,0.5651041666666666,0.47442444251654775,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,8,MotionSense,0.583984375,0.502392539184536,0.5572916666666666,0.46821434923844557,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,9,MotionSense,0.56640625,0.5134009950106168,0.5104166666666666,0.457367467124225,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,10,MotionSense,0.626953125,0.5939515988334914,0.5729166666666666,0.5360496474855202,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,11,MotionSense,0.6103515625,0.538989740002627,0.5546875,0.4800317766589079,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,12,MotionSense,0.6083984375,0.5352400965010373,0.5416666666666666,0.464850719144184,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,13,MotionSense,0.6025390625,0.5294023929672571,0.5625,0.48178354633153403,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,14,MotionSense,0.56640625,0.5281790063491046,0.484375,0.43458226993558674,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,15,MotionSense,0.6015625,0.5238465472882408,0.5260416666666666,0.44101999384529317,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,16,MotionSense,0.60546875,0.5303393168203735,0.5234375,0.4386184393771149,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,17,MotionSense,0.60546875,0.5246154351871223,0.515625,0.42878846626695166,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,18,MotionSense,0.607421875,0.5311813016161823,0.5234375,0.4383196105515494,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,19,MotionSense,0.6025390625,0.5265939816655784,0.5208333333333334,0.43490770501536974,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,20,MotionSense,0.6005859375,0.5211907861159867,0.5234375,0.4382687869269377,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,21,MotionSense,0.6123046875,0.5385883712526246,0.5182291666666666,0.4378135446279911,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,22,MotionSense,0.6181640625,0.5505031247192719,0.515625,0.4370396339451433,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,23,MotionSense,0.625,0.5532940153939341,0.5260416666666666,0.4440704681432113,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,24,MotionSense,0.6279296875,0.5602586226715578,0.5390625,0.4655259573756306,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,25,MotionSense,0.626953125,0.5576374524814088,0.5260416666666666,0.44598811927055815,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,26,MotionSense,0.6279296875,0.5615097849726967,0.5364583333333334,0.4638762633005408,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,27,MotionSense,0.6337890625,0.5688881832530318,0.5338541666666666,0.4567986390793434,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,28,MotionSense,0.6552734375,0.6395821586045868,0.5833333333333334,0.5553571680904689,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,29,MotionSense,0.6455078125,0.5868795530207523,0.5546875,0.49275651427493505,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,30,MotionSense,0.6337890625,0.5819525244570417,0.5208333333333334,0.45512407499936663,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,31,MotionSense,0.642578125,0.5847592336683675,0.5572916666666666,0.4963458758619553,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,32,MotionSense,0.6416015625,0.5788201964222461,0.5390625,0.4645536492546271,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,33,MotionSense,0.63671875,0.5848530209751704,0.5338541666666666,0.46512475931443936,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,34,MotionSense,0.64453125,0.5865773005050512,0.5598958333333334,0.49770772674887914,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,35,MotionSense,0.6435546875,0.5862961460084448,0.5390625,0.4705566728883615,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,36,MotionSense,0.64453125,0.5855328832471326,0.5442708333333334,0.4768842018684147,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,37,MotionSense,0.6435546875,0.5869937212883559,0.5442708333333334,0.47689535293474533,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,38,MotionSense,0.6455078125,0.5871748535994746,0.5598958333333334,0.4963578479826202,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,39,MotionSense,0.6455078125,0.5879494211174345,0.5390625,0.47037091371292833,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,40,MotionSense,0.6484375,0.5917166898557233,0.5520833333333334,0.485435711581103,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,41,MotionSense,0.646484375,0.5876682905321601,0.5520833333333334,0.4804184687419264,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,42,MotionSense,0.609375,0.5943079405027287,0.5,0.4706566760498429,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,43,MotionSense,0.630859375,0.5901905064239165,0.5234375,0.4659014737123508,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,44,MotionSense,0.65234375,0.5950701445993766,0.546875,0.4749598507022301,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,2,5,45,MotionSense,0.6806640625,0.6581969220766454,0.5963541666666666,0.5597344756676932,6.5224456787109375,6.5224456787109375,lfr,full,100,device:RealWorld_thigh:10
