encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
resnetse5,device:MotionSense:10,192,1,5,1,MotionSense,0.6650390625,0.6360621643537084,0.5859375,0.5339965882760073,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,2,MotionSense,0.77734375,0.771936321191283,0.6848958333333334,0.671419373169187,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,3,MotionSense,0.7919921875,0.774620985374086,0.671875,0.658763758952833,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,4,MotionSense,0.7666015625,0.7291928770197004,0.65625,0.6208298257511164,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,5,MotionSense,0.763671875,0.7158434388439444,0.6588541666666666,0.6165774792593263,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,6,MotionSense,0.76953125,0.7183817280156942,0.6640625,0.6192355407197655,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,7,MotionSense,0.7705078125,0.7197661504095759,0.6770833333333334,0.6327045258451643,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,8,MotionSense,0.7734375,0.7234178796945864,0.6875,0.642644098185081,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,9,MotionSense,0.779296875,0.733209455985059,0.6770833333333334,0.6312962460970051,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,10,MotionSense,0.79296875,0.7614171990617541,0.703125,0.67093817143425,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,11,MotionSense,0.876953125,0.8770015480083474,0.7994791666666666,0.7943722079028886,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,12,MotionSense,0.8701171875,0.8690339703556016,0.7942708333333334,0.7906812492025628,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,13,MotionSense,0.7880859375,0.7517103726019153,0.6822916666666666,0.635807092045429,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,14,MotionSense,0.7841796875,0.7476430750380373,0.6770833333333334,0.6279357510312922,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
resnetse5,device:MotionSense:10,192,1,5,15,MotionSense,0.7900390625,0.754739480413496,0.6848958333333334,0.6396759404156479,14.909286499023438,14.909286499023438,tfc,full,100,device:RealWorld_thigh:10
