encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:MotionSense:10,192,0,5,1,MotionSense,0.107421875,0.09299144497722737,0.203125,0.1978801178966639,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,2,MotionSense,0.474609375,0.3708598466278114,0.4895833333333333,0.3676201596757152,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,3,MotionSense,0.5263671875,0.4229940819681099,0.5130208333333334,0.3929091214178933,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,4,MotionSense,0.6611328125,0.631767880376831,0.6458333333333334,0.5786547955107998,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,5,MotionSense,0.68359375,0.6603843638572136,0.6536458333333334,0.5943488914130244,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,6,MotionSense,0.732421875,0.7154566760740856,0.6770833333333334,0.6184240628279385,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,7,MotionSense,0.7646484375,0.7508477621723633,0.6901041666666666,0.6318159079226534,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,8,MotionSense,0.78515625,0.773262944062476,0.6875,0.6388988714906402,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,9,MotionSense,0.75390625,0.7387475612570252,0.6536458333333334,0.6107208917402991,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,10,MotionSense,0.7255859375,0.6935280349904952,0.6380208333333334,0.5864426760978485,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,11,MotionSense,0.7236328125,0.6864391957264228,0.6328125,0.5778627828163433,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,12,MotionSense,0.744140625,0.7178782784103909,0.6640625,0.6245359458468281,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,13,MotionSense,0.771484375,0.7563081175761649,0.6848958333333334,0.6553410464990738,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,14,MotionSense,0.8037109375,0.795406259910528,0.703125,0.6778675135070645,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,15,MotionSense,0.8212890625,0.8158546289568213,0.7291666666666666,0.7070326978370621,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,16,MotionSense,0.8427734375,0.8387529461036699,0.7473958333333334,0.7249334855589286,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,17,MotionSense,0.8486328125,0.8454343855994667,0.7604166666666666,0.7398479730269328,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,18,MotionSense,0.8525390625,0.8492860482179322,0.7838541666666666,0.7625950230938846,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,19,MotionSense,0.861328125,0.8580926011471329,0.796875,0.7774749825376417,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,20,MotionSense,0.861328125,0.8579652626749675,0.8072916666666666,0.7880336071831655,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,21,MotionSense,0.86328125,0.8601411354649486,0.8177083333333334,0.7974042455676228,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,22,MotionSense,0.865234375,0.862521722293641,0.8255208333333334,0.8046024291328115,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,23,MotionSense,0.865234375,0.8626938258398478,0.828125,0.8066199676511427,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,24,MotionSense,0.865234375,0.8628545538377238,0.8255208333333334,0.8041171336823463,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,25,MotionSense,0.865234375,0.8629059473809692,0.8307291666666666,0.808779829125787,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,26,MotionSense,0.8720703125,0.8696500977767258,0.8385416666666666,0.8157279616783546,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
rnn,device:MotionSense:10,192,0,5,27,MotionSense,0.8759765625,0.8735579899858607,0.8333333333333334,0.8072467312365448,19.993057250976562,19.993057250976562,tfc,10,100,device:RealWorld_thigh:10
