encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:MotionSense:10,192,3,5,1,MotionSense,0.1982421875,0.10026499348466433,0.20052083333333334,0.09860522796715898,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,2,MotionSense,0.232421875,0.13907537720124938,0.22135416666666666,0.1301126372950393,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,3,MotionSense,0.3828125,0.25840112149033717,0.3463541666666667,0.22782117638100732,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,4,MotionSense,0.4169921875,0.28144499983664933,0.3932291666666667,0.2600755912972558,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,5,MotionSense,0.435546875,0.29352643852492893,0.3932291666666667,0.2585478121729076,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,6,MotionSense,0.458984375,0.3085413372065604,0.4036458333333333,0.2632816380215439,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,7,MotionSense,0.4697265625,0.31552114863198977,0.4166666666666667,0.2713317696048048,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,8,MotionSense,0.4765625,0.31863285600251984,0.421875,0.2742827272287494,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,9,MotionSense,0.4833984375,0.3251366105174401,0.4244791666666667,0.27576729594559457,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,10,MotionSense,0.484375,0.32508052250871583,0.4270833333333333,0.27771653388991774,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,11,MotionSense,0.541015625,0.43440237509726387,0.4921875,0.3844039845270572,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,12,MotionSense,0.4970703125,0.35151358146840694,0.4791666666666667,0.3397976303237071,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,13,MotionSense,0.4921875,0.34312967653492654,0.46875,0.3188632043135499,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
rnn,device:MotionSense:10,192,3,5,14,MotionSense,0.4892578125,0.3406060622159249,0.4817708333333333,0.3335212605115518,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10@full
