encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:MotionSense:10,192,2,5,1,MotionSense,0.609375,0.5055363713583644,0.5416666666666666,0.4600223955820694,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,2,MotionSense,0.7880859375,0.7409751200018594,0.7265625,0.6859979360196182,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,3,MotionSense,0.814453125,0.789536930260109,0.7734375,0.7603395480243323,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,4,MotionSense,0.822265625,0.8011646910391702,0.7682291666666666,0.7478606669296756,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,5,MotionSense,0.849609375,0.8412627059211176,0.7838541666666666,0.7670178109924152,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,6,MotionSense,0.861328125,0.856466906409684,0.7942708333333334,0.783796716834797,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,7,MotionSense,0.8681640625,0.8652118145032719,0.8020833333333334,0.7905557171751113,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,8,MotionSense,0.8662109375,0.862555167902506,0.8046875,0.7923005628628146,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,9,MotionSense,0.853515625,0.8465705940035431,0.8072916666666666,0.7939648329311767,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,10,MotionSense,0.8671875,0.8663621645091625,0.8385416666666666,0.8296781192754304,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,11,MotionSense,0.8740234375,0.8746515067616317,0.8463541666666666,0.8388082203299868,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,12,MotionSense,0.869140625,0.8671037697200368,0.8307291666666666,0.8228641996271236,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,13,MotionSense,0.880859375,0.8825990790760426,0.8619791666666666,0.8578590369714686,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,14,MotionSense,0.87109375,0.8694456187586054,0.84375,0.8370935544464796,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,15,MotionSense,0.875,0.8747886819884748,0.8515625,0.8453098888678383,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,16,MotionSense,0.8720703125,0.8713821175443873,0.8541666666666666,0.8495054163001781,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,17,MotionSense,0.875,0.8754745276565109,0.8489583333333334,0.8451893725676585,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,18,MotionSense,0.875,0.8760775941305697,0.859375,0.8568185534944098,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,19,MotionSense,0.876953125,0.8779703573099585,0.8541666666666666,0.8505482982995841,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,20,MotionSense,0.8818359375,0.8835383435745238,0.859375,0.8553557385793505,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,21,MotionSense,0.87109375,0.8698187651341502,0.8489583333333334,0.8446358142284693,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,22,MotionSense,0.8837890625,0.8855637744686143,0.859375,0.8556942363939292,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,23,MotionSense,0.880859375,0.882492625266948,0.8567708333333334,0.856751196836842,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,24,MotionSense,0.8779296875,0.8782244133653064,0.8541666666666666,0.8536149212655082,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,25,MotionSense,0.884765625,0.886828516957403,0.859375,0.859551827155384,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,26,MotionSense,0.875,0.8747279783119887,0.859375,0.8598105328622414,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,27,MotionSense,0.8798828125,0.8804502333744981,0.859375,0.8585539916924332,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,28,MotionSense,0.880859375,0.881501535341088,0.859375,0.8598435397641208,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,29,MotionSense,0.8818359375,0.8835951788655351,0.8645833333333334,0.8635754678232855,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,30,MotionSense,0.880859375,0.8822838469808841,0.8567708333333334,0.8563708202820245,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,31,MotionSense,0.8857421875,0.8875410985889894,0.8619791666666666,0.8629217541680712,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,32,MotionSense,0.880859375,0.8815034829812552,0.8567708333333334,0.8556333990625032,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,33,MotionSense,0.8837890625,0.8846120733764891,0.8619791666666666,0.8618255651955008,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,34,MotionSense,0.8876953125,0.8896152825692574,0.8776041666666666,0.8785948423020695,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
tstcc,device:MotionSense:10,192,2,5,35,MotionSense,0.88671875,0.888477020674924,0.8671875,0.8663116347538259,127.09030151367188,127.09030151367188,lfr,full,100,single:MotionSense:10@full
