encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
resnetse5,device:MotionSense:10,192,3,5,1,MotionSense,0.5322265625,0.49876035130712687,0.5208333333333334,0.5230651819618942,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,2,MotionSense,0.712890625,0.7027981732767111,0.6302083333333334,0.6153702599944227,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,3,MotionSense,0.755859375,0.7509546936361681,0.6692708333333334,0.6513279884957384,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,4,MotionSense,0.7783203125,0.7680560146876884,0.6796875,0.6480003723590091,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,5,MotionSense,0.7294921875,0.6769701805957223,0.6119791666666666,0.5439484578913606,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,6,MotionSense,0.7392578125,0.687283879916062,0.625,0.5614928882546905,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,7,MotionSense,0.7490234375,0.6970484034390392,0.6380208333333334,0.5810992028608869,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,8,MotionSense,0.75,0.6979694237234154,0.640625,0.584063950689998,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,9,MotionSense,0.7548828125,0.7030402541671276,0.6432291666666666,0.5885157615871437,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,10,MotionSense,0.7578125,0.7062615689550674,0.65625,0.6035382797251777,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,11,MotionSense,0.7607421875,0.7098838764775625,0.6588541666666666,0.6072562358276644,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,12,MotionSense,0.7587890625,0.7079823863444884,0.6588541666666666,0.6072562358276644,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,13,MotionSense,0.76171875,0.7111638168261178,0.6614583333333334,0.6116469474552181,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
resnetse5,device:MotionSense:10,192,3,5,14,MotionSense,0.7666015625,0.7204345861356439,0.6614583333333334,0.6128205619195134,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10@full
