encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
resnetse5,device:MotionSense:10,192,2,5,1,MotionSense,0.1171875,0.10419986869815477,0.10677083333333333,0.10738999869434653,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,2,MotionSense,0.3359375,0.24935624456598968,0.3333333333333333,0.2378647358324559,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,3,MotionSense,0.490234375,0.32441341334036605,0.5052083333333334,0.3261179347056,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,4,MotionSense,0.470703125,0.3191853789887289,0.4609375,0.2960285643641909,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,5,MotionSense,0.44921875,0.3072241428983002,0.4322916666666667,0.2723778904871446,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,6,MotionSense,0.43359375,0.29637367685924676,0.4140625,0.25435238355664935,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,7,MotionSense,0.4306640625,0.2928525500986834,0.4140625,0.25489318269622324,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,8,MotionSense,0.44140625,0.2999433765039941,0.4166666666666667,0.2564532674133118,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,9,MotionSense,0.4619140625,0.3144508826475954,0.4427083333333333,0.28379534529203576,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,10,MotionSense,0.4990234375,0.349915272278926,0.4869791666666667,0.3363718648579573,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,11,MotionSense,0.54296875,0.40454685407777724,0.5572916666666666,0.4136377723088141,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,12,MotionSense,0.5693359375,0.4352078111946533,0.59375,0.4512777731315925,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,13,MotionSense,0.5888671875,0.4591228359974386,0.6067708333333334,0.4644037931215858,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,14,MotionSense,0.59375,0.4646372799785008,0.609375,0.4650754345631749,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,15,MotionSense,0.5927734375,0.4711435232555365,0.6171875,0.47346660989274897,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,16,MotionSense,0.61328125,0.5130480241671572,0.625,0.49133961507443286,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,17,MotionSense,0.650390625,0.5803391755125514,0.6432291666666666,0.5185584225843399,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,18,MotionSense,0.6884765625,0.634839232214135,0.640625,0.5171849881882975,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,19,MotionSense,0.724609375,0.6804433387417106,0.671875,0.5787336916624582,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,20,MotionSense,0.7607421875,0.7250905649346819,0.6822916666666666,0.5985501295934078,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,21,MotionSense,0.779296875,0.7506935884454077,0.6953125,0.6256027935462557,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,22,MotionSense,0.796875,0.77522982077934,0.7239583333333334,0.6670360328916893,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,23,MotionSense,0.8134765625,0.7949371883963051,0.7291666666666666,0.6835731414570635,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,24,MotionSense,0.8203125,0.8057180764087558,0.7421875,0.7054096055419053,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,25,MotionSense,0.8388671875,0.8297425764146329,0.7604166666666666,0.7288062120684867,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,26,MotionSense,0.845703125,0.8395751103349531,0.7682291666666666,0.7474784206943195,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,27,MotionSense,0.84765625,0.8432707817798947,0.7760416666666666,0.7562039429551498,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,28,MotionSense,0.8525390625,0.8501342866016887,0.7786458333333334,0.7624004472797075,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,29,MotionSense,0.8505859375,0.8501309576862454,0.78125,0.7682440284290154,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,30,MotionSense,0.8486328125,0.8486446897405463,0.78125,0.7682440284290154,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,31,MotionSense,0.84765625,0.8476421827406956,0.78125,0.7703481495106083,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,32,MotionSense,0.84765625,0.8476421827406956,0.7786458333333334,0.767697042996457,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,33,MotionSense,0.8486328125,0.848918474935688,0.78125,0.7723398092679883,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,34,MotionSense,0.849609375,0.8501714315787016,0.7864583333333334,0.7803001596383394,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,35,MotionSense,0.849609375,0.850859986239482,0.796875,0.7921401085403748,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,36,MotionSense,0.8515625,0.8528944938684392,0.8046875,0.8030956868781743,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,37,MotionSense,0.8525390625,0.8539158549210302,0.8072916666666666,0.8053240334935291,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,38,MotionSense,0.853515625,0.8549342111878248,0.8072916666666666,0.8053240334935291,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,39,MotionSense,0.8564453125,0.8579717957143084,0.8125,0.8124163720084313,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,40,MotionSense,0.859375,0.8610299661949506,0.8125,0.8124163720084313,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,41,MotionSense,0.857421875,0.8593690097926179,0.8125,0.8125600115214778,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,42,MotionSense,0.857421875,0.8593690097926179,0.8098958333333334,0.8101693007681403,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,43,MotionSense,0.8603515625,0.8623834972722544,0.8125,0.8142302369133857,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,44,MotionSense,0.8603515625,0.8624443488324546,0.8151041666666666,0.8170450412539253,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,45,MotionSense,0.8603515625,0.8624443488324546,0.8125,0.8147775802269468,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,46,MotionSense,0.8603515625,0.8624443488324546,0.8151041666666666,0.8171802542994882,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,47,MotionSense,0.8603515625,0.8624443488324546,0.8151041666666666,0.8159959812683738,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,48,MotionSense,0.8603515625,0.8624443488324546,0.8177083333333334,0.8199656743462084,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,49,MotionSense,0.861328125,0.8634147242878768,0.8177083333333334,0.8199656743462084,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,50,MotionSense,0.8623046875,0.8643830336382199,0.8177083333333334,0.8199656743462084,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,51,MotionSense,0.8623046875,0.8643830336382199,0.8177083333333334,0.8199656743462084,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,52,MotionSense,0.86328125,0.8651708729277137,0.8203125,0.8222331353731868,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,53,MotionSense,0.86328125,0.8651592005918483,0.8255208333333334,0.8270972369441564,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,2,5,54,MotionSense,0.8681640625,0.8700359714128553,0.8203125,0.8225133413076291,5.230560302734375,5.230560302734375,lfr,10,100,single:MotionSense:10
