encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:MotionSense:10,192,2,5,1,MotionSense,0.1630859375,0.08728486378437529,0.17447916666666666,0.07887607582004864,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,2,MotionSense,0.1982421875,0.13041550948171057,0.1953125,0.10161963982451061,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,3,MotionSense,0.3857421875,0.3045191219452564,0.3489583333333333,0.2386556416232124,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,4,MotionSense,0.4384765625,0.36419510809371447,0.3984375,0.2850106953716642,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,5,MotionSense,0.4755859375,0.40506597985649745,0.4375,0.3159623644022713,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,6,MotionSense,0.5126953125,0.44228733885886323,0.4557291666666667,0.3318042627638773,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,7,MotionSense,0.5439453125,0.47465445049357985,0.4713541666666667,0.3451378323350887,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,8,MotionSense,0.5625,0.493792932666217,0.4817708333333333,0.3486071899115377,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,9,MotionSense,0.5810546875,0.511823249902877,0.5026041666666666,0.3640482154668348,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,10,MotionSense,0.5927734375,0.5215258636307541,0.5208333333333334,0.3808602717393083,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,11,MotionSense,0.599609375,0.5285562642337546,0.5338541666666666,0.39517977328117565,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,12,MotionSense,0.595703125,0.5229198121840967,0.5338541666666666,0.39278761093045206,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,13,MotionSense,0.59375,0.5201600593948125,0.5416666666666666,0.4078711187214075,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,14,MotionSense,0.59375,0.5174086684067429,0.5442708333333334,0.41054134949328497,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,15,MotionSense,0.5908203125,0.512808808758922,0.5390625,0.3999090630463362,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,16,MotionSense,0.59375,0.5151991597898757,0.5390625,0.4003793325733633,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,17,MotionSense,0.59765625,0.5197252544781811,0.5390625,0.40137092344061015,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,18,MotionSense,0.6005859375,0.5227520193637786,0.5364583333333334,0.3949481949583827,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,19,MotionSense,0.603515625,0.5261436188575581,0.5364583333333334,0.3949481949583827,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,20,MotionSense,0.6103515625,0.5342264979345274,0.5338541666666666,0.39398322246507284,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,21,MotionSense,0.625,0.5507848893250126,0.5364583333333334,0.40124169724471587,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,22,MotionSense,0.630859375,0.5565609214532732,0.5390625,0.40559178277652924,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,23,MotionSense,0.6416015625,0.5689125782934922,0.5416666666666666,0.40703020703020704,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,24,MotionSense,0.642578125,0.5711916947889083,0.5442708333333334,0.41391151012953015,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,25,MotionSense,0.6494140625,0.5793940051921266,0.546875,0.4191198165869218,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,26,MotionSense,0.6552734375,0.5870018770198627,0.546875,0.4223073792571934,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,27,MotionSense,0.66015625,0.5933372045304796,0.546875,0.4253010290558003,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,28,MotionSense,0.6630859375,0.5975516358381526,0.546875,0.42910570912490925,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,29,MotionSense,0.66796875,0.6055203880706678,0.5390625,0.4236907354497615,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,30,MotionSense,0.6689453125,0.6084206783570365,0.5364583333333334,0.4228943253060508,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
rnn,device:MotionSense:10,192,2,5,31,MotionSense,0.6728515625,0.6128870426052232,0.53125,0.4204804978973286,6.5224456787109375,6.5224456787109375,lfr,2,100,single:MotionSense:10
