encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:MotionSense:10,192,0,5,1,MotionSense,0.30078125,0.18831773706394536,0.3333333333333333,0.19281582952815826,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,2,MotionSense,0.494140625,0.39234972453916184,0.453125,0.3596205132789916,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,3,MotionSense,0.623046875,0.5505735379152196,0.5807291666666666,0.5156519073103184,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,4,MotionSense,0.7216796875,0.664726061155522,0.6536458333333334,0.5938936087858409,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,5,MotionSense,0.7470703125,0.692824370040137,0.6692708333333334,0.6111629124582493,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,6,MotionSense,0.7529296875,0.6998720329881937,0.6796875,0.6300158513352575,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,7,MotionSense,0.759765625,0.7106347313360454,0.7005208333333334,0.663901759551844,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,8,MotionSense,0.76953125,0.727801091661112,0.7057291666666666,0.6730567236143892,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,9,MotionSense,0.783203125,0.7495390593759818,0.71875,0.6922175321879401,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,10,MotionSense,0.7958984375,0.7719600500397084,0.7369791666666666,0.7139604169032059,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,11,MotionSense,0.8095703125,0.7918571233815648,0.75,0.7295221437798952,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,12,MotionSense,0.8173828125,0.8026185711230616,0.7552083333333334,0.7337524848335225,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,13,MotionSense,0.833984375,0.8244733490158543,0.765625,0.7468819247602192,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,14,MotionSense,0.8466796875,0.8409848691282885,0.7838541666666666,0.7682216889307064,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,15,MotionSense,0.853515625,0.8499408575550186,0.7890625,0.7729697347334147,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,16,MotionSense,0.8564453125,0.8527017674519572,0.7890625,0.7732696176218673,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,17,MotionSense,0.859375,0.8562407564213473,0.7864583333333334,0.7705878514785627,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,18,MotionSense,0.8603515625,0.8576146579412369,0.7942708333333334,0.7793993758979817,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,19,MotionSense,0.861328125,0.8593611600621887,0.796875,0.7821133514775068,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,20,MotionSense,0.8623046875,0.8594671412315634,0.7942708333333334,0.7775403826888517,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,21,MotionSense,0.865234375,0.8622657434148593,0.7890625,0.773897017056148,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,0,5,22,MotionSense,0.8623046875,0.860341295336767,0.7942708333333334,0.7775403826888517,127.09030151367188,127.09030151367188,lfr,10,100,single:MotionSense:10
