encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
resnetse5,device:MotionSense:10,192,0,5,1,MotionSense,0.396484375,0.34086913637133603,0.4140625,0.33995616749817326,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,2,MotionSense,0.6875,0.6747385420052252,0.65625,0.5919384409968215,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,3,MotionSense,0.7529296875,0.7406752336781878,0.6822916666666666,0.64559869282052,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,4,MotionSense,0.7236328125,0.6703770932511356,0.6223958333333334,0.5535068125840227,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,5,MotionSense,0.73828125,0.6857244048383769,0.6484375,0.5928635392748812,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,6,MotionSense,0.7451171875,0.6929736460127703,0.6536458333333334,0.6027517578321571,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,7,MotionSense,0.7490234375,0.696947824238567,0.6640625,0.6154214975887013,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,8,MotionSense,0.763671875,0.7160476340648604,0.6848958333333334,0.6390061019429153,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,9,MotionSense,0.865234375,0.865217128719196,0.8046875,0.8020951632137613,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,10,MotionSense,0.8515625,0.8484164048460486,0.796875,0.792193948319258,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,11,MotionSense,0.857421875,0.8547532607151966,0.8098958333333334,0.8083901816029654,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,12,MotionSense,0.822265625,0.812563164882716,0.7760416666666666,0.768573535587528,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,13,MotionSense,0.822265625,0.8123365891927921,0.7708333333333334,0.7634291735595516,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,14,MotionSense,0.8984375,0.8973815702098623,0.8333333333333334,0.8298980116878368,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,15,MotionSense,0.841796875,0.8364273759681323,0.7942708333333334,0.7894985123755318,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,16,MotionSense,0.8173828125,0.8054725018728196,0.7734375,0.7653306047756138,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,17,MotionSense,0.8486328125,0.8443325383033716,0.7916666666666666,0.7866000987946342,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,18,MotionSense,0.8662109375,0.8642345691224529,0.8125,0.8086537865107521,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,19,MotionSense,0.82421875,0.8142232555620031,0.78125,0.7739698069444959,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,20,MotionSense,0.9072265625,0.9067238536170628,0.8541666666666666,0.8497313899014705,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,21,MotionSense,0.8818359375,0.8810115637431825,0.8229166666666666,0.8177950447865111,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,22,MotionSense,0.9091796875,0.9089363579712445,0.8515625,0.8472887435994618,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,23,MotionSense,0.8525390625,0.8485373102352064,0.8072916666666666,0.8027215562477372,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,24,MotionSense,0.8203125,0.8068472879871612,0.7760416666666666,0.7675773689061617,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,25,MotionSense,0.8486328125,0.8443867972449318,0.8072916666666666,0.8030414808683611,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,26,MotionSense,0.8125,0.7978865411185988,0.7708333333333334,0.7611408720744463,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,27,MotionSense,0.8623046875,0.8608895556443166,0.8125,0.8071879309200919,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,28,MotionSense,0.86328125,0.8613959632863212,0.8020833333333334,0.7978815907952818,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,29,MotionSense,0.8818359375,0.882399698441389,0.8229166666666666,0.8178862126738077,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,30,MotionSense,0.853515625,0.850512906059742,0.7916666666666666,0.7855051329701105,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,31,MotionSense,0.8310546875,0.8231902473595737,0.7890625,0.7809138556389764,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,32,MotionSense,0.880859375,0.8813191805633392,0.8098958333333334,0.8034122049992324,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,33,MotionSense,0.9013671875,0.9025012763092111,0.8177083333333334,0.8110513410995542,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,34,MotionSense,0.8486328125,0.8447967602108699,0.796875,0.7894438660328468,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,35,MotionSense,0.8369140625,0.8301156022862165,0.8020833333333334,0.7944512877471736,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,36,MotionSense,0.927734375,0.9286004371169092,0.8828125,0.87316347477578,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,37,MotionSense,0.837890625,0.8318470234973986,0.7864583333333334,0.7759360944160362,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,38,MotionSense,0.8349609375,0.8277122220350203,0.8046875,0.7965669446908779,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,39,MotionSense,0.8740234375,0.8741181734892289,0.8177083333333334,0.810403407047772,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,40,MotionSense,0.87109375,0.8705708570385933,0.8255208333333334,0.8182054990668163,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,41,MotionSense,0.919921875,0.9208340358036547,0.8802083333333334,0.8708031225768709,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,42,MotionSense,0.859375,0.8575893605809176,0.8125,0.8032781657263843,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,43,MotionSense,0.87890625,0.8792875650797262,0.8255208333333334,0.8182054990668163,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,44,MotionSense,0.8388671875,0.833389406416004,0.8072916666666666,0.7974085530615064,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,45,MotionSense,0.85546875,0.8530282171844652,0.8125,0.8007711984984712,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,46,MotionSense,0.90234375,0.9036623676921592,0.8411458333333334,0.8297220433525418,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,47,MotionSense,0.89453125,0.8956848276483238,0.8359375,0.824695594461106,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,48,MotionSense,0.83984375,0.8344036207075423,0.8046875,0.7924715886174997,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,49,MotionSense,0.8935546875,0.8946239892018274,0.8151041666666666,0.8032898330830296,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,50,MotionSense,0.8388671875,0.833013204131861,0.8020833333333334,0.7895813697431096,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,51,MotionSense,0.92578125,0.9268602839771117,0.8802083333333334,0.8663399978965595,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,52,MotionSense,0.8544921875,0.851801068136052,0.8098958333333334,0.7978809796240811,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,53,MotionSense,0.84765625,0.843615201953558,0.8046875,0.7923742314702741,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,54,MotionSense,0.921875,0.922800450329705,0.8776041666666666,0.8658576203220688,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,55,MotionSense,0.8447265625,0.8413141391596359,0.8046875,0.7926537289719104,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,56,MotionSense,0.845703125,0.8413256349980215,0.7994791666666666,0.7895964272788693,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,57,MotionSense,0.8232421875,0.8123941598134544,0.7630208333333334,0.7454333126350917,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,58,MotionSense,0.8447265625,0.8404169246491562,0.796875,0.7817675222404241,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,59,MotionSense,0.87890625,0.8792532939633383,0.8177083333333334,0.8032003506171791,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,60,MotionSense,0.8583984375,0.8565533116396087,0.8072916666666666,0.7928327616573893,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,61,MotionSense,0.87109375,0.8707738959928523,0.8203125,0.8083558977234334,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,62,MotionSense,0.8857421875,0.8864552080421441,0.8255208333333334,0.8110294704905279,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,63,MotionSense,0.9228515625,0.923845846135135,0.8723958333333334,0.8588962287285257,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,64,MotionSense,0.8193359375,0.807386382949754,0.7708333333333334,0.7520956652825256,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
resnetse5,device:MotionSense:10,192,0,5,65,MotionSense,0.921875,0.9226873907600314,0.8671875,0.850416022078369,14.909286499023438,14.909286499023438,tfc,full,100,single:MotionSense:10
