encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:MotionSense:10,192,0,5,1,MotionSense,0.5126953125,0.46338493768588945,0.4609375,0.3933403714766368,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,2,MotionSense,0.6591796875,0.6343750261118107,0.5286458333333334,0.49606546637028565,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,3,MotionSense,0.7451171875,0.7393978298462849,0.5833333333333334,0.5432137324565086,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,4,MotionSense,0.7744140625,0.7703138702945672,0.6223958333333334,0.5743893650216637,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,5,MotionSense,0.80078125,0.7969062117959012,0.65625,0.5998708814049528,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,6,MotionSense,0.8115234375,0.8078043095620133,0.6692708333333334,0.6117054341032356,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,7,MotionSense,0.8173828125,0.8143875527143707,0.6692708333333334,0.6107123706127532,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,8,MotionSense,0.822265625,0.8193645935242172,0.6770833333333334,0.623598388540808,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,9,MotionSense,0.8291015625,0.8266559330426784,0.6796875,0.6256701692897496,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,10,MotionSense,0.8369140625,0.835249210910248,0.6875,0.6350864600106046,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,11,MotionSense,0.8466796875,0.8453178309836836,0.6953125,0.6518710181969172,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,12,MotionSense,0.8515625,0.8504937583437432,0.7057291666666666,0.6660606645409077,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,13,MotionSense,0.85546875,0.8543616925237215,0.7161458333333334,0.6830503025556948,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,14,MotionSense,0.857421875,0.8564297699288339,0.734375,0.7073316975710594,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,15,MotionSense,0.8583984375,0.8571646830347667,0.7473958333333334,0.7254175645234627,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,16,MotionSense,0.865234375,0.8637237816271496,0.7604166666666666,0.7423938058241929,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,17,MotionSense,0.869140625,0.8674838924638952,0.7708333333333334,0.7582532526426116,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,18,MotionSense,0.8701171875,0.8684235387040311,0.7708333333333334,0.7588678914029764,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,19,MotionSense,0.8701171875,0.8684578779410619,0.7734375,0.7617948418753455,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,20,MotionSense,0.8720703125,0.870632464101888,0.78125,0.7699585748482637,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,21,MotionSense,0.8701171875,0.8687088586372019,0.7864583333333334,0.7766655911110331,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,22,MotionSense,0.8720703125,0.8707300522926665,0.7942708333333334,0.7842171601529313,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
rnn,device:MotionSense:10,192,0,5,23,MotionSense,0.8740234375,0.8727410054588282,0.796875,0.7880463634278533,19.993057250976562,19.993057250976562,tfc,10,100,single:MotionSense:10
