encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:MotionSense:10,192,1,5,1,MotionSense,0.6416015625,0.5675504812263319,0.5755208333333334,0.47301681815028745,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,2,MotionSense,0.796875,0.7883068866163008,0.6822916666666666,0.5990694851677694,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,3,MotionSense,0.8359375,0.8322845255904211,0.7630208333333334,0.7202173813281195,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,4,MotionSense,0.8466796875,0.8442181382138155,0.7630208333333334,0.7299432222658909,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,5,MotionSense,0.853515625,0.8515561918109001,0.7734375,0.7484302559516101,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,6,MotionSense,0.8583984375,0.8570722588915044,0.7916666666666666,0.7693604415438413,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,7,MotionSense,0.8720703125,0.8713743732717726,0.7890625,0.7680189858693124,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,8,MotionSense,0.876953125,0.8767752674574093,0.7916666666666666,0.7692353404287801,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,9,MotionSense,0.8828125,0.8825517556071006,0.8098958333333334,0.7918587593464138,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,10,MotionSense,0.8876953125,0.8876953465216101,0.8151041666666666,0.7964689130918239,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,11,MotionSense,0.8984375,0.8981644674007366,0.8333333333333334,0.8141972694641623,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,12,MotionSense,0.9033203125,0.9029772549009897,0.8463541666666666,0.8257539602986553,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,13,MotionSense,0.9033203125,0.9029390671360407,0.8489583333333334,0.8310278980518794,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,14,MotionSense,0.9091796875,0.9087533554957498,0.8489583333333334,0.8278854221185671,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,15,MotionSense,0.912109375,0.911692228774744,0.8385416666666666,0.8191842263958494,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,16,MotionSense,0.912109375,0.9116527147058998,0.8307291666666666,0.8059639214087172,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,17,MotionSense,0.91015625,0.9099180146660076,0.8255208333333334,0.8035267415729653,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,18,MotionSense,0.9169921875,0.9168543480408272,0.8385416666666666,0.8149741975369172,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,19,MotionSense,0.9189453125,0.9188751957908597,0.8333333333333334,0.8073327673898932,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,20,MotionSense,0.9150390625,0.9150081032648106,0.8359375,0.8155918568440503,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,21,MotionSense,0.91796875,0.9177592849438941,0.8229166666666666,0.8021670702827616,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,22,MotionSense,0.9140625,0.9140242113789075,0.8151041666666666,0.7877886999354198,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,23,MotionSense,0.921875,0.9216092286788798,0.8203125,0.7965369357556294,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,24,MotionSense,0.921875,0.9215815627495111,0.8177083333333334,0.7945354119476155,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,25,MotionSense,0.9189453125,0.918810485465858,0.8203125,0.7968042240669121,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,26,MotionSense,0.9189453125,0.9187109621607957,0.8177083333333334,0.7950801416071093,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,27,MotionSense,0.9169921875,0.9169424453470562,0.8098958333333334,0.785072357886997,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,28,MotionSense,0.916015625,0.9158974749185983,0.8046875,0.7740545843504821,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,29,MotionSense,0.9130859375,0.9129354733067867,0.8046875,0.7769014916410258,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,30,MotionSense,0.912109375,0.9120106773732225,0.796875,0.7632643019107589,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,31,MotionSense,0.91015625,0.9099887118594164,0.8020833333333334,0.7677645922801312,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,32,MotionSense,0.9111328125,0.9109978877589505,0.8020833333333334,0.7739175797057073,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,33,MotionSense,0.9169921875,0.9167205982788955,0.7890625,0.7549374848738205,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,34,MotionSense,0.91015625,0.9099254903428452,0.7916666666666666,0.7571701126383633,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,35,MotionSense,0.908203125,0.9080326554690562,0.7864583333333334,0.7513657898418439,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,36,MotionSense,0.9072265625,0.9070920161410241,0.7786458333333334,0.7451690361878374,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,37,MotionSense,0.9072265625,0.9070933014016725,0.7838541666666666,0.7472559879342026,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,38,MotionSense,0.904296875,0.904137335045173,0.7734375,0.7394581048895584,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,39,MotionSense,0.9052734375,0.9049880154336479,0.7760416666666666,0.7406930807915669,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,40,MotionSense,0.9052734375,0.9048625538107397,0.7708333333333334,0.7349809044773713,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,41,MotionSense,0.9072265625,0.9067334057461406,0.7734375,0.7378252363270961,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,42,MotionSense,0.904296875,0.9038419005991726,0.7682291666666666,0.732346510358766,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,43,MotionSense,0.9111328125,0.9106201710162939,0.78125,0.7462567041549947,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,44,MotionSense,0.9072265625,0.9069279914082641,0.7682291666666666,0.7317045920152395,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,45,MotionSense,0.9072265625,0.9066785773124307,0.7682291666666666,0.7289577172490338,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,46,MotionSense,0.9072265625,0.9068092298226973,0.765625,0.7258432715648474,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,47,MotionSense,0.90625,0.9058425533911004,0.765625,0.7256405537564957,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,48,MotionSense,0.9072265625,0.9065609053960784,0.7708333333333334,0.7306217090801169,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,49,MotionSense,0.904296875,0.9036040748144735,0.7604166666666666,0.7136190779497033,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,50,MotionSense,0.9072265625,0.9066061708284959,0.765625,0.7254393232729947,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,51,MotionSense,0.9052734375,0.9046394430535539,0.7578125,0.7108549479394521,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,52,MotionSense,0.90625,0.905435282082451,0.7604166666666666,0.7173309756889162,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,53,MotionSense,0.908203125,0.9076970618980059,0.7630208333333334,0.723317656195503,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,54,MotionSense,0.912109375,0.9115008636564995,0.765625,0.7254393232729947,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,55,MotionSense,0.908203125,0.9074546340423253,0.7604166666666666,0.7141319953505315,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,56,MotionSense,0.9072265625,0.9065777568384381,0.7578125,0.7112654666485924,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,57,MotionSense,0.9072265625,0.9064825249594469,0.7552083333333334,0.7078822568995701,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,58,MotionSense,0.908203125,0.907503176727155,0.7552083333333334,0.70744789044549,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,59,MotionSense,0.908203125,0.9075273223820545,0.7552083333333334,0.70744789044549,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,60,MotionSense,0.908203125,0.9075775716490596,0.7578125,0.7129020174088551,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,61,MotionSense,0.9033203125,0.9026974196624251,0.7473958333333334,0.7012316778025839,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,62,MotionSense,0.9072265625,0.9065180453532838,0.7473958333333334,0.6975877300610135,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,63,MotionSense,0.9072265625,0.9065862739003979,0.75,0.7026083945438488,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,64,MotionSense,0.908203125,0.9075178932838854,0.7526041666666666,0.7038336943022528,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,65,MotionSense,0.90625,0.9056119908413103,0.7473958333333334,0.7002164827559638,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,66,MotionSense,0.9072265625,0.9065580331570068,0.7526041666666666,0.7055401072918367,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,67,MotionSense,0.9072265625,0.9063277482649351,0.7526041666666666,0.7055455989870517,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,68,MotionSense,0.9033203125,0.9025767563879786,0.75,0.7031636724604461,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,69,MotionSense,0.9091796875,0.9085200827972644,0.75,0.7012765712824995,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,70,MotionSense,0.91015625,0.9093562093270223,0.7447916666666666,0.6965482899729475,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,71,MotionSense,0.9052734375,0.9046772227294632,0.7526041666666666,0.706095385208434,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,72,MotionSense,0.9072265625,0.9064037276805318,0.7395833333333334,0.6874094810392452,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,73,MotionSense,0.90625,0.9056132192133206,0.7447916666666666,0.6978336161845893,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,74,MotionSense,0.9033203125,0.9025749989609149,0.7421875,0.6948935146807488,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,75,MotionSense,0.9091796875,0.9086222605418707,0.75,0.704572030236803,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,76,MotionSense,0.9033203125,0.9027403439266295,0.7291666666666666,0.67287625616275,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,77,MotionSense,0.9091796875,0.9084438856278547,0.7395833333333334,0.6929226152098492,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,78,MotionSense,0.9033203125,0.9027144032380995,0.7447916666666666,0.6976463252838238,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,79,MotionSense,0.9091796875,0.9084458001202617,0.7369791666666666,0.6891928430131044,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,80,MotionSense,0.9052734375,0.9049544541830774,0.7395833333333334,0.691828782142332,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,81,MotionSense,0.908203125,0.9075809747097576,0.7421875,0.6962118105569938,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,82,MotionSense,0.904296875,0.9038139820348655,0.7395833333333334,0.6919732702753558,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,83,MotionSense,0.9052734375,0.9046940871673302,0.7369791666666666,0.6830376364343217,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,84,MotionSense,0.8994140625,0.8987896435024078,0.734375,0.6820006771070601,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,85,MotionSense,0.9033203125,0.9026215188989952,0.7317708333333334,0.6788493256859872,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,86,MotionSense,0.900390625,0.8997947463288192,0.7291666666666666,0.6802576015826532,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,87,MotionSense,0.90234375,0.9016467641669744,0.7291666666666666,0.6709434697258508,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,88,MotionSense,0.9013671875,0.9005889509761754,0.7317708333333334,0.6774190927205398,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,89,MotionSense,0.8984375,0.8980204565092981,0.734375,0.6805274308882202,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,90,MotionSense,0.9033203125,0.9025940483214668,0.7291666666666666,0.6743263761921984,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,91,MotionSense,0.896484375,0.8958624120342402,0.7239583333333334,0.6662789655365088,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,92,MotionSense,0.896484375,0.895696926962623,0.7239583333333334,0.664837197932398,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,93,MotionSense,0.8974609375,0.8967260488928348,0.7317708333333334,0.6735776024207162,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,94,MotionSense,0.8984375,0.8977072548211512,0.7265625,0.6624998337418347,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
rnn,device:MotionSense:10,192,1,5,95,MotionSense,0.8984375,0.8977569302712775,0.7213541666666666,0.6625078397858902,19.993057250976562,19.993057250976562,tfc,full,100,single:MotionSense:10
