encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:MotionSense:10,192,2,5,1,MotionSense,0.2607421875,0.2251085814747382,0.24739583333333334,0.2088811120832118,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,2,MotionSense,0.58984375,0.5793715404661716,0.546875,0.5240832839870045,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,3,MotionSense,0.771484375,0.746876096431615,0.6796875,0.6493903695793262,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,4,MotionSense,0.828125,0.8231780039502715,0.7708333333333334,0.7549229296686266,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,5,MotionSense,0.8447265625,0.842678367271009,0.7994791666666666,0.7898255141780784,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,6,MotionSense,0.8544921875,0.8533550100067525,0.8125,0.8064693792411332,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,7,MotionSense,0.853515625,0.8524281191394044,0.8229166666666666,0.8192461290369623,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,8,MotionSense,0.86328125,0.8627459846426758,0.8333333333333334,0.8310003258326093,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,9,MotionSense,0.8662109375,0.8660936457372236,0.8307291666666666,0.827272805121967,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,10,MotionSense,0.857421875,0.8570696029286592,0.8359375,0.8332250952424672,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,11,MotionSense,0.85546875,0.8547339590136843,0.8255208333333334,0.8202058742137691,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,12,MotionSense,0.84765625,0.8455981347822302,0.8072916666666666,0.8001931446553902,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,13,MotionSense,0.8408203125,0.8370228912811957,0.8046875,0.7963111644762403,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,14,MotionSense,0.84375,0.8399327688595907,0.8046875,0.796650416403471,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,15,MotionSense,0.8271484375,0.8191166953642842,0.7994791666666666,0.789319775114821,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,16,MotionSense,0.8330078125,0.8261751528333079,0.796875,0.7853164723231196,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,17,MotionSense,0.84765625,0.8440746708331851,0.8072916666666666,0.7987669595086501,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,18,MotionSense,0.8466796875,0.8429019165423908,0.8072916666666666,0.7987669595086501,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,19,MotionSense,0.841796875,0.8367173895730925,0.8020833333333334,0.7923291262259985,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,20,MotionSense,0.8505859375,0.8474154925070859,0.8072916666666666,0.7987669595086501,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,21,MotionSense,0.86328125,0.8629296735120707,0.8255208333333334,0.8200127583833149,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,22,MotionSense,0.861328125,0.8605913607613086,0.8229166666666666,0.8170877626670571,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,23,MotionSense,0.8623046875,0.8614705918658491,0.8229166666666666,0.8170877626670571,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,24,MotionSense,0.86328125,0.8623937639259586,0.8307291666666666,0.8240783437612441,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,25,MotionSense,0.8427734375,0.8371967324994021,0.8125,0.802561246961639,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
tstcc,device:MotionSense:10,192,2,5,26,MotionSense,0.87109375,0.8713575985887573,0.8385416666666666,0.8314404710646547,280.50376892089844,280.50376892089844,tfc,5,100,single:MotionSense:10
