encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
cnnpff,device:RealWorld_thigh:10,192,0,5,1,RealWorld_thigh,0.3020833333333333,0.21817929735660335,0.29966517857142855,0.2136325855600849,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,2,RealWorld_thigh,0.3347222222222222,0.25221260077499885,0.3521205357142857,0.2606737701311151,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,3,RealWorld_thigh,0.346875,0.25236170017002996,0.37332589285714285,0.2593335039270089,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,4,RealWorld_thigh,0.35208333333333336,0.24762095265638787,0.37611607142857145,0.24630292397003353,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,5,RealWorld_thigh,0.34965277777777776,0.2408810266585116,0.36886160714285715,0.23141956008233786,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,6,RealWorld_thigh,0.3503472222222222,0.24871295608669183,0.36551339285714285,0.22608683270041244,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,7,RealWorld_thigh,0.36006944444444444,0.26850307934337175,0.37109375,0.23786703356257832,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,8,RealWorld_thigh,0.37604166666666666,0.2888000295848053,0.38560267857142855,0.2634853663483801,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,9,RealWorld_thigh,0.39375,0.3127396425699459,0.40513392857142855,0.2971741236799416,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,10,RealWorld_thigh,0.4059027777777778,0.3339833165185393,0.41685267857142855,0.3187690847600837,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,0,5,11,RealWorld_thigh,0.4170138888888889,0.3535654200862277,0.4330357142857143,0.34696572184931407,5.5629730224609375,5.5629730224609375,lfr,1,100,single:RealWorld_thigh:10
