encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:RealWorld_thigh:10,192,3,5,1,RealWorld_thigh,0.6298611111111111,0.5790483545578783,0.5870535714285714,0.53816541378856,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,2,RealWorld_thigh,0.69375,0.652202430440389,0.6166294642857143,0.5704635839275426,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,3,RealWorld_thigh,0.6871527777777777,0.6893382462647629,0.6473214285714286,0.6230909051593946,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,4,RealWorld_thigh,0.6645833333333333,0.6759881116267281,0.6171875,0.6299081776693477,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,5,RealWorld_thigh,0.659375,0.6707852236244891,0.6171875,0.6296626129582624,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,6,RealWorld_thigh,0.6625,0.6741252343096663,0.6088169642857143,0.6208842633862272,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,7,RealWorld_thigh,0.6621527777777778,0.6739621634269618,0.6015625,0.6140426659524036,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,8,RealWorld_thigh,0.6611111111111111,0.6726755443321899,0.6004464285714286,0.6123935016875327,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,9,RealWorld_thigh,0.6638888888888889,0.676012759190618,0.5552455357142857,0.5626988738019709,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,10,RealWorld_thigh,0.6649305555555556,0.6769238138956205,0.5954241071428571,0.6068771832935851,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,11,RealWorld_thigh,0.6618055555555555,0.6735548424678338,0.5479910714285714,0.5541059357030962,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,12,RealWorld_thigh,0.6638888888888889,0.6758619437882225,0.5323660714285714,0.5318612874284697,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,13,RealWorld_thigh,0.6614583333333334,0.6729690918459005,0.5267857142857143,0.5245238469766099,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,14,RealWorld_thigh,0.6631944444444444,0.6751158473772692,0.5228794642857143,0.5215105697705091,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,15,RealWorld_thigh,0.6614583333333334,0.673167733071177,0.52734375,0.5250763660488565,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,16,RealWorld_thigh,0.6628472222222223,0.6745627016551837,0.5267857142857143,0.5257353300969744,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,17,RealWorld_thigh,0.6635416666666667,0.6753778416512959,0.5290178571428571,0.5286465285857782,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,18,RealWorld_thigh,0.6635416666666667,0.6750694661043947,0.5217633928571429,0.5180082029045668,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,19,RealWorld_thigh,0.6638888888888889,0.6755525175244598,0.5306919642857143,0.5284318056128519,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,20,RealWorld_thigh,0.6628472222222223,0.674574418233406,0.5284598214285714,0.5276667526202258,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,21,RealWorld_thigh,0.665625,0.6772073177267065,0.5318080357142857,0.5302994607859948,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,22,RealWorld_thigh,0.6690972222222222,0.6799799633350078,0.5329241071428571,0.5295550256442586,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,23,RealWorld_thigh,0.6670138888888889,0.6786801537437093,0.5340401785714286,0.5330860051756349,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,3,5,24,RealWorld_thigh,0.6652777777777777,0.6764963338458787,0.5189732142857143,0.5142001216900873,127.09030151367188,127.09030151367188,lfr,full,100,single:RealWorld_thigh:10
