encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
cnnpff,device:RealWorld_thigh:10,192,1,5,1,RealWorld_thigh,0.1684027777777778,0.05077028600721739,0.22209821428571427,0.12942348514384105,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,2,RealWorld_thigh,0.2267361111111111,0.15435119447769632,0.2739955357142857,0.19694491627172164,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,3,RealWorld_thigh,0.29756944444444444,0.25375414684710984,0.36160714285714285,0.30651861412553355,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,4,RealWorld_thigh,0.3458333333333333,0.32223658565096963,0.43917410714285715,0.40553735029101273,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,5,RealWorld_thigh,0.40347222222222223,0.39384630977305185,0.48604910714285715,0.45658396315913846,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,6,RealWorld_thigh,0.4479166666666667,0.44385620618485405,0.5189732142857143,0.4887236727398118,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,7,RealWorld_thigh,0.48993055555555554,0.4870266121254668,0.5619419642857143,0.532009741892982,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,8,RealWorld_thigh,0.5208333333333334,0.5178875111787954,0.58203125,0.5520728736719432,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,9,RealWorld_thigh,0.5545138888888889,0.5521744551657143,0.6071428571428571,0.5798153774314619,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,10,RealWorld_thigh,0.5822916666666667,0.5792065366812014,0.6238839285714286,0.5999235692528399,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,11,RealWorld_thigh,0.6076388888888888,0.6035342851125659,0.6434151785714286,0.6241415803162295,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,12,RealWorld_thigh,0.6274305555555556,0.6219163765558897,0.6579241071428571,0.6416722183708149,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,13,RealWorld_thigh,0.6409722222222223,0.6352479459671942,0.6640625,0.6493957574302963,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,14,RealWorld_thigh,0.6527777777777778,0.646537118517132,0.6746651785714286,0.6627225911580924,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,15,RealWorld_thigh,0.6600694444444445,0.653781380662001,0.6875,0.6782216426777081,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,16,RealWorld_thigh,0.6635416666666667,0.6568640330420401,0.6886160714285714,0.6807556262641009,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,17,RealWorld_thigh,0.6690972222222222,0.6629400804947364,0.6863839285714286,0.6788538754809065,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,18,RealWorld_thigh,0.671875,0.6665646182407712,0.6891741071428571,0.6820009078882205,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,19,RealWorld_thigh,0.6736111111111112,0.6686489325545311,0.6908482142857143,0.6842695499114025,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,20,RealWorld_thigh,0.6774305555555555,0.6730128786832109,0.6958705357142857,0.6900571722861412,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,21,RealWorld_thigh,0.6798611111111111,0.6759728549458487,0.7014508928571429,0.6969618655542061,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,22,RealWorld_thigh,0.6795138888888889,0.6764978716213988,0.7042410714285714,0.7000984788658217,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,23,RealWorld_thigh,0.6798611111111111,0.6774004616292787,0.70703125,0.7038327501000287,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,24,RealWorld_thigh,0.6829861111111111,0.6812888115388542,0.7114955357142857,0.7085577451434913,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,25,RealWorld_thigh,0.6854166666666667,0.6844165711196234,0.7154017857142857,0.7129580653676478,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,26,RealWorld_thigh,0.6881944444444444,0.6877454176935252,0.7181919642857143,0.7161787581144248,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,27,RealWorld_thigh,0.6913194444444445,0.6914570905708869,0.7154017857142857,0.7131140908283905,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,28,RealWorld_thigh,0.6920138888888889,0.6925227721157657,0.7159598214285714,0.7139804187901112,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,29,RealWorld_thigh,0.69375,0.6940712058676163,0.71875,0.7168538753661114,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,30,RealWorld_thigh,0.69375,0.6941848654640964,0.7198660714285714,0.7184317353160794,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,31,RealWorld_thigh,0.6961805555555556,0.6969253031459601,0.7232142857142857,0.7221130337609808,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,32,RealWorld_thigh,0.6961805555555556,0.696924043665542,0.7237723214285714,0.7226861401743424,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,33,RealWorld_thigh,0.6979166666666666,0.6988061269179634,0.7237723214285714,0.7227254598358858,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,34,RealWorld_thigh,0.6986111111111111,0.6997572133583145,0.7243303571428571,0.7234012578373586,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,35,RealWorld_thigh,0.7017361111111111,0.7032080877257436,0.7243303571428571,0.7233654428723183,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,36,RealWorld_thigh,0.7006944444444444,0.7023477861941766,0.7248883928571429,0.7239420534997946,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,37,RealWorld_thigh,0.7013888888888888,0.7032839281697507,0.7254464285714286,0.7243786495503087,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,38,RealWorld_thigh,0.7017361111111111,0.7037385339450964,0.7254464285714286,0.7242707691111415,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,39,RealWorld_thigh,0.7020833333333333,0.7041920294070344,0.7243303571428571,0.7232742402457627,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,40,RealWorld_thigh,0.7017361111111111,0.703958685521501,0.7232142857142857,0.7221712520197675,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,41,RealWorld_thigh,0.7017361111111111,0.7040232074370737,0.72265625,0.7215906150770715,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,42,RealWorld_thigh,0.7,0.7023035014956832,0.7220982142857143,0.7210834033044092,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,43,RealWorld_thigh,0.7003472222222222,0.7027015091516701,0.71875,0.7176457105509111,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,44,RealWorld_thigh,0.7013888888888888,0.7038740824014641,0.7204241071428571,0.7193918225556168,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,45,RealWorld_thigh,0.7027777777777777,0.7052887199895469,0.71875,0.717604230844514,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,46,RealWorld_thigh,0.7020833333333333,0.7045917815850972,0.7220982142857143,0.7210565144770106,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,47,RealWorld_thigh,0.7024305555555556,0.7049858302846331,0.7220982142857143,0.720973335525179,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,48,RealWorld_thigh,0.7024305555555556,0.7050592266706147,0.7232142857142857,0.7221711457536374,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,49,RealWorld_thigh,0.7034722222222223,0.7061476041413935,0.7232142857142857,0.7221251766037423,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,50,RealWorld_thigh,0.7024305555555556,0.7052935022619556,0.72265625,0.721744810066144,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,51,RealWorld_thigh,0.7027777777777777,0.7057012155405274,0.72265625,0.7215061623821039,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
cnnpff,device:RealWorld_thigh:10,192,1,5,52,RealWorld_thigh,0.7041666666666667,0.707188681994798,0.7232142857142857,0.7222516517792203,22.449111938476562,22.449111938476562,tfc,1,100,single:RealWorld_thigh:10
