encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
resnetse5,device:RealWorld_thigh:10,192,1,5,1,RealWorld_thigh,0.23298611111111112,0.1892804489578075,0.22154017857142858,0.179554332237607,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,2,RealWorld_thigh,0.3454861111111111,0.3054714790205893,0.30636160714285715,0.2592573436939429,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,3,RealWorld_thigh,0.43125,0.4031052917179163,0.39620535714285715,0.3534134516539398,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,4,RealWorld_thigh,0.5055555555555555,0.48165848752616086,0.4302455357142857,0.38967730580878257,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,5,RealWorld_thigh,0.5385416666666667,0.522586850331393,0.44698660714285715,0.41810294245077895,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,6,RealWorld_thigh,0.5586805555555555,0.547983835561022,0.45982142857142855,0.4325501163983659,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,7,RealWorld_thigh,0.58125,0.5716006096790195,0.4927455357142857,0.458191235442551,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,8,RealWorld_thigh,0.6041666666666666,0.5979661003213758,0.49888392857142855,0.46064059753075975,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,9,RealWorld_thigh,0.6194444444444445,0.6222804220781489,0.50390625,0.4626772667056204,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,10,RealWorld_thigh,0.6322916666666667,0.6360918387832709,0.49832589285714285,0.4576823825113761,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,11,RealWorld_thigh,0.6333333333333333,0.6371867907319938,0.49776785714285715,0.45628212696226006,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,12,RealWorld_thigh,0.6298611111111111,0.6355741955144453,0.49330357142857145,0.4529055159247564,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,13,RealWorld_thigh,0.6628472222222223,0.6666591214261961,0.5385044642857143,0.4972677005729289,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,14,RealWorld_thigh,0.6673611111111111,0.6704587587366871,0.5396205357142857,0.4984263722400115,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,15,RealWorld_thigh,0.68125,0.6828933183125808,0.5658482142857143,0.5227773472016934,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,16,RealWorld_thigh,0.6819444444444445,0.6832494917913979,0.5641741071428571,0.5208790408061447,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,17,RealWorld_thigh,0.6954861111111111,0.6966670699719161,0.5697544642857143,0.5263322555605221,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,18,RealWorld_thigh,0.6961805555555556,0.6977488825896877,0.5708705357142857,0.527520752128709,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
resnetse5,device:RealWorld_thigh:10,192,1,5,19,RealWorld_thigh,0.6982638888888889,0.698304458186387,0.56640625,0.5228869355311848,14.909286499023438,14.909286499023438,tfc,2,100,single:RealWorld_thigh:10
