encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:RealWorld_thigh:10,192,0,5,1,RealWorld_thigh,0.3302083333333333,0.2408327112575047,0.21763392857142858,0.15432814748550824,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,2,RealWorld_thigh,0.4565972222222222,0.356240060189497,0.32589285714285715,0.27595878178979566,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,3,RealWorld_thigh,0.45902777777777776,0.35700543282720004,0.5407366071428571,0.45439364176996505,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,4,RealWorld_thigh,0.4753472222222222,0.37726697923467295,0.5731026785714286,0.508952815275386,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,5,RealWorld_thigh,0.4954861111111111,0.4022588680568253,0.5825892857142857,0.5332594653559567,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,6,RealWorld_thigh,0.51875,0.433946892601327,0.5714285714285714,0.5179846583746593,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,7,RealWorld_thigh,0.5364583333333334,0.4609020241765783,0.5647321428571429,0.5037325157185065,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,8,RealWorld_thigh,0.5625,0.4991381620061866,0.5680803571428571,0.4986386712833739,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,9,RealWorld_thigh,0.5833333333333334,0.5303824829872222,0.5797991071428571,0.5026149913596129,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,10,RealWorld_thigh,0.6027777777777777,0.5556216727036629,0.5909598214285714,0.5067962741516218,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,11,RealWorld_thigh,0.6204861111111111,0.5811663518629434,0.6015625,0.514237525078188,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,12,RealWorld_thigh,0.6465277777777778,0.6249835543174066,0.6060267857142857,0.515970739575445,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,13,RealWorld_thigh,0.69375,0.6994821265690513,0.6071428571428571,0.516621584969815,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,14,RealWorld_thigh,0.6378472222222222,0.6440706574224139,0.6099330357142857,0.5186482730048215,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,15,RealWorld_thigh,0.6402777777777777,0.6449099235834246,0.6149553571428571,0.5248646651692177,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,16,RealWorld_thigh,0.6180555555555556,0.6120574475471118,0.6127232142857143,0.5264974614095118,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,17,RealWorld_thigh,0.6190972222222222,0.6085893357930122,0.6143973214285714,0.5317245524972164,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,18,RealWorld_thigh,0.6236111111111111,0.6103506758140474,0.5725446428571429,0.5172729495240503,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,19,RealWorld_thigh,0.6263888888888889,0.6114728240824342,0.5474330357142857,0.50346399275051,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,20,RealWorld_thigh,0.6274305555555556,0.6117325109311064,0.5513392857142857,0.5091339576001948,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,21,RealWorld_thigh,0.6298611111111111,0.6134202482030798,0.5485491071428571,0.5071493455041071,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,22,RealWorld_thigh,0.6295138888888889,0.6122196793313774,0.5479910714285714,0.5067592895546333,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,23,RealWorld_thigh,0.6291666666666667,0.611116719190564,0.5524553571428571,0.511582062948931,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,24,RealWorld_thigh,0.6302083333333334,0.6117040759077587,0.5524553571428571,0.5133879963985092,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,25,RealWorld_thigh,0.6302083333333334,0.6108019723543882,0.5535714285714286,0.5159615466972552,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,26,RealWorld_thigh,0.6291666666666667,0.6097663908517127,0.5541294642857143,0.5180927309292466,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,27,RealWorld_thigh,0.6302083333333334,0.6107808874457428,0.5552455357142857,0.5188472195426068,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,28,RealWorld_thigh,0.6302083333333334,0.6107633058633791,0.5552455357142857,0.5191364162246734,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,29,RealWorld_thigh,0.6319444444444444,0.6123125769002953,0.5541294642857143,0.5186181551703851,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,30,RealWorld_thigh,0.6305555555555555,0.6110196109811054,0.5541294642857143,0.5194043828561479,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,0,5,31,RealWorld_thigh,0.6295138888888889,0.6099895056561124,0.5535714285714286,0.5193263518804202,19.993057250976562,19.993057250976562,tfc,2,100,single:RealWorld_thigh:10
