encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:RealWorld_thigh:10,192,2,5,1,RealWorld_thigh,0.49722222222222223,0.43446511244675573,0.49386160714285715,0.38328466162476843,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,2,RealWorld_thigh,0.6288194444444445,0.6025832373831681,0.5970982142857143,0.52456793857269,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,3,RealWorld_thigh,0.6680555555555555,0.6486343385922466,0.6277901785714286,0.570797948623059,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,4,RealWorld_thigh,0.7038194444444444,0.6930767949145366,0.6489955357142857,0.6054350973841375,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,5,RealWorld_thigh,0.7225694444444445,0.7187604944314034,0.6674107142857143,0.6373822503083101,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,6,RealWorld_thigh,0.7350694444444444,0.7379712297706561,0.6735491071428571,0.6538967011360368,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,7,RealWorld_thigh,0.7517361111111112,0.7579824042048825,0.6685267857142857,0.6549533352515268,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,8,RealWorld_thigh,0.7135416666666666,0.7180862296695579,0.6607142857142857,0.6509254477983731,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,9,RealWorld_thigh,0.6774305555555555,0.6726695492942492,0.6534598214285714,0.6463983285938952,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,10,RealWorld_thigh,0.6729166666666667,0.6668170936698185,0.6506696428571429,0.6437108095130101,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,11,RealWorld_thigh,0.6711805555555556,0.6634718578921954,0.6456473214285714,0.639404730129075,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,12,RealWorld_thigh,0.671875,0.664155563068538,0.6361607142857143,0.6261674347491292,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
rnn,device:RealWorld_thigh:10,192,2,5,13,RealWorld_thigh,0.6711805555555556,0.6634139069387853,0.6305803571428571,0.6191783808201393,19.993057250976562,19.993057250976562,tfc,full,100,single:RealWorld_thigh:10
