encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
tstcc,device:RealWorld_thigh:10,192,2,5,1,RealWorld_thigh,0.2513888888888889,0.23622533451749983,0.26450892857142855,0.21243135448218872,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,2,RealWorld_thigh,0.421875,0.40688608107909846,0.3677455357142857,0.3101705416155063,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,3,RealWorld_thigh,0.6045138888888889,0.5806121516450441,0.5390625,0.4670415849695972,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,4,RealWorld_thigh,0.6534722222222222,0.638171584566582,0.5959821428571429,0.5389175437582999,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,5,RealWorld_thigh,0.6649305555555556,0.6520223566099376,0.62109375,0.5638920611539567,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,6,RealWorld_thigh,0.675,0.6637482365078952,0.6311383928571429,0.573278884323272,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,7,RealWorld_thigh,0.7,0.6989202473963146,0.63671875,0.580857292568098,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,8,RealWorld_thigh,0.6975694444444445,0.6975001691888623,0.63671875,0.5810114013172402,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,9,RealWorld_thigh,0.696875,0.6979972110730772,0.6300223214285714,0.5757773616918599,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,10,RealWorld_thigh,0.6993055555555555,0.700042143021722,0.6283482142857143,0.5749490827861805,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,11,RealWorld_thigh,0.6940972222222223,0.6910777991653961,0.6350446428571429,0.5825072869429059,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
tstcc,device:RealWorld_thigh:10,192,2,5,12,RealWorld_thigh,0.6809027777777777,0.6694232806807131,0.6328125,0.5786606355047395,280.50376892089844,280.50376892089844,tfc,2,100,single:RealWorld_thigh:10
