encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
cnnpff,device:MotionSense:17,natural,0,5,1,MotionSense,0.1728515625,0.0667420814479638,0.18229166666666666,0.07092198581560284,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,2,MotionSense,0.181640625,0.07552319079823207,0.18229166666666666,0.07337526205450734,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,3,MotionSense,0.2529296875,0.16509467263593222,0.22916666666666666,0.135564136903073,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,4,MotionSense,0.369140625,0.30726019089806467,0.296875,0.22182442829789703,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,5,MotionSense,0.5615234375,0.5217874493672626,0.5286458333333334,0.47220815345334805,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,6,MotionSense,0.6240234375,0.5675663113219462,0.5885416666666666,0.5180793349236504,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,7,MotionSense,0.6357421875,0.5896322342863856,0.5755208333333334,0.5074416932971645,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,8,MotionSense,0.63671875,0.5920138501730691,0.5807291666666666,0.5274714822768631,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,9,MotionSense,0.6318359375,0.5784221604141025,0.5833333333333334,0.529771606432855,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,10,MotionSense,0.6318359375,0.5766376856792257,0.5729166666666666,0.5161706388711037,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,11,MotionSense,0.646484375,0.5907226930568591,0.5703125,0.5137854332823018,9.457054138183594,9.457054138183594,none,1,0,
cnnpff,device:MotionSense:17,natural,0,5,12,MotionSense,0.65234375,0.5961936452559629,0.5755208333333334,0.5242378788207283,9.457054138183594,9.457054138183594,none,1,0,
