encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
cnnpff,device:RealWorld_thigh:10,natural,0,5,1,RealWorld_thigh,0.18993055555555555,0.10125633596631012,0.22377232142857142,0.10639711134221613,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,2,RealWorld_thigh,0.18993055555555555,0.1240803577479465,0.21540178571428573,0.12241186557262025,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,3,RealWorld_thigh,0.2677083333333333,0.20970050686992028,0.2857142857142857,0.20866127223679806,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,4,RealWorld_thigh,0.371875,0.33080577202697875,0.3521205357142857,0.27774974516155976,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,5,RealWorld_thigh,0.4166666666666667,0.34526232142249874,0.40848214285714285,0.3151659624921084,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,6,RealWorld_thigh,0.41770833333333335,0.33859244076734335,0.41238839285714285,0.3124521851236854,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,7,RealWorld_thigh,0.4270833333333333,0.3529220252978927,0.4224330357142857,0.327502187953799,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,8,RealWorld_thigh,0.42465277777777777,0.3468133125393426,0.4185267857142857,0.32217409632725696,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,9,RealWorld_thigh,0.4392361111111111,0.3743562056102494,0.4302455357142857,0.34403583093872814,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,10,RealWorld_thigh,0.44583333333333336,0.3842467851439124,0.4296875,0.3448485070070834,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,11,RealWorld_thigh,0.4440972222222222,0.3831916918848304,0.4291294642857143,0.3454311769152141,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,12,RealWorld_thigh,0.4545138888888889,0.4015100414917859,0.4330357142857143,0.35505368346760197,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,13,RealWorld_thigh,0.4534722222222222,0.4045616694851646,0.43191964285714285,0.3546405276549475,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,14,RealWorld_thigh,0.4642361111111111,0.42204026264963307,0.4302455357142857,0.35516852502510793,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,15,RealWorld_thigh,0.4704861111111111,0.43311898136075855,0.43638392857142855,0.3665108219786238,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,16,RealWorld_thigh,0.4809027777777778,0.4489095427778314,0.43861607142857145,0.370457875009609,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,17,RealWorld_thigh,0.48506944444444444,0.4567748929407886,0.44029017857142855,0.3763134767589858,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,18,RealWorld_thigh,0.4951388888888889,0.4716314581774978,0.44810267857142855,0.3889756139575556,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,19,RealWorld_thigh,0.4996527777777778,0.47981151839410546,0.4536830357142857,0.4011911848006568,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,20,RealWorld_thigh,0.5104166666666666,0.4942327184731892,0.45926339285714285,0.4121278442587281,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,21,RealWorld_thigh,0.5111111111111111,0.49650330605417275,0.4642857142857143,0.4212020162983941,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,22,RealWorld_thigh,0.5194444444444445,0.5071795918190831,0.46707589285714285,0.42783738798358567,5.5629730224609375,5.5629730224609375,none,1,0,
cnnpff,device:RealWorld_thigh:10,natural,0,5,23,RealWorld_thigh,0.5225694444444444,0.5110258159603601,0.47098214285714285,0.43448968587414466,5.5629730224609375,5.5629730224609375,none,1,0,
