encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
rnn,device:MotionSense:17,natural,0,5,1,MotionSense,0.296875,0.2102592510207292,0.3046875,0.20557220557220557,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,2,MotionSense,0.2431640625,0.20968467003403748,0.23958333333333334,0.2031970822556197,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,3,MotionSense,0.404296875,0.34104769564075826,0.4166666666666667,0.3306112091208954,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,4,MotionSense,0.37890625,0.3131849128410296,0.359375,0.2973925529807883,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,5,MotionSense,0.3818359375,0.26217972060889716,0.3828125,0.24502595625237275,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,6,MotionSense,0.388671875,0.33172002006782203,0.3567708333333333,0.2939747718733226,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,7,MotionSense,0.43359375,0.34962210501948654,0.3932291666666667,0.2863984030851304,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,8,MotionSense,0.4677734375,0.42532470909405545,0.4661458333333333,0.39718305877179966,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,9,MotionSense,0.4287109375,0.3642133783885382,0.4140625,0.34565261995476654,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,10,MotionSense,0.4814453125,0.40932348174840966,0.4348958333333333,0.36372090532414236,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,11,MotionSense,0.4658203125,0.3930866659846539,0.4036458333333333,0.3429002279395827,11.088157653808594,11.088157653808594,none,1,0,,0.03
rnn,device:MotionSense:17,natural,0,5,12,MotionSense,0.5009765625,0.3936643591100437,0.4947916666666667,0.4223066877992725,11.088157653808594,11.088157653808594,none,1,0,,0.03
